,coordinates,elevation
0,"(44.1910715, -72.9309353)",1101.3660888671875
1,"(44.19109, -72.9308152)",1101.1336669921875
2,"(44.191071550000004, -72.9306521)",1096.437255859375
3,"(44.1910531, -72.930489)",1090.5986328125
4,"(44.19104539999999, -72.9303903)",1087.835693359375
5,"(44.191037699999995, -72.9302916)",1085.114990234375
6,"(44.19103, -72.93019290000001)",1081.3795166015625
7,"(44.1910223, -72.9300942)",1076.8145751953125
8,"(44.191019225, -72.929999775)",1072.0858154296875
9,"(44.191016149999996, -72.92990535)",1067.3896484375
10,"(44.191013075, -72.929810925)",1063.73486328125
11,"(44.19101, -72.9297165)",1060.5543212890625
12,"(44.1909977, -72.92955345)",1055.4005126953125
13,"(44.1909854, -72.9293904)",1051.3719482421875
14,"(44.190946925000006, -72.92928739999999)",1048.53076171875
15,"(44.19090845, -72.9291844)",1045.760009765625
16,"(44.190869975, -72.9290814)",1042.7269287109375
17,"(44.1908315, -72.9289784)",1039.300537109375
18,"(44.190802275, -72.928888275)",1036.51220703125
19,"(44.190773050000004, -72.92879815)",1033.77099609375
20,"(44.190743825, -72.928708025)",1030.5118408203125
21,"(44.1907146, -72.9286179)",1026.896484375
22,"(44.19070535, -72.92851490000001)",1022.9644165039062
23,"(44.1906961, -72.9284119)",1019.2064819335938
24,"(44.1907423, -72.92828745)",1015.6609497070312
25,"(44.1907885, -72.928163)",1012.34326171875
0,"(44.1904146, -72.9280133)",1013.3502197265625
1,"(44.1905054, -72.9280514)",1012.2869262695312
2,"(44.1905669, -72.928163)",1013.4135131835938
3,"(44.1906654, -72.9281716)",1012.4923095703125
4,"(44.1907885, -72.928163)",1012.34326171875
5,"(44.1908685, -72.9280857)",1010.2078247070312
6,"(44.1909362, -72.9280772)",1009.65380859375
7,"(44.1910039, -72.9280171)",1006.91748046875
8,"(44.19109, -72.9279227)",1003.30908203125
9,"(44.1911516, -72.927854)",1002.3699951171875
10,"(44.1911762, -72.9276737)",1000.4641723632812
11,"(44.19119155, -72.92756645)",997.4835205078125
12,"(44.1912069, -72.9274592)",994.9583129882812
13,"(44.1913054, -72.9273562)",992.9415283203125
14,"(44.1914346, -72.9273304)",993.0152587890625
15,"(44.1915577, -72.9273047)",991.4757690429688
16,"(44.1916562, -72.9272875)",990.268798828125
17,"(44.1917547, -72.9272188)",987.4364013671875
18,"(44.1918224, -72.92716305)",984.5814208984375
19,"(44.1918901, -72.9271073)",981.6304321289062
20,"(44.1919824, -72.927066525)",978.189453125
21,"(44.192074700000006, -72.92702575)",977.07666015625
22,"(44.192167000000005, -72.926984975)",974.6761474609375
23,"(44.1922593, -72.9269442)",972.526123046875
24,"(44.1923455, -72.9269356)",970.4354858398438
25,"(44.19241315, -72.92690554999999)",968.1454467773438
