coordinates,elevation
"(43.985807, -121.6723504)",2198.81689453125
"(43.98589013125, -121.6723529125)",2197.453857421875
"(43.985973262499996, -121.672355425)",2196.326171875
"(43.98605639375, -121.67235793750001)",2195.146728515625
"(43.986139525, -121.67236045)",2194.29638671875
"(43.98622265625, -121.67236296249999)",2193.560546875
"(43.9863057875, -121.67236547499999)",2192.497802734375
"(43.98638891875, -121.6723679875)",2191.15966796875
"(43.98647205, -121.6723705)",2189.730712890625
"(43.986555181250004, -121.6723730125)",2188.1484375
"(43.986638312500006, -121.672375525)",2186.252197265625
"(43.98672144375, -121.67237803750001)",2184.16748046875
"(43.986804575, -121.67238055)",2182.019287109375
"(43.98688770625, -121.67238306249999)",2179.840087890625
"(43.986970837499996, -121.67238557499999)",2177.03515625
"(43.98705396875, -121.6723880875)",2174.07421875
"(43.9871371, -121.6723906)",2171.710205078125
"(43.987203968749995, -121.67231775625)",2169.362548828125
"(43.9872708375, -121.67224491249999)",2167.116943359375
"(43.98733770625, -121.67217206875)",2165.321044921875
"(43.987404575, -121.672099225)",2163.42333984375
"(43.987471443749996, -121.67202638124999)",2161.39453125
"(43.9875383125, -121.6719535375)",2159.197265625
"(43.987605181250004, -121.67188069375)",2156.941650390625
"(43.98767205, -121.67180785)",2154.47412109375
"(43.98773891875, -121.67173500625)",2152.123291015625
"(43.9878057875, -121.6716621625)",2150.06005859375
"(43.987872656250005, -121.67158931875)",2147.919189453125
"(43.987939525, -121.671516475)",2145.681884765625
"(43.98800639375, -121.67144363125)",2143.404296875
"(43.9880732625, -121.6713707875)",2141.087158203125
"(43.988140131250006, -121.67129794375)",2138.83935546875
"(43.988207, -121.6712251)",2136.6591796875
"(43.9882805375, -121.67114498750001)",2134.35107421875
"(43.988354075000004, -121.67106487500001)",2132.185302734375
"(43.988427612500004, -121.67098476250001)",2130.441650390625
"(43.988501150000005, -121.67090465000001)",2128.685791015625
"(43.988574687500005, -121.67082453750001)",2126.5107421875
"(43.988648225000006, -121.67074442500001)",2123.86474609375
"(43.988721762500006, -121.67066431250001)",2121.729248046875
"(43.9887953, -121.67058420000001)",2119.447509765625
"(43.98886883749999, -121.6705040875)",2117.082763671875
"(43.98894237499999, -121.670423975)",2114.846923828125
"(43.989015912499994, -121.6703438625)",2112.677490234375
"(43.989089449999994, -121.67026375)",2110.419189453125
"(43.989162987499995, -121.6701836375)",2108.27783203125
"(43.989236524999995, -121.670103525)",2106.09814453125
"(43.989310062499996, -121.6700234125)",2104.13623046875
"(43.9893836, -121.6699433)",2101.8701171875
"(43.989438531249995, -121.6698834625)",2100.484375
"(43.98949346249999, -121.66982362499999)",2098.960693359375
"(43.98954839375, -121.66976378749999)",2097.660888671875
"(43.989603325, -121.66970395)",2096.156494140625
"(43.989658256249996, -121.66964411250001)",2094.461181640625
"(43.9897131875, -121.669584275)",2092.768798828125
"(43.98976811875, -121.6695244375)",2091.179931640625
"(43.98982305, -121.6694646)",2089.57275390625
"(43.98987798125, -121.6694047625)",2087.554931640625
"(43.989932912499995, -121.66934492499999)",2086.514404296875
"(43.98998784375, -121.66928508749999)",2085.28125
"(43.990042775, -121.66922525)",2083.91357421875
"(43.99009770625, -121.6691654125)",2082.760009765625
"(43.9901526375, -121.669105575)",2081.235595703125
"(43.99020756875, -121.6690457375)",2079.98486328125
"(43.9902625, -121.6689859)",2078.447265625
"(43.99035115, -121.66888929999999)",2075.72607421875
"(43.990439800000004, -121.6687927)",2073.352783203125
"(43.99052845, -121.6686961)",2070.912841796875
"(43.9906171, -121.6685995)",2067.982421875
"(43.990662549999996, -121.6685224625)",2065.400390625
"(43.990708, -121.668445425)",2063.3232421875
"(43.99075345, -121.66836838750001)",2062.00146484375
"(43.9907989, -121.66829135)",2060.177734375
"(43.99084435, -121.6682143125)",2059.216796875
"(43.990889800000005, -121.668137275)",2058.015380859375
"(43.99093525000001, -121.66806023750001)",2056.8486328125
"(43.9909807, -121.66798320000001)",2055.213134765625
"(43.991026149999996, -121.6679061625)",2053.661376953125
"(43.9910716, -121.66782912500001)",2051.99267578125
"(43.99111705, -121.66775208750002)",2050.74609375
"(43.9911625, -121.66767505000001)",2049.827392578125
"(43.99120795, -121.66759801250001)",2048.675537109375
"(43.991253400000005, -121.667520975)",2047.5709228515625
"(43.99129885000001, -121.6674439375)",2045.8828125
"(43.9913443, -121.6673669)",2044.317626953125
"(43.991344743750005, -121.66726690312501)",2043.7752685546875
"(43.9913451875, -121.66716690625)",2042.5384521484373
"(43.99134563125, -121.66706690937501)",2041.127197265625
"(43.991346074999996, -121.66696691250002)",2039.6156005859373
"(43.99134651874999, -121.66686691562501)",2038.2532958984373
"(43.991346962499996, -121.66676691875001)",2036.7457275390625
"(43.99134740625, -121.66666692187502)",2035.302001953125
"(43.99134785, -121.66656692500001)",2033.95849609375
"(43.991348293749994, -121.666466928125)",2032.63330078125
"(43.9913487375, -121.66636693125001)",2031.27099609375
"(43.99134918125, -121.66626693437502)",2029.91162109375
"(43.991349625, -121.66616693750001)",2028.55078125
"(43.991350068749995, -121.666066940625)",2027.007080078125
"(43.9913505125, -121.66596694375)",2025.046875
"(43.99135095625, -121.66586694687501)",2023.061279296875
"(43.9913514, -121.66576695)",2021.3121337890625
"(43.991351843749996, -121.665666953125)",2019.1939697265625
"(43.9913522875, -121.66556695625)",2017.4154052734373
"(43.991352731250004, -121.66546695937501)",2016.18701171875
"(43.991353175, -121.6653669625)",2015.426025390625
"(43.99135361875, -121.665266965625)",2014.6029052734373
"(43.9913540625, -121.66516696875)",2013.816162109375
"(43.991354506250005, -121.665066971875)",2012.9710693359373
"(43.99135495, -121.664966975)",2011.9453125
"(43.99135539375, -121.66486697812499)",2011.0020751953125
"(43.9913558375, -121.66476698125)",2009.73388671875
"(43.991356281250006, -121.664666984375)",2008.7755126953125
"(43.991356725, -121.6645669875)",2007.5145263671875
"(43.99135716875, -121.664466990625)",2006.225341796875
"(43.991357612499996, -121.66436699375001)",2004.9375
"(43.99135805624999, -121.664266996875)",2003.7928466796875
"(43.9913585, -121.664167)",2002.6971435546875
"(43.99136002499999, -121.664071375)",2001.5679931640625
"(43.99136154999999, -121.66397575)",2000.4163818359373
"(43.991363074999995, -121.663880125)",1999.1544189453125
"(43.9913646, -121.6637845)",1997.7725830078125
"(43.991366125, -121.663688875)",1996.2667236328125
"(43.99136765, -121.66359325)",1995.1116943359373
"(43.991369175, -121.663497625)",1994.20556640625
"(43.9913707, -121.663402)",1993.641845703125
"(43.991441225, -121.66329830000001)",1992.3023681640625
"(43.99151175, -121.6631946)",1990.622802734375
"(43.991582275, -121.6630909)",1988.85595703125
"(43.9916528, -121.6629872)",1987.2493896484373
"(43.991735399999996, -121.662879275)",1985.249267578125
"(43.991817999999995, -121.66277135)",1982.3426513671875
"(43.991900599999994, -121.662663425)",1979.0582275390625
"(43.9919832, -121.6625555)",1975.8529052734373
"(43.992034875, -121.662473025)",1973.93359375
"(43.992086549999996, -121.66239055)",1972.2987060546875
"(43.992138225, -121.662308075)",1971.9840087890625
"(43.9921899, -121.6622256)",1971.83056640625
"(43.9913443, -121.6673669)",2044.317626953125
"(43.99140935, -121.6672815)",2041.72509765625
"(43.9914744, -121.66719610000001)",2039.206787109375
"(43.991539450000005, -121.66711070000001)",2036.474609375
"(43.9916045, -121.6670253)",2034.6314697265625
"(43.99166955, -121.6669399)",2032.1778564453125
"(43.9917346, -121.6668545)",2029.6434326171875
"(43.991799650000004, -121.6667691)",2027.420166015625
"(43.9918647, -121.6666837)",2025.429443359375
"(43.991981262500005, -121.66662969375)",2022.40576171875
"(43.992097825, -121.6665756875)",2019.4600830078125
"(43.9922143875, -121.66652168125)",2016.64892578125
"(43.992330949999996, -121.66646767499999)",2014.49072265625
"(43.99244751249999, -121.66641366874998)",2011.5670166015625
"(43.992564075, -121.66635966249999)",2009.035400390625
"(43.9926806375, -121.66630565624999)",2006.1619873046875
"(43.9927972, -121.66625164999999)",2003.4036865234373
"(43.992913762499995, -121.66619764375)",2000.864501953125
"(43.993030325, -121.6661436375)",1998.0416259765625
"(43.993146887500004, -121.66608963125)",1994.6651611328125
"(43.99326345, -121.666035625)",1991.3575439453125
"(43.9933800125, -121.66598161875001)",1989.0028076171875
"(43.993496575, -121.66592761250001)",1987.451171875
"(43.993613137500006, -121.66587360625002)",1985.279296875
"(43.9937297, -121.6658196)",1983.183349609375
"(43.9938435375, -121.66572666249999)",1981.531982421875
"(43.993957375, -121.66563372499999)",1980.2138671875
"(43.9940712125, -121.66554078749999)",1979.1424560546875
"(43.99418505, -121.66544784999999)",1977.3128662109373
"(43.9942988875, -121.66535491249999)",1975.1124267578125
"(43.994412725000004, -121.66526197499999)",1973.627685546875
"(43.9945265625, -121.6651690375)",1972.20263671875
"(43.9946404, -121.6650761)",1970.8592529296875
"(43.994750637500005, -121.66505097499999)",1969.969970703125
"(43.994860875, -121.66502584999999)",1969.1630859375
"(43.9949711125, -121.665000725)",1968.4122314453125
"(43.99508135, -121.66497559999999)",1968.031494140625
"(43.9951915875, -121.664950475)",1968.258056640625
"(43.995301825, -121.66492535)",1968.16064453125
"(43.995412062499994, -121.664900225)",1967.3907470703125
"(43.9955223, -121.6648751)",1965.8963623046875
"(43.9955963875, -121.6649102625)",1964.84326171875
"(43.995670475, -121.66494542500001)",1964.6168212890625
"(43.9957445625, -121.66498058750001)",1964.32080078125
"(43.995818650000004, -121.66501575000001)",1964.153076171875
"(43.9958927375, -121.6650509125)",1963.8662109375
"(43.995966825000004, -121.665086075)",1963.4351806640625
"(43.99604091250001, -121.6651212375)",1963.8968505859373
"(43.996115, -121.6651564)",1964.00732421875
"(43.9961710125, -121.66520915000001)",1963.8817138671875
"(43.996227025, -121.6652619)",1963.541259765625
"(43.99628303750001, -121.66531465)",1963.2554931640625
"(43.99633905, -121.66536740000001)",1963.009033203125
"(43.9963950625, -121.66542015)",1962.6103515625
"(43.996451075, -121.6654729)",1962.5379638671875
"(43.99650708750001, -121.66552565)",1961.932861328125
"(43.9965631, -121.6655784)",1961.602783203125
"(43.996630825000004, -121.6656425875)",1960.6099853515625
"(43.996698550000005, -121.66570677499999)",1959.8858642578125
"(43.996766275, -121.66577096249999)",1959.574951171875
"(43.996834, -121.66583514999999)",1959.5159912109373
"(43.996901725, -121.6658993375)",1959.48388671875
"(43.996969449999995, -121.665963525)",1959.404296875
"(43.997037174999996, -121.6660277125)",1958.9017333984373
"(43.9971049, -121.6660919)",1958.541259765625
"(43.9971836, -121.6661665)",1958.6474609375
"(43.9972623, -121.66624110000001)",1958.38525390625
"(43.997341000000006, -121.66631570000001)",1958.2166748046875
"(43.9974197, -121.6663903)",1958.3592529296875
"(43.9975172, -121.6664827)",1956.78076171875
"(43.997565987499996, -121.66657814999999)",1955.4825439453125
"(43.997614775, -121.6666736)",1953.4263916015625
"(43.9976635625, -121.66676905)",1950.9869384765625
"(43.99771235, -121.6668645)",1949.85693359375
"(43.9977611375, -121.66695995)",1949.503662109375
"(43.997809925, -121.66705540000001)",1949.293701171875
"(43.9978587125, -121.66715085000001)",1949.637451171875
"(43.9979075, -121.6672463)",1951.972900390625
"(43.998005074999995, -121.6673116)",1950.2498779296875
"(43.99810265, -121.6673769)",1949.2137451171875
"(43.998200225000005, -121.6674422)",1948.4949951171875
"(43.9982978, -121.6675075)",1949.8267822265625
"(43.99836285000001, -121.6674773625)",1947.8182373046875
"(43.9984279, -121.667447225)",1946.7216796875
"(43.99849295, -121.66741708750001)",1946.2142333984373
"(43.998558, -121.66738695000001)",1945.6793212890625
"(43.998623050000006, -121.6673568125)",1945.15673828125
"(43.9986881, -121.667326675)",1944.8304443359373
"(43.99875315, -121.6672965375)",1944.404541015625
"(43.9988182, -121.6672664)",1943.7354736328125
"(43.9989013125, -121.66721867500002)",1943.3416748046875
"(43.998984425, -121.66717095000001)",1942.7210693359373
"(43.999067537500004, -121.66712322500001)",1941.795166015625
"(43.999150650000004, -121.66707550000001)",1940.0924072265625
"(43.999233762500005, -121.66702777500001)",1938.2357177734373
"(43.999316875000005, -121.66698005)",1937.12060546875
"(43.9993999875, -121.666932325)",1936.8753662109373
"(43.9994831, -121.6668846)",1936.3912353515625
"(43.999598737499994, -121.66687455)",1934.7293701171875
"(43.999714374999996, -121.6668645)",1933.6505126953125
"(43.9998300125, -121.66685445)",1931.5789794921875
"(43.99994565, -121.6668444)",1929.8377685546875
"(44.0000612875, -121.66683435)",1929.1976318359373
"(44.000176925000005, -121.6668243)",1929.0167236328125
"(44.00029256250001, -121.66681425)",1929.380126953125
"(44.0004082, -121.6668042)",1930.1142578125
"(43.977347, -121.6858044)",2725.5439453125
"(43.97738728750001, -121.68568805312499)",2723.15234375
"(43.97742757500001, -121.68557170624999)",2720.29638671875
"(43.977467862500006, -121.685455359375)",2716.521240234375
"(43.977508150000006, -121.6853390125)",2712.646484375
"(43.977548437500005, -121.68522266562499)",2709.762939453125
"(43.977588725000004, -121.68510631875)",2705.106689453125
"(43.9776290125, -121.684989971875)",2700.047119140625
"(43.9776693, -121.684873625)",2696.72314453125
"(43.9777095875, -121.68475727812499)",2693.24658203125
"(43.977749875, -121.68464093124999)",2689.630126953125
"(43.9777901625, -121.684524584375)",2686.603271484375
"(43.97783045, -121.6844082375)",2683.503173828125
"(43.9778707375, -121.68429189062499)",2679.9970703125
"(43.977911025, -121.68417554375)",2675.239501953125
"(43.9779513125, -121.684059196875)",2670.91162109375
"(43.977991599999996, -121.68394285)",2665.588623046875
"(43.978031887499995, -121.68382650312499)",2661.533203125
"(43.978072174999994, -121.68371015624999)",2657.93212890625
"(43.97811246249999, -121.683593809375)",2654.440673828125
"(43.97815274999999, -121.6834774625)",2652.0615234375
"(43.97819303749999, -121.68336111562499)",2649.65966796875
"(43.97823332499999, -121.68324476875)",2646.8291015625
"(43.97827361249999, -121.683128421875)",2643.73095703125
"(43.978313899999996, -121.683012075)",2639.502685546875
"(43.9783541875, -121.68289572812499)",2634.031494140625
"(43.978394475, -121.68277938124999)",2627.100341796875
"(43.9784347625, -121.682663034375)",2620.854736328125
"(43.97847505, -121.6825466875)",2617.091796875
"(43.9785153375, -121.68243034062499)",2614.210693359375
"(43.978555625, -121.68231399375)",2610.56396484375
"(43.9785959125, -121.682197646875)",2605.739990234375
"(43.9786362, -121.6820813)",2600.31689453125
"(43.978677703125, -121.68198412499999)",2596.05029296875
"(43.97871920625, -121.68188694999999)",2591.515869140625
"(43.978760709374995, -121.681789775)",2586.466552734375
"(43.9788022125, -121.68169259999999)",2582.808349609375
"(43.978843715625, -121.68159542499998)",2579.43798828125
"(43.978885218749994, -121.68149824999999)",2576.302001953125
"(43.978926721875, -121.681401075)",2572.678466796875
"(43.978968224999996, -121.68130389999999)",2569.758544921875
"(43.97900972812499, -121.68120672499998)",2566.90380859375
"(43.97905123125, -121.68110954999999)",2563.4296875
"(43.979092734374994, -121.681012375)",2559.74658203125
"(43.97913423749999, -121.68091519999999)",2555.488525390625
"(43.979175740624996, -121.680818025)",2551.92919921875
"(43.97921724374999, -121.68072085)",2548.46630859375
"(43.97925874687499, -121.68062367499999)",2544.45849609375
"(43.979300249999994, -121.6805265)",2539.09033203125
"(43.979341753125, -121.680429325)",2534.24853515625
"(43.979383256249996, -121.68033215)",2530.32568359375
"(43.97942475937499, -121.680234975)",2528.361328125
"(43.9794662625, -121.68013780000001)",2526.10400390625
"(43.979507765625, -121.680040625)",2523.751953125
"(43.97954926875, -121.67994345000001)",2520.216064453125
"(43.979590771874996, -121.67984627500002)",2515.90478515625
"(43.979632275, -121.67974910000001)",2511.073486328125
"(43.979673778125004, -121.679651925)",2506.7177734375
"(43.97971528125, -121.67955475000001)",2502.966064453125
"(43.979756784375, -121.67945757500001)",2499.19921875
"(43.9797982875, -121.67936040000001)",2496.15234375
"(43.979839790625, -121.679263225)",2493.051513671875
"(43.97988129375, -121.67916605)",2489.90771484375
"(43.979922796875, -121.67906887500001)",2486.971923828125
"(43.9799643, -121.6789717)",2484.28515625
"(43.979969768749996, -121.67883051250001)",2480.389404296875
"(43.9799752375, -121.67868932500001)",2476.822998046875
"(43.97998070625, -121.6785481375)",2472.985107421875
"(43.97998617499999, -121.67840695000001)",2468.00146484375
"(43.97999164375, -121.6782657625)",2463.424072265625
"(43.979997112499994, -121.678124575)",2458.033935546875
"(43.98000258124999, -121.6779833875)",2452.688232421875
"(43.980008049999995, -121.6778422)",2447.62353515625
"(43.98001351875, -121.6777010125)",2444.2568359375
"(43.980018987499996, -121.677559825)",2442.47998046875
"(43.98002445624999, -121.6774186375)",2438.1708984375
"(43.980029925, -121.67727744999999)",2433.6650390625
"(43.98003539375, -121.6771362625)",2428.916259765625
"(43.9800408625, -121.676995075)",2423.226806640625
"(43.980046331249994, -121.67685388749999)",2419.313232421875
"(43.9800518, -121.6767127)",2415.49951171875
"(43.98010415, -121.67662955)",2411.105224609375
"(43.9801565, -121.67654639999999)",2408.214111328125
"(43.98020885, -121.67646324999998)",2405.61328125
"(43.9802612, -121.67638009999999)",2403.090576171875
"(43.980313550000005, -121.67629695)",2400.11279296875
"(43.9803659, -121.6762138)",2395.60693359375
"(43.98041825, -121.67613065)",2391.106689453125
"(43.980470600000004, -121.6760475)",2387.275634765625
"(43.98052295000001, -121.67596434999999)",2382.792236328125
"(43.980575300000005, -121.67588119999999)",2377.787353515625
"(43.98062765, -121.67579805)",2374.279541015625
"(43.98068000000001, -121.6757149)",2369.756591796875
"(43.980732350000004, -121.67563175000001)",2365.3134765625
"(43.9807847, -121.6755486)",2360.31494140625
"(43.980837050000005, -121.67546544999999)",2358.859130859375
"(43.9808894, -121.6753823)",2356.8759765625
