coordinates,elevation
"(39.3224062, -119.8899887)",2583.938720703125
"(39.3224678, -119.88989015)",2582.752197265625
"(39.3225294, -119.8897916)",2581.400390625
"(39.322593725000004, -119.889713825)",2580.346435546875
"(39.32265805, -119.88963605000001)",2579.2353515625
"(39.322722375, -119.88955827500001)",2578.2294921875
"(39.3227867, -119.8894805)",2577.406494140625
"(39.322863675, -119.88939095)",2576.528076171875
"(39.32294065, -119.8893014)",2575.54736328125
"(39.323017625, -119.88921185)",2574.58740234375
"(39.3230946, -119.8891223)",2573.357666015625
"(39.3231602, -119.889046)",2572.140869140625
"(39.323239075000004, -119.8889811)",2570.80712890625
"(39.32331795, -119.8889162)",2569.50341796875
"(39.323396825, -119.8888513)",2568.370849609375
"(39.3234757, -119.8887864)",2567.250244140625
"(39.323571, -119.888708)",2565.76416015625
"(39.3238325, -119.8797548)",2503.466552734375
"(39.3239403875, -119.8796957875)",2499.066162109375
"(39.324048274999996, -119.879636775)",2496.2861328125
"(39.324156162499996, -119.87957776249999)",2493.111328125
"(39.32426405, -119.87951875)",2489.307861328125
"(39.3243719375, -119.87945973750001)",2486.552734375
"(39.324479825, -119.87940072500001)",2482.745849609375
"(39.3245877125, -119.87934171250001)",2479.489501953125
"(39.3246956, -119.8792827)",2476.407958984375
"(39.324801425, -119.8792076)",2473.203369140625
"(39.324907249999995, -119.8791325)",2469.391845703125
"(39.325013075, -119.8790574)",2465.256103515625
"(39.3251189, -119.8789823)",2461.36328125
"(39.3251687, -119.87891257500002)",2459.147705078125
"(39.3252185, -119.87884285000001)",2457.392822265625
"(39.3252683, -119.87877312500001)",2454.816650390625
"(39.3253181, -119.8787034)",2452.96875
"(39.32538447499999, -119.87857465)",2450.35498046875
"(39.325450849999996, -119.8784459)",2448.43017578125
"(39.325517225, -119.87831715)",2446.669189453125
"(39.3255836, -119.8781884)",2443.914306640625
"(39.3255753, -119.878086475)",2441.488037109375
"(39.325567, -119.87798455000001)",2439.569091796875
"(39.3255587, -119.87788262500001)",2437.158935546875
"(39.3255504, -119.8777807)",2434.673583984375
"(39.325513099999995, -119.87763585)",2431.2900390625
"(39.3254758, -119.877491)",2429.473388671875
"(39.3255172, -119.8773515)",2428.11328125
"(39.325569075000004, -119.87728445)",2427.17333984375
"(39.32562095, -119.8772174)",2426.6181640625
"(39.325672825, -119.87715035)",2425.8916015625
"(39.3257247, -119.8770833)",2425.174072265625
"(39.3257579, -119.8769653)",2425.020263671875
"(39.3257911, -119.8768473)",2425.069580078125
"(39.325797324999996, -119.87674669999998)",2422.973388671875
"(39.32580355, -119.87664609999999)",2420.2099609375
"(39.325809775, -119.87654549999999)",2419.519775390625
"(39.325816, -119.8764449)",2419.229248046875
"(39.3249363, -119.8839283)",2565.9833984375
"(39.32497053749999, -119.883818325)",2560.605712890625
"(39.325004775, -119.88370835)",2554.571044921875
"(39.3250390125, -119.883598375)",2547.118896484375
"(39.32507325, -119.8834884)",2540.550537109375
"(39.325107487500006, -119.883378425)",2536.021240234375
"(39.325141725, -119.88326845)",2531.751708984375
"(39.3251759625, -119.883158475)",2529.33056640625
"(39.3252102, -119.8830485)",2527.660888671875
"(39.325247537500005, -119.8829680375)",2526.8427734375
"(39.325284875, -119.882887575)",2525.29248046875
"(39.3253222125, -119.88280711249999)",2523.66796875
"(39.32535955, -119.88272665)",2521.826904296875
"(39.325396887500006, -119.8826461875)",2520.5634765625
"(39.325434225, -119.882565725)",2519.32666015625
"(39.3254715625, -119.88248526250001)",2518.16357421875
"(39.3255089, -119.8824048)",2517.070556640625
"(39.32552135, -119.88228276250001)",2513.33056640625
"(39.3255338, -119.882160725)",2508.752197265625
"(39.32554625, -119.8820386875)",2503.45166015625
"(39.3255587, -119.88191665)",2498.480224609375
"(39.32557115, -119.88179461249999)",2495.375
"(39.3255836, -119.881672575)",2494.20751953125
"(39.32559605, -119.8815505375)",2492.586669921875
"(39.3256085, -119.8814285)",2490.918701171875
"(39.325586725, -119.8813440125)",2489.563232421875
"(39.32556495, -119.88125952499999)",2488.226318359375
"(39.325543175, -119.88117503749999)",2487.103759765625
"(39.3255214, -119.88109055)",2485.86572265625
"(39.325499625, -119.8810060625)",2484.9765625
"(39.32547785, -119.880921575)",2484.34375
"(39.325456075, -119.8808370875)",2483.253662109375
"(39.3254343, -119.8807526)",2482.4150390625
"(39.3253845, -119.88059435)",2481.408203125
"(39.3253347, -119.8804361)",2480.368896484375
"(39.3252849, -119.88027785)",2479.411376953125
"(39.3252351, -119.8801196)",2479.039306640625
"(39.3232681, -119.8844755)",2621.810791015625
"(39.32325565, -119.88434137499999)",2615.980712890625
"(39.3232432, -119.88420725)",2606.539794921875
"(39.32323075, -119.884073125)",2597.57763671875
"(39.3232183, -119.883939)",2589.22265625
"(39.32322245, -119.88378075)",2579.442626953125
"(39.3232266, -119.8836225)",2569.9736328125
"(39.32323075, -119.88346425)",2560.782958984375
"(39.3232349, -119.883306)",2552.75439453125
"(39.323301300000004, -119.88316652500001)",2545.741455078125
"(39.323367700000006, -119.88302705000001)",2540.779052734375
"(39.3234341, -119.88288757500001)",2538.24462890625
"(39.3235005, -119.8827481)",2535.75927734375
"(39.3210769, -119.8753452)",2651.264404296875
"(39.321140706250006, -119.875300275)",2647.257568359375
"(39.3212045125, -119.87525535)",2642.57421875
"(39.32126831875, -119.875210425)",2637.407470703125
"(39.321332125, -119.8751655)",2631.96875
"(39.321395931249995, -119.87512057499998)",2626.481201171875
"(39.3214597375, -119.87507564999999)",2620.8349609375
"(39.321523543750004, -119.87503072499999)",2614.82861328125
"(39.32158735, -119.87498579999999)",2609.041015625
"(39.32165115625, -119.874940875)",2603.06884765625
"(39.3217149625, -119.87489595)",2596.87353515625
"(39.32177876875001, -119.874851025)",2590.597412109375
"(39.321842575000005, -119.8748061)",2584.387451171875
"(39.32190638125, -119.874761175)",2578.402587890625
"(39.3219701875, -119.87471625)",2572.3310546875
"(39.32203399375, -119.87467132500001)",2566.218505859375
"(39.3220978, -119.8746264)",2560.365966796875
"(39.3221714625, -119.87459287499999)",2554.06982421875
"(39.322245125, -119.87455935)",2548.31689453125
"(39.3223187875, -119.874525825)",2542.427978515625
"(39.32239245, -119.8744923)",2536.4091796875
"(39.3224661125, -119.874458775)",2531.243896484375
"(39.322539775, -119.87442525)",2525.85009765625
"(39.3226134375, -119.87439172500001)",2520.32080078125
"(39.3226871, -119.8743582)",2515.142822265625
"(39.3211433, -119.8764503)",2682.010009765625
"(39.321227337500005, -119.87639397500001)",2673.467041015625
"(39.321311375, -119.87633765000001)",2664.2451171875
"(39.321395412499996, -119.87628132500001)",2654.57080078125
"(39.32147945, -119.876225)",2645.832275390625
"(39.3215634875, -119.876168675)",2637.65673828125
"(39.321647525, -119.87611235)",2629.544677734375
"(39.321731562500005, -119.876056025)",2621.69677734375
"(39.3218156, -119.8759997)",2611.838134765625
"(39.321916237500005, -119.8759366625)",2602.3369140625
"(39.322016875, -119.875873625)",2593.505615234375
"(39.3221175125, -119.8758105875)",2583.479736328125
"(39.32221815, -119.87574755)",2574.152587890625
"(39.322318787499995, -119.8756845125)",2564.7548828125
"(39.322419425, -119.875621475)",2555.71337890625
"(39.322520062500004, -119.8755584375)",2546.443603515625
"(39.3226207, -119.8754954)",2537.5869140625
"(39.32269955, -119.87545248750001)",2531.432373046875
"(39.322778400000004, -119.875409575)",2525.267333984375
"(39.32285725, -119.8753666625)",2519.4453125
"(39.3229361, -119.87532375)",2513.9912109375
"(39.32301495, -119.8752808375)",2508.225341796875
"(39.323093799999995, -119.875237925)",2502.509033203125
"(39.32317265, -119.8751950125)",2497.05078125
"(39.3232515, -119.8751521)",2491.940185546875
"(39.323369774999996, -119.875141375)",2485.2021484375
"(39.323488049999995, -119.87513064999999)",2479.2451171875
"(39.323606325, -119.87511992499999)",2473.25732421875
"(39.3237246, -119.8751092)",2466.7451171875
"(39.3212927, -119.8768365)",2675.36767578125
"(39.32136791875, -119.8768204125)",2670.21923828125
"(39.3214431375, -119.876804325)",2665.610595703125
"(39.321518356249996, -119.8767882375)",2661.772216796875
"(39.321593575, -119.87677215)",2658.18505859375
"(39.32166879375001, -119.8767560625)",2653.49462890625
"(39.321744012500005, -119.87673997499999)",2648.252197265625
"(39.321819231250004, -119.87672388749999)",2643.254638671875
"(39.32189445, -119.87670779999999)",2637.522705078125
"(39.32196966875, -119.87669171249999)",2630.11083984375
"(39.3220448875, -119.87667562499999)",2621.958251953125
"(39.32212010625, -119.87665953749999)",2613.73486328125
"(39.322195325, -119.87664344999999)",2606.340087890625
"(39.32227054375001, -119.87662736249999)",2599.5517578125
"(39.32234576250001, -119.87661127499999)",2592.163818359375
"(39.322420981250005, -119.87659518749999)",2585.00634765625
"(39.3224962, -119.8765791)",2578.083740234375
"(39.3225843875, -119.87655495000001)",2569.968505859375
"(39.322672575, -119.87653080000001)",2561.72314453125
"(39.322760762499996, -119.87650665000001)",2554.018798828125
"(39.32284895, -119.87648250000001)",2546.376708984375
"(39.322937137500006, -119.87645835000001)",2538.504638671875
"(39.323025325, -119.8764342)",2530.587646484375
"(39.3231135125, -119.87641005)",2523.537841796875
"(39.3232017, -119.8763859)",2516.517578125
"(39.32328885, -119.87636847499999)",2509.23876953125
"(39.323375999999996, -119.87635105)",2501.9404296875
"(39.323463149999995, -119.876333625)",2495.185791015625
"(39.3235503, -119.87631619999999)",2489.122802734375
"(39.32363745000001, -119.876298775)",2483.50244140625
"(39.323724600000006, -119.87628135)",2478.054931640625
"(39.323811750000004, -119.87626392499999)",2472.786376953125
"(39.3238989, -119.8762465)",2467.844970703125
"(39.323986037500006, -119.8762465)",2463.465576171875
"(39.324073175, -119.8762465)",2459.292724609375
"(39.3241603125, -119.8762465)",2455.19921875
"(39.32424745, -119.8762465)",2451.170654296875
"(39.324334587500005, -119.8762465)",2447.498779296875
"(39.324421725, -119.8762465)",2444.140625
"(39.3245088625, -119.8762465)",2441.00341796875
"(39.324596, -119.8762465)",2438.539306640625
"(39.324701825, -119.87628135)",2438.0234375
"(39.32480765, -119.87631619999999)",2437.13330078125
"(39.324913475, -119.87635105)",2434.1240234375
"(39.3250193, -119.8763859)",2431.25439453125
"(39.3209275, -119.8774481)",2695.488037109375
"(39.321037475, -119.8774574875)",2684.531494140625
"(39.32114745, -119.877466875)",2673.993408203125
"(39.321257425, -119.8774762625)",2664.2265625
"(39.3213674, -119.87748565)",2654.39697265625
"(39.321477375, -119.8774950375)",2643.818359375
"(39.32158735, -119.877504425)",2633.5390625
"(39.321697325, -119.8775138125)",2624.38037109375
"(39.3218073, -119.8775232)",2615.75537109375
"(39.321916237500005, -119.87754867499999)",2606.821533203125
"(39.322025175, -119.87757414999999)",2598.39111328125
"(39.322134112499995, -119.87759962499999)",2589.781494140625
"(39.32224305, -119.87762509999999)",2580.7216796875
"(39.3223519875, -119.87765057499999)",2571.647216796875
"(39.322460925, -119.87767604999999)",2563.352783203125
"(39.3225698625, -119.87770152499999)",2555.23583984375
"(39.3226788, -119.877727)",2547.490234375
"(39.3227690625, -119.8777404125)",2541.494873046875
"(39.322859324999996, -119.877753825)",2535.625244140625
"(39.3229495875, -119.8777672375)",2529.726318359375
"(39.32303985, -119.87778065)",2523.9541015625
"(39.3231301125, -119.8777940625)",2517.739990234375
"(39.323220375000005, -119.877807475)",2511.95751953125
"(39.3233106375, -119.87782088750001)",2506.40625
"(39.3234009, -119.8778343)",2501.124755859375
"(39.3234787, -119.87784503750001)",2497.007080078125
"(39.3235565, -119.877855775)",2493.313232421875
"(39.3236343, -119.8778665125)",2489.812255859375
