coordinates,elevation
"(43.3163672, -72.0732583)",795.8366088867188
"(43.316425525, -72.07318786249999)",794.1895141601562
"(43.31648385, -72.07311742499999)",792.5803833007812
"(43.316542174999995, -72.07304698749999)",790.1221313476562
"(43.3166005, -72.07297654999999)",787.9058227539062
"(43.316658825000005, -72.0729061125)",785.603515625
"(43.31671715, -72.072835675)",783.2259521484375
"(43.316775475, -72.0727652375)",780.6370239257812
"(43.3168338, -72.0726948)",777.9229736328125
"(43.316921625, -72.07258214999999)",773.2518310546875
"(43.31700945, -72.0724695)",768.2627563476562
"(43.317097275, -72.07235685)",763.5515747070312
"(43.3171851, -72.0722442)",759.1651000976562
"(43.317261200000004, -72.072155675)",756.9720458984375
"(43.317337300000005, -72.07206715000001)",754.1114501953125
"(43.31741340000001, -72.07197862500001)",750.5846557617188
"(43.3174895, -72.0718901)",746.7190551757812
"(43.317569524999996, -72.071812325)",742.0773315429688
"(43.31764955, -72.07173455)",737.0296630859375
"(43.317729575, -72.07165677500001)",732.54931640625
"(43.3178096, -72.071579)",728.54150390625
"(43.3178896, -72.0715012)",724.8270263671875
"(43.3179696, -72.0714234)",720.410888671875
"(43.318049599999995, -72.0713456)",717.132080078125
"(43.3181296, -72.0712678)",713.446044921875
"(43.3182389, -72.07121955)",707.646240234375
"(43.3183482, -72.0711713)",701.951171875
"(43.31845355, -72.07114985000001)",696.8893432617188
"(43.3185589, -72.0711284)",691.7289428710938
"(43.3186838, -72.071123)",686.1207275390625
"(43.3188087, -72.0711176)",682.8432006835938
"(43.3226888, -72.0721908)",670.4632568359375
"(43.3226657, -72.07206535)",669.2080688476562
"(43.3226426, -72.0719399)",667.7682495117188
"(43.3226195, -72.07181445)",666.4752197265625
"(43.3225964, -72.071689)",664.4212036132812
"(43.32258602500001, -72.071585525)",662.4910278320312
"(43.322575650000005, -72.07148205)",660.4602661132812
"(43.322565275, -72.071378575)",658.4173583984375
"(43.3225549, -72.0712751)",656.9189453125
"(43.322555725, -72.07111465)",654.7733154296875
"(43.32255655, -72.07095419999999)",652.6090698242188
"(43.322557375, -72.07079374999999)",649.5845947265625
"(43.3225582, -72.0706333)",646.656982421875
"(43.32255655, -72.07049115)",643.5264282226562
"(43.3225549, -72.070349)",638.9014282226562
"(43.32255655, -72.07021169999999)",634.4654541015625
"(43.3225582, -72.0700744)",630.2698974609375
"(43.322559850000005, -72.0699371)",626.6613159179688
"(43.3225615, -72.0697998)",623.0230712890625
"(43.322562024999996, -72.069692575)",620.6471557617188
"(43.32256255, -72.06958535)",618.4146728515625
"(43.322563075000005, -72.06947812499999)",615.288818359375
"(43.3225636, -72.0693709)",611.96240234375
"(43.322576175, -72.069238575)",607.575927734375
"(43.32258875, -72.06910625)",604.0263671875
"(43.322601325, -72.068973925)",600.4342651367188
"(43.3226139, -72.0688416)",597.0924682617188
"(43.322614474999995, -72.068729475)",594.0716552734375
"(43.322615049999996, -72.06861735)",590.810791015625
"(43.322615625, -72.068505225)",587.5088500976562
"(43.3226162, -72.0683931)",584.295166015625
"(43.322598825, -72.06828404999999)",581.706787109375
"(43.32258145, -72.068175)",578.8646850585938
"(43.322564075, -72.06806595)",575.9658203125
"(43.3225467, -72.0679569)",573.3941040039062
"(43.3148278, -72.0737565)",820.8538208007812
"(43.31489415, -72.07364385)",820.2685546875
"(43.3149605, -72.0735312)",819.7340698242188
"(43.3149605, -72.0734996)",819.5739135742188
"(43.3149605, -72.0733974)",818.6096801757812
"(43.3149605, -72.0732952)",817.9266967773438
"(43.3149605, -72.0731396)",817.5578002929688
"(43.3149605, -72.072984)",817.3541259765625
"(43.3149176, -72.07282845)",816.770751953125
"(43.3148747, -72.0726729)",814.4781494140625
"(43.314882499999996, -72.07256559999999)",812.8614501953125
"(43.3148903, -72.0724583)",810.4419555664062
"(43.3148903, -72.07233495)",807.1544189453125
"(43.3148903, -72.0722116)",804.2427368164062
"(43.3148991, -72.0721508)",802.8695678710938
"(43.3149215, -72.071997)",798.9435424804688
"(43.3150228, -72.0719008)",795.1375122070312
"(43.315095, -72.071844475)",793.794189453125
"(43.315167200000005, -72.07178815)",792.6725463867188
"(43.3152394, -72.071731825)",791.577880859375
"(43.3153116, -72.0716755)",789.918212890625
"(43.315389675, -72.071611125)",787.6901245117188
"(43.315467749999996, -72.07154675)",784.4110717773438
"(43.315545825, -72.07148237499999)",780.9166870117188
"(43.3156239, -72.071418)",778.1258544921875
"(43.3156922, -72.0713912)",776.1814575195312
"(43.315760499999996, -72.0713644)",774.53173828125
"(43.3158288, -72.07133759999999)",772.4160766601562
"(43.3158971, -72.0713108)",769.947265625
"(43.3159732, -72.07124372500002)",766.4654541015625
"(43.3160493, -72.07117665000001)",764.052978515625
"(43.316125400000004, -72.07110957500001)",762.346923828125
"(43.3162015, -72.0710425)",759.92529296875
"(43.3162815, -72.07099557500001)",757.390869140625
"(43.3163615, -72.07094865)",754.3594360351562
"(43.316441499999996, -72.070901725)",751.47900390625
"(43.3165215, -72.0708548)",748.9356079101562
"(43.316644499999995, -72.0708199)",744.8023681640625
"(43.3167675, -72.070785)",740.3978271484375
"(43.31683825, -72.0707538)",737.583740234375
"(43.316909, -72.0707226)",734.8746337890625
"(43.3169821, -72.0707099)",732.4512329101562
"(43.3225467, -72.0679569)",573.3941040039062
"(43.32256352499999, -72.067862375)",570.779052734375
"(43.322580349999996, -72.06776785)",568.1017456054688
"(43.322597175, -72.067673325)",565.3287353515625
"(43.322614, -72.0675788)",562.3677368164062
"(43.3226334, -72.0674698)",559.0057983398438
"(43.3226619375, -72.067384975)",556.3734741210938
"(43.322690475, -72.06730015)",553.4278564453125
"(43.3227190125, -72.06721532499999)",550.6271362304688
"(43.32274755, -72.06713049999999)",547.986328125
"(43.3227760875, -72.06704567499999)",545.2592163085938
"(43.322804625, -72.06696084999999)",542.6378173828125
"(43.322833162500004, -72.066876025)",540.2359619140625
"(43.3228617, -72.0667912)",538.0161743164062
"(43.322899025, -72.0667037)",535.7489624023438
"(43.32293635, -72.0666162)",533.5146484375
"(43.322973675, -72.06652869999999)",531.2579956054688
"(43.323011, -72.0664412)",528.7880859375
"(43.32311295, -72.066352)",525.2781372070312
"(43.3232149, -72.0662628)",522.099853515625
"(43.323284175, -72.06621587500001)",520.3635864257812
"(43.32335345, -72.06616895)",518.5626220703125
"(43.323422725, -72.066122025)",516.9193725585938
"(43.323492, -72.0660751)",515.3838500976562
"(43.32357785, -72.06598925)",513.4420776367188
"(43.3236637, -72.0659034)",511.4468688964844
"(43.323728599999995, -72.06586135)",510.3049926757813
"(43.3237935, -72.0658193)",509.3691101074219
"(43.3238282, -72.0657968)",508.9394226074219
"(43.3239375, -72.0657378)",508.1627807617188
"(43.3240116, -72.0656519)",508.12213134765625
"(43.3240818, -72.0655339)",508.06390380859375
"(43.3241053, -72.0654374)",507.9744262695313
"(43.3241248, -72.0653569)",507.9145812988281
"(43.3204089, -72.0673625)",603.3504028320312
"(43.320445975, -72.06724985)",600.88916015625
"(43.32048305, -72.06713719999999)",598.1895751953125
"(43.320520125, -72.06702454999999)",595.6326904296875
"(43.3205572, -72.0669119)",593.0289916992188
"(43.32065475, -72.0667939)",589.14404296875
"(43.3207523, -72.0666759)",584.9797973632812
"(43.320820600000005, -72.06662762500001)",582.5917358398438
"(43.3208889, -72.06657935000001)",580.0357666015625
"(43.320957199999995, -72.066531075)",577.1260986328125
"(43.3210255, -72.0664828)",574.4742431640625
"(43.32108795, -72.066423775)",571.9866943359375
"(43.3211504, -72.06636474999999)",569.5751953125
"(43.32121285, -72.06630572499999)",566.835205078125
"(43.3212753, -72.0662467)",564.2199096679688
"(43.32136895, -72.06615554999999)",560.0909423828125
"(43.3214626, -72.0660644)",555.8409423828125
"(43.3215797, -72.06599465)",550.67041015625
"(43.3216968, -72.0659249)",546.0845947265625
"(43.321821650000004, -72.06591415)",542.6570434570312
"(43.3219465, -72.0659034)",539.0794067382812
"(43.3220714, -72.06593025000001)",535.4865112304688
"(43.3221963, -72.0659571)",533.2813720703125
"(43.3223095, -72.06596245)",531.8850708007812
"(43.3224227, -72.0659678)",530.6394653320312
"(43.322490974999994, -72.0659678)",529.837646484375
"(43.32255925, -72.0659678)",529.0142211914062
"(43.322627525, -72.0659678)",528.1201782226562
"(43.3226958, -72.0659678)",527.449951171875
"(43.3227641, -72.065962425)",526.6017456054688
"(43.322832399999996, -72.06595705)",525.4502563476562
"(43.3229007, -72.065951675)",524.0169067382812
"(43.322969, -72.0659463)",522.4026489257812
"(43.32309, -72.0658927)",519.5883178710938
"(43.323211, -72.0658391)",517.3738403320312
"(43.32331245, -72.06578544999999)",515.695556640625
"(43.3234139, -72.0657318)",514.15576171875
"(43.323479425, -72.065675625)",512.9335327148438
"(43.32354495, -72.06561945)",511.72564697265625
"(43.323610474999995, -72.065563275)",510.5428466796875
"(43.323676, -72.0655071)",509.6227416992188
"(43.3237696, -72.0654213)",508.7515563964844
"(43.32383985, -72.065373)",508.13031005859375
"(43.3239101, -72.0653247)",507.9669189453125
"(43.3239921, -72.0652282)",507.7521667480469
"(43.3240584, -72.0652496)",507.79638671875
"(43.3241092, -72.0653086)",507.93505859375
"(43.3241248, -72.0653569)",507.9145812988281
"(43.321202, -72.0684202)",600.8285522460938
"(43.3212808, -72.068322075)",598.5563354492188
"(43.3213596, -72.06822395)",596.1107177734375
"(43.321438400000005, -72.06812582500001)",594.408447265625
"(43.3215172, -72.0680277)",591.2796630859375
"(43.321553300000005, -72.06794590000001)",588.9924926757812
"(43.3215894, -72.06786410000001)",587.227294921875
"(43.321625499999996, -72.0677823)",585.3548583984375
"(43.3216616, -72.0677005)",583.4384155273438
"(43.3216977, -72.0676187)",581.4902954101562
"(43.321733800000004, -72.0675369)",579.473876953125
"(43.32176990000001, -72.06745509999999)",577.2413940429688
"(43.321806, -72.0673733)",575.2988891601562
"(43.321895775, -72.06728477499999)",571.957763671875
"(43.32198555, -72.06719625)",567.8884887695312
"(43.322075325, -72.067107725)",562.9323120117188
"(43.3221651, -72.0670192)",557.9752197265625
"(43.322265575, -72.06691627500001)",552.8275756835938
"(43.32236605, -72.06681335)",548.96826171875
"(43.322466524999996, -72.066710425)",545.6370239257812
"(43.322567, -72.0666075)",542.0713500976562
"(43.322653849999995, -72.06657095)",538.4551391601562
"(43.3227407, -72.0665344)",535.2003784179688
"(43.32282755, -72.06649784999999)",532.9315185546875
"(43.3229144, -72.0664613)",530.8545532226562
