name,id
Bonanza #1,6205507
Grubstake #2,6205510
Payday #3,6205514
Silver Lode #4,54673424
Sunrise Quad #5,164662208
Angel Peak #6,198237525
,257544081
Roller Coaster,386416243
Right wing,386416253
Big Bear,386416289
Treasure Hill,772029778
Easy Slide,772029779
Han's Highway,772029780
Gold Chute,772029781
Trolley Car,772029782
Fool's Gold,772029783
Gold Pan,772029784
Silver Dollar,772029785
Mahre's Gold,772029786
Benandrus Way,772029787
Single Jack,772029788
Claim Jumper,772029789
Tamarack,772029790
Hobbit Forrest,772029791
,772029792
Mahre's Gold,772029793
Klondike,772029794
Silver Ridge,772029795
Tombstone,772029796
,772029797
Beaver Slide,772029798
Silver King,772029799
Portal,772029800
Silver Queen,772029801
,772029802
Silver Jack,772029803
Silver Jack,772029804
Knight,772029805
Bishop,772029806
Rook,772029807
Ursula's Alley,772029808
Silver Drife,772029809
Powder Keg,772029810
Upper Peacemaker,772029811
Lower Peacemaker,772029812
Hole in the Wall,772029813
Blackhawk,772029814
Huckleberry Ridge,772029815
Chilkoot Pass,772029816
Little Bear,772029817
Moose Track Corner,772029818
Alpine Road,772029819
Bugaboo,772029820
Left Wing,772029821
Broadway,772029822
Classifier,772029823
Blastface,772029824
Scimitar,772029825
Sunrise,772029826
Dreamline,772029827
Valhalla,772029828
Sabre,772029829
Single Malt,772029830
Tatanka,772029831
Boothill,772029832
Last Chance,772029833
Sluice Box,772029834
Tailings,772029835
4800 Road,772029836
Flying Dutchman,772029837
Outer Dutchman,772029838
Quartzite Ridge,772029839
Wolf,772029840
Angel Heart,772029841
Wolf Den,772029842
Bakken,772029843
Upper Concentrator,772029844
Concentrator,772029845
Stockholder's,772029846
Upper Cy's Glades,772029847
Lower Cy's Glades,772029848
Northeast Ridge,772029849
Separate Reality,772029850
Stope,772029851
Green Beret,772029852
Pipeline,772029853
Cherub,772029854
Gritz,772029855
Lower Dutchman,772029856
Crusher,772029857
Gold Rush,772029858
