name,id
Aerial Tram,153320086
Glacier Bowl Express Upper Terminal,184077707
Ted's Express,184077717
Tanaka,184077718
Wade's Way,257383114
Finnland,257384252
Bear Cub Quad,257384253
Chair 7,257384523
Glacier Bowl Express,257384863
Blueberry Hill,489509953
Tanaka Hill,489509954
Denali,489509971
Steilhang,489509973
Tanaka Cat Road,489509982
Klondike,489509983
Spoon Line,663062071
Spider Bite,663062072
Jetway,663062073
Champagne,663062074
Dogleg,663062075
Brown Shorts,663062076
Autobahn,663062077
Home Stretch,663062079
Blueberry Hill,917943700
Ego Flats,918371947
Waterfall,918371950
Switchback,918932695
Northwest Passage,929871223
North Star,929871224
Banjo,929871225
Banjo,929871226
Gear Jammer,929871227
Bear Trap,929871228
Lolo's,929871229
Cabbage Patch,929871230
Saddle,929871231
Low Shadows,929871232
Surprise Gully,929871233
Peel Off,929871234
Citation,929871235
Jetway,929871236
Corkscrew,929871237
Sitzmark Run,929871238
Lower Confidence,929871239
Christmas,929871240
Perseverence,929871241
Cheechacko,929871242
Confidence,929871243
Rollover,929871244
Chair 3 Road,929871245
Klondike Cutoff,929871246
Lower Race Trail,929871247
Sourdough,929871248
Upper Vom Imhof,929871249
Upper Race Trail,929871250
Don's Run,929871251
Alpine,929871252
Eagle Rock,929871253
South Face,929871254
Mambo,929871255
South Edge,929871256
Hammel Highway,929871258
,929871259
Lower Vom Imhof,929871260
Ptarmigan Gully,929871261
Weir,929871262
Max's Traverse,929871263
High Traverse,929871264
White Friday,929871265
Black Friday,929871266
Silvertip,929871267
Chilkoot Ridge,929871268
Gail's Gully,929871269
Prospector,929871270
Trapline,929871271
Main Street,929871272
Mighty Mite,929871273
Voluptuous Rolls,932527060
Blue Lagoon,932527061
Chump Change,932527062
Rueben's Shoulder,932527063
Money 2,932527064
Money 1,932527065
Zug's Slide,932527066
Tiger Trap,932527067
Big Dipper,932527068
Little Dipper,932527069
Jim's Branch,932527070
Jay's Way,932527071
Tram Pocket,932527072
Chili Dog,932527073
Tram Pocket,932527074
Pandora,932527075
Ballroom,932527076
Wyatt's Burp,932527077
Big Doo Doo,932527078
Facet,932527079
Knuckles,932527080
Ragdoll,932527081
Chuck's Traverse,932527082
New Year's Chute,932527083
Christmas Chute,932527084
Runway,946627214
Corkscrew,946627225
Tanaka Cat Road,946627227
Lower Vom Imhof,946627231
Lower Vom Imhof,946627232
Silvertip Face,946627233
Main Street,946627234
