name,id
Little Nell,17117552
Cloud Nine,17117676
Loge Peak,17117678
Ruthie's,17117679
Silver Queen,17117689
Lift 1A,17118146
Exhibition,17118210
Ski School Lift,40233623
Panda Peak,40233630
Ski School Magic Carpet,99948692
Tiehack Express,99948694
West Buttermilk Express,99948697
Summit Express,99948700
Homestead Road,99957793
Homestead Road,99957805
Under My Thumb,99957811
,99957812
Westward Ho,99957814
Spruce,99957819
,99957821
Red Rover,99957824
Larkspur,99957828
Big Face Hallow,99957832
Tiehack Trail,99957836
Sterner,99957838
Spruce Face,99957843
Superpipe,99957848
Government,99957851
Tiehack Parkway,99957858
Racer's Edge,99957861
Javelin,99957867
,99961330
,99961331
Rabbit Run,99961332
Uncle chuck's Glades,99961333
Ptarmigan,99961334
,99961335
Buckskin,99961336
Jacob's Ladder,99961337
Camp Bird,99961338
Teaser,99961339
Savo,99961340
Magic Carpet,99962996
Sterner Gulch,99962997
Eagle Hill,99962999
Gents Ridge,130102106
Bell Mountain,130102107
F.I.S.,130102108
Deep Temerity,151179408
Thunderbowl,151179418
,228725944
,228726033
,230048511
,240079874
,258702586
Powder Bowl,377705664
,387980006
Dipsy Doodle,423507037
Buckhorn,423507038
Cutoff,423507039
Midnight,423507040
Summit,423507041
Midway Road,423507042
North American,423507043
Pumphouse Hill,423507044
Spar Gulch,423507045
Midway Road,423510561
Percy,423510562
Gretl's,423510563
Reds Run,423510565
FIS Trail,423510566
FIS Trail,423510567
FIS Trail,423510568
Ruthie's Run,423510569
North American,423510570
Tourtelotte Park,423510571
Copper,423512821
Copper Bowl,423512822
1 &amp; 2 Leaf,423512824
Lazy Boy,423512825
Silver Bell,423523528
Pussyfoot,423523529
Lud's Lane,423526651
Walsh's,423526654
North Star,423526657
Hyrup's,423526660
Kristi,423526663
Gent's Ridge,423526666
Glade #1,423526671
Glade #2,423526673
Jackpot,423526675
Kleenex Cornner,423526680
Blazing Star,423526681
Silver Dip,423526682
Deer Park,423526683
Blondie's,423526684
Back of Bell Cutt-off,423526685
Face of Bell Cut-off,423526686
Sunrise/Sunset,423526687
Tortilla Flats,423526688
Hanging Tree,423526689
Seibert's,423529140
Knowlton's,423529141
Back of Bell #1,423529142
Back of Bell #2,423529143
Keith Glen,423529144
Ridge of Bell,423529145
Nose of Bell,423529146
Face of Bell,423529147
Bell Meadow,423529148
Shoulder of Bell,423529149
Easy Chair,423529447
Bellissimo,423683133
Upper Roch Run,423694072
Summer Road,423694075
Magnifico Road,423694091
Tower Ten Road,423694097
Strawpile,423694105
E. 5th Ave,423694108
Schuss Gully,423694111
Norway,423694115
West 5th Ave,423694118
Gene Reardon's Run,423694123
Roch Run,423694127
International,423694130
Schiller Road,423694133
Traynor Ridge,423694140
Traynors,423694144
Aztec,423698144
Spring Pitch,423698145
Lower Roch Run,423698146
Corkscrew Gully,423698147
Corkscrew,423698149
Super 8,423698150
Magnifico,423698151
Lazy8 Gully,423698153
FIS Slalom Hill,423698154
Franklin Dump,423698155
Normandy,423698157
Silver Rush,423698158
Silver Queen,423698159
1A Lift Line,423700003
Lower Corkscrew,423700004
Upper Little Nell,423700005
Lower Little Nell,423700006
Lower Little Nell,423700007
Lower Little Nell,423700008
Bear Paw,423700009
S1,423700010
Short Snort,423700011
Zaugg Dump,423700012
Perry's Prowl,423700013
Last Dollar,423700014
Glade #3,423701391
Silver Queen Dumps,423701392
Bingo Glades,423701393
Cone 1,423966020
Cone 2,423966021
Rayburn's,423966022
Bonnie Bell Dump,423966023
Wiggly Woods,423966024
Gent's Ridge,423966025
Ajax Express,451945806
,579412454
,579412472
Wine Ridge,580619671
Heather-Bedlam,580619672
Scarlett's Run,580619673
Gunbarrel,580619674
Deane's,580619675
Midway,580619676
Pyramid Park,580619677
Upper Robinson's,580619678
Moment of Truth,580619679
Robinson's Run,580619680
Bob's Glade,580619683
Upper Stein,580619684
Prospector,745001953
Broadway,745004607
Golden Horn,745013805
Smuggler,745014708
Timber Doodle Glade,772491592
No Problem,772491593
Friedl's,772491594
Ridge Trail,772491595
Lover's Lane,772491596
Midway Ave,772491597
Bear,772491598
Lower Savo,772491599
Baby Doe,772491600
Columbine,772491601
Panda Hill,772491602
Face of Olly,772755554
Upper Robinson's,772755555
Grand Prix,772755556
Willy's,772755557
,772755558
Meadows,772755559
Kandahar,772755560
Hayden,772755561
Alps,772755562
The Wall,772755563
Prospector,772755564
Prospector Gulch,772755565
T-Lazy Catwalk,772755566
Riverside Drive,772755567
Golden Barrel,772755568
Nugget,772755569
Exibition,772755570
Red Onion,772755571
Park Avenue,772755572
Thunder Bowl,772755573
Upper Jerome,772755574
Jerome,772755575
Limelight,772755576
Jerome Bowl,772755577
Lower Stein,772755578
Apple Strudel,772755579
Memory Lane,772755580
,772755581
Troyer's Trail,772755582
,772755583
Moment Chutes,772755584
P-Chutes Road,772755585
Separator,772755586
Audacious,772755587
P-Chutes,772755588
Lower Golden Horn,772755589
Epicure,772755590
Suzi Q,772755591
Sherwood Forest,772755592
Loge Peak Chutes,772755593
Boomerang,772755594
I-70,772755595
Le Chamonix,772755596
Olympic Bowl,772755597
Highland Bowl,772755598
Temerity,772755599
G-3,1015108574
G-4,1015108575
