name,id
Magic Carpet 2,198651561
Thundercloud Lift 1,198651562
Grizzly Lift,198651563
Magic Carpet 1,198651567
Little Bear Lift,198651568
Thundercloud Lift 2,198651569
Lower Thunder,392376108
Lower Thunder,392376109
Short Cut,392376110
Cruisin',392376111
Lower Eagle Pass,392376112
Devil's Dip,392376113
Devil's Bowl,392376114
Bailout,392376115
Grizzly,392376116
Upper Polar Bear,392376117
Lower Polar Bear,392376118
Screaming Demon,392376119
Lower Jamboree,392376120
Upper Jamboree,392376121
Whispering Run,392376122
Snowbird,392376123
Tubing,392376124
