name,id
J-Bar,242288236
Summit Double,242288237
East Bowl Triple,242288238
Platter Pull,255552385
Moody's Run,265258232
Terrain Park,265258233
End's Trail,265258234
Whitney's Hill,265258236
Jubilee,265258237
Chute,773007174
Galloping Goose,773007175
Lo Road,773007176
Drop Off,773007177
Upper Jackson Standard,773007178
Lower Jackson Standard,773007179
Raceway,773007180
Goose Pitch,773007181
Runaway,773007182
S-Turns,773007183
Cross Cut,773007184
Diamond Cut,773007185
Bat Cave,773007186
Jumiper,773007187
Upper Black Beauty,773007188
Black Beauty,773007189
Lower Black Beauty,773007190
Juniper,773007191
Beauty Loop,773007192
Sweet,773007193
East Bowl,773007194
High Road,773007195
Sugarbush,773007196
Rabbit Run,773007197
Sweet Dreams,773007198
Sugar Loop,773007199
White Knuckle,773007200
White Forest,773007201
Sugar Glades,773007202
Black Forest,773007203
Never Ending Trail,773007204
Upper Galloping Goose,773007205
Lostbo,773007206
Black'N Blue,773007207
Lostbo Glades,773007208
Upper Maple Slalom,773007209
Sun Valley,773007210
Maple Slalom Chute,773007211
Maple Slalom,773007212
Roller Coaster,773007213
Davis,773007214
Ninow,773007215
Valley View,773007216
Big Dipper,773007217
Upper Speedwell,773007218
Upper Speedwell,773007219
Bob-A-Link,773007220
Bob-A-Link,773007221
Little Dipper,773007222
Mr Kew,773007223
No Turning Back,773007224
Mr. Kew Glades,773007225
Quick Way,773007226
T2,773007227
Black Diamond,773007228
Maple Glades,773007229
Down Under,773007230
Carter Notch Glades,773007231
Lostbo,915566156
Rope Tow,1004347498
