name,id
West Mountain Express High Speed Quad,207260256
Bethlehem Express High Speed Quad,207260257
Zephyr High Speed Quad,207260259
Rosebrook Summit Express Quad,207260260
Learning Center Quad,207260261
Wonder Carpet,242290455
Red Carpet,242290456
Cascade,258216793
Bretton's Wood,258216794
Avalon,258216795
Range View,258216796
Crawford Ridge,258216797
Big Ben,259583620
Bigger Ben,259583621
Ben,259583623
Outer Bounds,259583624
Joseph's Run,259583625
High Ridge,259583626
Upper In Between,259587718
Fabyan's Express,259587719
Coos Caper,259587721
Crawford&quot;s Blaze,259587722
Dave's Drop,259587723
Upper Swoop,259587724
Upper Express,259587725
No Regrets,259587726
Archie&quot;s Alley,259587727
Triple Traverse,259587728
Water Tank,259593786
Panorama,259593787
Bode's Run,259593788
Carrol,259593789
Herb's Secret,259593791
Lower Perimeter,259593792
Darby's Drop,259593793
Sly Fox,259593794
Snake,259593795
Diamond Ridge,259593796
Sawyer's Swoop,259593797
Deception Bowl,259593798
Granny's Grit,259593799
Mcintyre's Ride,259593800
Mt. Road Traverse,259593801
Willey's Slide,259593802
Zealand,259593803
Telegraph T-bar,259603475
Minhan Ridge,259603476
Down'n Under,259603478
Abel's Traverse,259603483
Enchanted Bear,259603485
Presidential,259603486
Starr King,259603487
Glade West,259603488
Lower Chute,259603490
Jacob's Ladder,259603491
Fire Tower,259603493
Rosebrook Meadow,259603494
Oscar Barron's,259603495
Waumbek,259603496
Snowplay Zone,259603497
Alpine Gardens,259603498
Black forest Glade,259603499
Downspout Glade,259603500
Shenanigans,259603501
Short Cut,259603502
Rag's Run,259603504
Go West,259603506
Aggassiz,259603507
Little Tuckerman,259603508
Almost Home,259603509
Roz's,259603510
Rosebrook Lane,259603511
Condo Cutback,259603615
Wild West,259603935
Cliff's Cliff,259603936
Cherry Mountain Slide,260681839
Maple Woods,260681840
John Grave's glades,260681841
Boundary Line Glades,260681843
Among the Clouds,260681844
Lizzie Borne Glades,260681845
Blowdown Alley,260681861
Skyway Gondola,766575397
Fabyan's Express Triple,766575398
Two Miles Home,770746722
Telegraph Traverse,770746723
Lazy Man's,848956568
Hemlock,848956569
Inferno,848956570
Over The Falls,848956571
Snowmaker's Gully,848956572
Sierra's Crest,848956573
Mr. Moose,848956574
Dark Star,848956575
Crawford's Cutoff,848956576
Peboamauk Fall,848956577
Millennium Maze,848956578
Fast Fall,848956580
Jump Turn,848956581
Stickney Escape,848956582
Stickney 1,848956583
Stickney 2,848956584
Stickney 3,848956585
Stickney 5,848956586
Stickney 4,848956587
,848956588
Two Miles Home,1005359977
Zealand,1005359978
Stickney Escape,1005359980
Stickney Escape,1005359981
,1005382841
,1005382842
Nathan's Smile,1005382843
,1005382844
,1005382845
,1005382846
,1005386406
Upper Perimeter,1005399980
,1005399981
,1005399982
Lower In Between,1005399983
Crawford&quot;s Blaze,1005399984
,1005399985
,1005399986
Stillwater,1005405154
Carrol,1005410901
,1005412076
,1005458657
