name,id
Ski School Lift,40233623
Panda Peak,40233630
Ski School Magic Carpet,99948692
Tiehack Express,99948694
West Buttermilk Express,99948697
Summit Express,99948700
Homestead Road,99957793
Homestead Road,99957805
Under My Thumb,99957811
,99957812
Westward Ho,99957814
Spruce,99957819
,99957821
Red Rover,99957824
Larkspur,99957828
Big Face Hallow,99957832
Tiehack Trail,99957836
Sterner,99957838
Spruce Face,99957843
Superpipe,99957848
Government,99957851
Tiehack Parkway,99957858
Racer's Edge,99957861
Javelin,99957867
,99961330
,99961331
Rabbit Run,99961332
Uncle chuck's Glades,99961333
Ptarmigan,99961334
,99961335
Buckskin,99961336
Jacob's Ladder,99961337
Camp Bird,99961338
Teaser,99961339
Savo,99961340
Magic Carpet,99962996
Sterner Gulch,99962997
Eagle Hill,99962999
,387980006
Timber Doodle Glade,772491592
No Problem,772491593
Friedl's,772491594
Ridge Trail,772491595
Lover's Lane,772491596
Midway Ave,772491597
Bear,772491598
Lower Savo,772491599
Baby Doe,772491600
Columbine,772491601
Panda Hill,772491602
