name,id
Red Lady Express Lift,17057615
Peachtree Lift,17058121
West Wall Lift,17060861
Paradise Express Lift,17063449
Silver Queen Express Lift,17065569
North Face Lift,139860353
Gold Link LIft,139860357
Prospect Lift,139860358
Painter Boy Lift,139860361
East River Express Lift,139862062
The High Lift,139943658
Yellow Brick Road,208447133
Gunsight Pass Road,227367374
Houston Access,227367375
,227379570
Aspen Carpet,258658749
Pine Carpet,258658750
Paradise Access,377783943
High Tide,377783944
Splains Gulch,377783946
Tulsa,377783950
Rustler's Gulch,377783952
Exit To Black Eagle,377783957
Bear,377783966
Mach 1,377783968
Upper Park,377783970
Meander,377783975
Bakery Trees,377783977
Big Al's,377783979
Black Eagle,377783980
Buckley,377783982
Bushwacker,377783984
Cascade,377783985
Daisy,377783986
Deer Pass,377783988
Double Top Glades,377783989
Elko Park,377783990
Fallaway,377783991
Floresta,377783992
Upper Forest Queen,377783993
Middle Gallowich,377783994
Upper Gallowich,377783995
Gully Glades,377783996
Gus' Way,377783998
Bubba's Shortcut,377783999
Jokerville,377784001
Lower Keystone,377784003
Kubler,377784004
Little Queen,377784005
Lower Treasury,377784006
Lower Twister,377784007
Middle Twister,377784008
Mineral Point,377784009
North Pass,377784010
Panion's Run,377784011
Paradise Bowl,377784012
Peanut,377784013
Pinball,377784014
Poverty Gulch,377784015
Prospector,377784018
Rambo,377784019
Resurrection,377784020
Roller Coaster,377784021
Upper Ruby Chief,377784022
Upper Smith Hill,377784023
Sylvanite,377784024
Twin Bridges,377784026
Upper Treasury,377784031
Paradise Bowl,377784032
Silver Queen Road,377784035
Ruby Road,377784039
Aspen Park Road,377784042
Headwall Upper Triangle,543411484
Powder 8 Gully,543411485
Headwall Glades,543411486
Headwall,543411487
Halfpipe Gully,543537467
Sunny Glade,543537468
Figure 11 Chutes,543537469
Big Chute,543537470
Paradise Cliffs,543537471
Headwall East Side,543549013
Spellbound Bowl,543549014
Spellbound Glades,543549016
Lookout,543549019
Moosehead,543549020
Phoenix Bowl,543549021
Phoenix Steps,543549023
Phoenix Last Steep,543549024
Staircase,543550698
Leaning Tree Chutes,543550699
Dead End Chutes,543550701
Body Bag Glades,543550702
High Life,543550704
Sunsteps,543550706
Rock And Roll Glades,543550708
Peel,544676847
Wind Tower,544676849
Twister,544676850
Crystal,544676851
Upper International,544676852
Little Lizzy,544676853
Rachel's,546198864
Tower 11 Chutes,546198865
Tower 10 Glades,546198866
Drop Off,546198867
Paradise Lift Glade,546198868
Powder Rock Glade,546199424
Stevie's,546199425
Honey Pie,546199426
Quick's,546199427
Hard Slab,546200209
Hawk's Nest,546200210
Old Pro,546200211
Last Steep,546200212
To Black Eagle,546201147
Buck's Traverse,546201148
Sock it To Me,546201240
Cesspool,546201241
Phaser,546201647
Keyhole,546201648
Tunnel,546201649
Slipper,546201984
North Face Cliffs,546202641
High Notch,546202642
Notch Traverse,546202853
Last Stash,546202854
Town Park,546203784
Teo Tongue,546203787
Morning Glory,546203790
Uecker Glades,546203793
Main Street,546203795
Peach Pit,546203798
Coffey Grounds,546204005
Duey's,546204006
Jack in the Box Glades,546204007
Liars Bench,546204605
Solar Glaze,546204606
Morning Woods,546204607
Exit To Paradise,546204910
Wolf's Lair,546204936
Picture Perfect Glades,546206088
Slot,546206089
Slot Rocks,546206090
Dead Bob's Chutes,546206091
Disgusting Trees,546206336
Flatiron,546208489
Banana,546208490
Chiquita,546208491
Sunset Ridge,546209126
Funnel,546209127
Banana Glades,546209128
Total Recall,546209129
Pygmy Spear Garden,546209130
Flatiron Glades,546209131
Lower Peel,546349120
Tropicana,546349121
Hidden Chutes,546349122
Hall of Fame,546349123
Whatever,546350279
Ghost Rider,546350280
Down And Out,546350281
Outta Sight,546350864
Marley's Glades,546350865
Horseshoe,546362085
Rosebush Glades,546362087
Git Some Glades,546367940
Closed Area,546367941
Main Third Bowl,546367942
Smuggler's Knob,546367943
Lower Parachute,546367944
Upper Parachute,546367945
Close Call,546367946
Solar Plexus,546367947
High Exit,546367948
Magic Carpet,546367949
Solar Junkyard,546367950
Westwall,546369751
Peoria,546369752
Horseshoe Springs,546370917
Eflin's Way,546370918
Painter Boy,546370919
Ski and Ride School,546372566
,546374028
Old Lift Line,546374030
Upper Championship,546374031
Warming House Hill,546375316
,546375318
Avery,546377586
Belleview,546377587
,546377588
Glades Access,546377589
,546377590
Spellbound Traverse Trail,546377591
Monument,546653832
,546653833
Lower Canaan,546686871
Family Cross Course,546686872
To Black Eagle,546686873
Banana High Entrance,547132244
Deep Throat,547133393
Predator,547133394
Hockey Rink,547134746
Banana Exit,547134747
Orange Peel,547135170
Upper Forest,547135171
Lower Forest,547135172
Big Hole,547135658
Little Holes,547135659
Hot Rocks,547135988
House Rock,547135989
Keystone,547137150
Triangle,547137153
Robel's,547137155
Elevator Shaft,547137157
Teo 2 Traverse,547140204
Bolted Wall,547140205
Outa Mind,547140206
Land of Many Names,547140207
Nunya Glades,547150264
Rockets,547150265
Land of Little Giants,547150266
Thor's,547150267
Many Names Traverse,547150268
Traverse Glade,547150269
Schnoid's,547150270
Digger's,547150271
The Peak,547151029
Midway Highlift,547151030
Phoenix Chutes,547326802
Pasta Bowl,547327480
Big Tree Chute,547329464
Miushroom Cliffs Bowl,547329466
High Nowhere,547330202
Edge,547332517
Fredo's,547333531
Treeline,547334047
Rambo Glades,547335386
Gerry's,547335387
Upper Headwall Traverse,547336719
Mid Headwall Traverse,547336970
Columbine,548234552
Augusta,549377013
Lower Championship,549377014
Homeowner's,549377016
Lower Smith Hill,549379594
Upper Conundrum,549380339
Conundrum,549380340
Lower Gallowich,549380341
Daisy,549380342
Ruby Steep,549381764
,549381766
Lower Ruby Chief,549381768
Houston Access,549381771
Lower Forest Queen,549381774
Upper Canaan,549381777
Upper Forest Queen,549381780
,549381783
Yellow Brick Road,549383161
Lower Crystal,549383162
Fish Bowl,549384200
Lower International,549384203
Aspen Park Road,549384205
Middle Championship,549384209
Psycho Rocks,549385943
Mario Land,549385944
Houston,549385945
Ruby Access,549385946
Keystone Ridge,549386899
Luge,549389241
Blood Forest,549389242
Upper Peel,549389245
No See Um,549391103
Easy Out,549393065
Rosy Lane,549393066
Easy Rider,549393067
Low Exit,549395167
Good Luck Glades,549395168
Houston,656786302
Tecoli Lift,771419035
