name,id
Winslow Mountain Quad,242365341
Holt's Ledge Double,242365342
J-Bar Beginners Lift,255589553
,268409537
Upper Thomas,268409539
Beginners,268409541
MD,268409543
MBA,268409546
Papoose,268409548
Pass Fail,268409551
Howard Chivers,268409555
Jug Handle,268413328
Lower John Meck,268413329
Upper Lyme Drop,268413331
T Line,268413333
Cum Laude,268413337
Lower Worden,268413338
Lower Thomas,268413341
Green Pastures,268413344
Race Finish,268413347
Lower Lyme Drop,268413349
,268413351
Lift Line,268413352
,268413354
Don Worden Schuss,268413356
Upper John Meck,268413358
Drop Out,268413360
Upper Gauntlet,268413362
,888789578
