name,id
Lift 1,256584743
Lift 1A - Visions Express,256584744
Magic Carpet,256584745
Boardwalk,256584746
Lift 3,256584747
Lift 4,256584748
Lift 2,256584749
Lift 5,256584750
Iliad,391411790
Alcmene,391411791
Elysian Fields,391411792
Karyatis Way,391411793
Alpha Slope,391411794
Stoic,391411795
Magic Carpet Trail,391411796
Castor,391411797
Lower Pollux,391411798
Odyssey,391795593
Boardwalk Trail,391795594
Parkathon,391795596
Meadow,391795597
East Meadows,391795598
Platonic,391795600
Wendy's Way,391795601
Cristy's Run,391795602
Olympian,391795603
Epicurus Way,391795604
Zephyr,391795605
Marathon,391795606
Trojan,391795607
Upper Mars Hill,392991105
Poseidon,392991106
Lower Poseidon,392991107
East Alpha,392991108
Lower Atlas,392991109
Hercules,392991110
Zeus,392991111
,392991112
,392991113
Mars Hill,392991114
Arethusa Way,392991115
Upper Arcadian Gate,392991116
Crisean Way,392991117
Lower Arcadian Gate,392991118
Castor Connection,439436345
Upper Pollux,842518911
Middle Pollux,842518912
Alsos Glade,842518913
Aesop's Glade,842518914
Mars Hill Connection,842518915
,1018296169
