name,id
Berkshire Express,143873076
Whitetail Quad,143873077
Widows White's Quad,143873081
Novice Chair,143873082
Summit Triple,143873083
Grand Slam Chair,143873084
The Mogul Thing,205006649
North Glade,205006650
Grand Slam,205006651
John Hancock,205006652
Ace Of Spades,205006653
Alex's Park Carpet Lift,205006654
West Way,205006655
Lower Glade,205006656
Cricket Triple,205006657
Upper Slingshot,205006658
Upper Liftline,205007350
Round-A-Bout,205007351
Glider,205007352
Lower Exhibition,205007353
Upper Fox,205007354
Cutter,205007355
Upper Exhibition,205007356
Whitetail,205007357
Wild Turkey,205007358
Upper Whirlaway,205007359
360,205007360
Lower Slingshot,205007361
Easy Does It,205007362
Riptide,205007363
Exhibition East,205007364
180,205007365
Deer Run,205007366
Catacombs,205007367
Willie's Gulch,205007368
Lower Fox,205007369
Bear Crossing,205007370
Merry Go Round,205007371
Merry Go Round,205007372
Racoon's Den,205007373
Jericho,205007374
Grouse Run,205007447
Outback,205007448
Panorama,205007449
Azalea Path,205007450
Out To Sea,205007451
Noreaster,205007452
Hot Wheels Glade,205007453
Left Bank,205007454
Scooter,205007455
Winding Brook,205007456
To 180,205092189
