name,id
Sunrise Village Triple,32959270
Skyeship Express Gondola Stage 1,32959286
Skyeship Express Gondola Stage 2,32959391
K-1 Express Gondola,32959705
Ramshead Express Quad,32959813
North Ridge Quad,32959881
Skye Peak Express Quad,32959913
Snowshed Express Quad,33101830
Outer Limits,33135130
Snowdon Six,33280742
Needle's Eye Express Quad,96906470
Canyon Quad,143877545
Bear Mountain Quad,143877547
Snowshed Double,203680469
Learn To Snowboard Carpet,203680470
Snowplay Carpet II,203680471
Snowplay Carpet I,203680472
Superstar Express Quad,203680474
Snowdon Triple,203680475
Northbrook Quad,203680476
Squeeze Play,203956139
,203956140
Treezy,203956141
Alpine Training Venue,203956142
Timberline,203956143
Header,203956144
Easy Street,203956146
Caper,204489894
Low Rider,204490179
Chute,204490180
Vagabond,204490183
Great Bear,204490184
North Star,204490185
Patsy's,204490186
Frolic,204490187
Racer's Edge,204492348
Royal Flush,204492349
Mouse Run,204492350
Bunny Buster,204492351
Bunny Buster,204492352
Killink,204492353
Chop Chop,204492354
Mouse Run,204492355
MTS,204492356
Highline,204492357
Conclusion,204492358
Mouse Trap,204492359
Cascade,204493071
Catwalk,204493072
Flume,204493073
Cascade Runout,204493074
,204493075
Reason,204493076
The Throne,204493077
High Traverse,204493078
Big Dipper,204493079
Spillway,204493080
Downdraft,204493081
Royal Flush,204493082
Rime,204493083
Double Dipper,204493084
Ridge Run,204493085
Ridge Run,204493086
East Fall,204493087
Powerline,204493088
Catwalk,204493089
Home Run,204493090
Low Traverse,204493091
Helter Skelter,204493092
East Fall,204493093
Double Dipper,204493094
FIS,204493095
Idler,204609679
Northbrook Trail,204609680
Fall Line,204609681
Highridge Trail,204609682
Yodeler,204609683
Great Eastern,204609684
Edgemont/Whiffletree Trail,204609685
Highlander,204609686
Snowshed Slope,204609687
Trail Creek Trail,204609689
,204609690
Learn To Ski And Ride Area,204609691
Blue Heaven,204614050
Jug Handle,204614052
The Jug,204614053
Pipe Dream,204614054
Sassafras,204614055
Escape,204614056
Breakaway,204614057
The Jug,204614058
Bear Trax,204614059
Solitude,204614060
Roundabout,204614061
Devil's Fiddle,204614062
Launch Pad,204689771
Skye Hawk,204689772
Skyewalker,204689773
Anarchy,204689774
Julio,204689775
Skyelark,204689776
Ovation,204689777
Low Road,204689778
NIVIS Walk,204689779
Skyelark,204689780
Old Superstar,204689781
Skye Bits,204689782
Bittersweet,204689783
,204689784
Gateway,204689785
Superstar,204689786
High Road,204689787
Ovation,204689788
Somewhere,204689789
Nowhere,204689790
Sunrise Trail,204693614
Ridgeview,204693624
Bear Cub,204693628
Rendezvous,204693634
Valley Plunge,204693636
Touch Down,204693638
,204693641
Bear View,204693643
Sunrise Trail,204693647
Sundog,204693649
Home Stretch,204693651
Bearly,204704931
Cruise Control,204704932
Northbrook Crossover,204704933
Needle's Eye,204704934
Needle's Eye,204704935
Carpenter's Run,204704936
The Stairs,204704937
Vertigo,204704938
Thimble,204704939
,204704940
Home Stretch,204704941
Panic Button,204704942
Stitch Line,204704943
Vertigo Headwall,204704944
Superpipe,204851358
,204851359
Stash Way,204851360
Skyeburst,204851361
The Stash,204851362
Bear Claw,204851363
Bear Claw,204851364
Dream Maker,204851365
Wildfire,204851366
Skyeburst,204851367
Skyeburst,204851368
The North Way,204851369
Dream Maker Headwall,204851370
Space Walk,204852241
Growler,204852242
O.L. Express,204852243
Devil's Den,204852244
Centerpiece,204852245
Juanita,243714622
Roundabout Glade,243714623
Tin Man,243714624
Skye Peak Liftline,243714625
Twister,243714626
bITTERSWEET,243714627
Scarecrow,243714628
Escapade,243836341
Magic Snow Play Park,313770087
South Ridge Quad,749970317
Alpine Training Venue Poma,751412809
Shorty,894039576
Old Superstar,894389347
Chunnel,894390326
Great Northern,894579999
Caper,894580000
Great Northern,894580001
South Ridge Link,907951019
Escape,907951020
Great Northern,907958048
Great Bear,907958049
,908249472
,908249473
,908249474
