name,id
Summit Express Gondola,143938365
Bridge Chair,144039014
Caribou Express,183431991
Timberwolf Chair,183431992
Ullr Char,183431994
Moose Return,183432644
Mystery Mountain Chair,183433730
,256875321
10th Mountain Chair,256875322
White Wolf,778337240
Moose Meadows,778337242
Lower Meadows,778337243
Caribou Curve,778337244
Antler Alley,778337245
Moose Glade,778337246
Cross Cut,778337247
Upper Caribou,778337248
Lower Caribou,778337249
Upper Cascade,778337250
Lower Cascade,778337251
Second Cut,778337252
Coyote,778337253
Caribou Return,778337254
The Stash,778337255
Lighthouse,778337256
Pup,778337257
Red Rider,778337258
Wolf Den,778337259
Huff'n Puff,778337260
Moose Crossing,778337261
Holy Cow,778337262
Glade Access,778337263
First Cut,778337264
Meadows Access,778337266
Mark's Run,778337267
Upper Bull Run,778337268
Lower Bull Run,778337269
Upper Grizzly,778337270
Lower Grizzly,778337271
Moose Drop,778337272
Line of Bull,778337273
Lynx,778337274
Cougar,778337275
Bobcat,778337276
Timberwolf,778337277
Buckshot,778337278
Moose Tracks,778337279
Moose Return,778337280
Moose Access,778337281
Cedar Ridge,778337282
Moose Maze,778337283
Red Fox,778337284
Bear's Den,778337285
Bear Claw,778337286
Cowabunga,778337287
Valley Run,778337288
The Plunge,778337289
Freefall,778337290
Adrenaline,778337291
Bridge Run,778337292
Lower Bridge Run,778337293
Timberjack,778337294
River Run,778337295
Short Shot,778337296
Mogen,778337297
Lodge Run,778337298
Charlotte's Web,778337299
Dipsey Doodle,778337300
Expert's Cutoff,778337301
Upper Hari-Kari,778337302
Lower Hari-Kari,778337303
Split Rock,778337304
Chris's Couloir,778337305
Upper Koo-Koo,778337306
Lower Koo-Koo,778337307
Caroline's Challenge,778337308
George's,778337310
Raven,778337311
Cliff Run,778337312
Fall Line,778337313
Big Bunny,778337314
Flapjack,778337315
Ullr,778337316
Ullr,778337317
Karen's corner,778337318
Steppes,778337319
Chick-a-dee,778337320
Tony's Tango,778337321
Molly's Folly,778337322
White Pine,778337323
Sugar Maple,778337324
Tap,778337325
White Birch,778337326
Log Chute,778337327
Grouse Gully,778337328
Dave's Glade,778337330
Black Spruce,778337331
Maple Glade,778337332
,778337334
Brule,835855839
Manitou,874439629
,874439630
,874439632
Split Rock,874439633
Highline,874439634
Middle Meadows,874439635
Valley Run,875602084
Valley Run,875602085
Moose Return,875602087
Moose Return,875602088
Upper Bull Run,976137751
Valley Run,976137752
Moose Access,976137757
Moose Access,976137758
Moose Return,976137760
