name,id
Sundance Triple,215697993
Chief Triple,215697994
Snowdance Double,215698001
Wardance Triple,215698003
Papoose,215698006
Lil' Hawk,255806957
Peacepipe,255806958
Pow,255806959
Wow,255806961
Nashoba Trail,267927771
Indian Run,267927772
,267927773
Sundance,267927774
Nashoba Glades,267927775
Snowboard Learning Area,267927776
Nashoba Slope,267927777
Wow,267927778
Pow,267927779
Papoose,267927780
Totem,267927781
Dog Leg,267927782
Wardance,267927783
Bull Run,267927784
Chief,267927785
Warrior,267927786
Big Bow,267927787
Terrain Glade,267927788
Lobo,267927789
