name,id
T-Bar Lift,759658202
Big Rope Tow,759658443
Small Rope Tow,759658819
Sugar House,976088670
Lower Powerline,976088671
Upper Powerline,976088672
Jug Handle,976088673
Northside,976088674
Holland's Tunnel,976088675
Sunny Side,976088676
Waterfall,976088677
Main Slope,976088678
The Face,976088679
New Face,976088680
Easy Street,976088681
,976088682
,976088683
,976088684
Waterfall,976088685
Jug Handle,976088686
Upper Powerline,976088687
Lower Powerline,976088688
Sugar House,976088689
Northside,976088690
New Face,976088691
The Face,976088692
Holland's Tunnel,976088693
Porcupine Wood,976088694
Sunny Side,976088695
Porcupine Wood,976088696
Main Slope,976088697
Easy Street,976088698
,976088700
Rabbit Patch,976088707
