name,id
Town Lift,10159691
Super Condor Express,10160849
Orange Bubble Express,10160855
Cabriolet,31560006
Red Pine Gondola,31560012
Sun Peak Express,31560103
Saddleback Express,31560107
High Meadow Express,31560114
,31560116
Ninety-Nine 90 Express,31770502
Peak 5,31772860
Dreamcatcher,31772909
Dreamscape,31772920
First Time Lift,31773201
Payday Hi-Speed Six-Pack,31773248
Bonanza Hi-Speed Six-Pack,31773295
King Con Express,31773314
Timberline,32205939
Cloud 9,32206070
Day Break,32216019
,32216020
,32216021
Elk Dance,32216022
Lazy Day,32216023
Lazy Day,32216024
Lazy Day,32216025
Panorama,32216026
Pipe Dream,32216027
Alpenglow,32216028
,32216031
,32216032
Mirage,32216035
Upper Crowning Glory,32216036
Tombstone Express,32217157
Sidewinder,32217158
Encore,32217159
,32217160
Silver Spur,32217161
Ripsaw,32217162
,32217163
,32217164
,32217165
South fork,32217166
,32217167
The Drop,32217168
Another World,32217170
Backstreet,32217171
Dawn,32217173
,32217174
Serenity,32217193
,32217196
Alley cat,32217198
,32217199
The Meadows,32217200
Meadow Cat,32217201
Snow Dancer,32217202
Badger's Bypass,32217203
,32217204
Kokopelli,32217205
Painted Horse,32217206
Mainline,32217207
Red Pine Road,32920370
Rhapsody,32920372
,32920379
,32920380
,35782125
,35782126
,37059133
Harmony,37059134
Elk Dance,37059137
Elk Dance,37059138
,37059148
,37059149
,37059192
Harmony,37059193
Town,37222260
Motherlode Express,52175653
Silver Star Lift,52175654
Eagle Lift,52179167
3 Kings Lift,52179176
Crescent Hi-Speed Quad,52181953
Pioneer Lift,52186623
McConkey's Hi-Speed Six-Pack,52186624
Thaynes Lift,52187804
Jupiter Lift,52187810
Boa,83586850
Newport,137624952
Treasure Hollow,137624953
Dead Tree,137624954
Dividend,137624955
Drift,137624956
Parley's Park,137624957
Fortune Teller,137624958
Portuguse Gap,137624959
Glory Hole,137624960
Thaynes Canyon,137624961
1st Bowl,137624962
PayDay,137624963
Shadow Ridge,137624964
Dynamite,137624965
Rhino,137624966
Motherlode Meadows,137624967
West Face,137624968
War Zone,137624969
The Hoist,137624970
Widowmaker,137624971
Hidden Splendor,137624972
Scott's Bowl,137624973
Double Jack,137624974
Main Bowl,137624975
Claim Jumper,137624976
Jupiter Access,137624977
Mel's Alley,137624978
Mikey's,137624979
Heckler,137624980
Short Fuse,137624981
Silver Cliff,137624982
Sunnyside,137624983
Fools Gold,137624984
Assesment,137624985
Blanche,137624986
Carbide Cut,137624987
Keystone,137624988
Prospector,137624989
Homerun,137624990
Powder Keg,137624991
Single Jack,137624992
Thaynes,137624993
Nail Driver,137624994
Lost Prospector,137624995
Hawk Eye,137625226
Red Fox,137625227
Sampson,137625228
Black Forest,137625230
East Face,137625231
Molly's,137625232
P-Zone,137625233
Puma Bowl,137625234
O-Zone,137625235
Molly's,137625236
McConkey's Bowl,137625237
Comstock,137625238
Tycoon,137625239
Mid Mtn,137625530
Muckers,137625531
Lucky Boy,137625532
Blueslip Bowl,137625533
Belmont,137625534
Bonanza,137625535
Jonesy's,137625536
Flat Iron,137625537
Woodside,137625538
King Con,137747413
Chance,137747418
Shamus,137747420
King Con Ridge,137747422
High Card,137747424
Sitka,137747425
Courchevel,137747428
Broadway,137747430
Liberty,137747431
Eureka,137747434
Hot Spot,137748801
Thaynes Canyon,137748803
Combustion,137748805
Monitor,137748806
Climax,137748807
Road To Taynes Canyon,137748809
Temptation,137750286
Spiro,137750295
Seldom Seen,137750297
Picabo's Run,137754927
