name,id
Sunshine Triple Chair,256602795
Northface Double Chair,256602796
Powder Puff,827924012
Overlook,827925421
Crossover,882155989
Lower Face,882155990
Shredded Mozzeralla,882155991
I think I can,882155992
Upper Face,882155993
Sundown,882155994
The Chute,882155995
Buckle Up,882155996
Bail Out,882155997
Blockbuster,882155998
Backdraft,882155999
Cat Track,882156000
Ridge Run,882156001
Twist,882156002
Lower Northface,882156003
Lower Twist,882156004
Horseshoe,882156005
Northface,882156006
Home Run,882156007
Lower Ridge Run,882156008
The Cliffs,882156009
Gateway,882156010
Just do it,882156011
Switchback,882156012
,882156013
Freefall,882156014
Plunge,882156015
Lower Plunge,882156016
Giant Slalom,882156017
Wing it,882156018
Bumps,882156019
Pipeline,882156020
