name,id
Rabbit Run Double,11388583
Pine Quad,11388584
Summit Express,11388586
Sunnyside Triple,11388587
Li'l Pine,199805875
Parmalee's,199805876
Sunset Boulevard,199805877
Upper Haggett's,199805878
West Slope,199827044
Rabbit Run,199827045
Poacher's Paradise,199827046
Mohawk,199827048
The Crossover,199827050
Wizard,199827052
The Gut,199827053
T-Line,199827054
The Main,199827055
Yee Haw,199827056
Riley's Run,199827057
Lower Appalachian,199827058
The Vain,199827059
Upper Appalachian,199827060
The Headwall,199827061
Happiness Is,199827062
Slide Chute,199827063
Tycoon,199827064
Pinnacle East,199827065
Lower Roosevelt,199827066
Lower Haggett's,199827067
East Slope,199827068
Fat and Happy,199827069
Jack Spratt,199827070
Beeline,199827071
SHERWOOD FOREST,199827072
Easy Turns,199827073
Peter's Plunge,199827074
Cooley's,199827075
Evergreen,199827076
Pine Slope,199827078
Upper Roosevelt,199827079
Exit 48,199827080
Lower Kancamangus,199827082
The Horn,199827084
Upper Kancamangus,199828822
East Glades,199828823
Cody's Caper,199828824
Chicken,199828825
Dungeons,199828826
