name,id
Western Express,15625989
Powder Monkey,15627937
Ballhooter High Speed Quad,15627939
Powderidge,94792119
Grabhammer,94792124
Soaring Eagle Express,94792125
Skidder,256753701
Powder Monkey,321578116
Log Slide,321578117
Progression Park,321578118
Ballhooter,321578121
Grabhammer,321578123
Skip Jack,321578124
Choker,321578125
Gandy Dancer,321578126
Singletree,321578127
Moonshine,321578128
,321578129
Lower Shay's Revenge,321579509
Upper Hootenanny,321579544
Lower Flume,321600414
Sawmill,321600418
J Hook,321600419
,321600420
Widowmaker,321600421
Camp 99,321600422
,321606898
Evolution Park,321914692
Cupp Run,321923565
Heisler Way,321923579
Lower Hootenanny,326137944
Camp 4,392359446
Crosscut,392359447
Grab Hook,392359448
Knot Bumper Glades,392359449
Knot Bumper,392359450
Mid Flume,392359451
Shay's Revenge,392359452
Skidder,392359453
Spruce,392359454
Whiffletree,392359457
Upper Flume,546224038
,546353555
Powderidge,546353557
Gangway,546353559
Whistlepunk,547363406
Stemwinder,547363407
