name,id
Disney Express,10476799
Village Gondola,10481255
Mount Lincoln Express,38805677
Jerome Hill Express,38805859
Mount Judah Express,38805860
Christmas Tree Express,51939106
Summit Chair,51939354
Nob Hill,258161905
White Pine,258162119
Flume,258162121
Meadow,258164121
,258164122
Crow's Peak Lift,271959657
Union Street,776665581
Trolley Lane,776665582
Easy Street,776665583
Rhalves' Run,776665584
Hellmen's Chute,776665586
Crowley's Traverse22,776665587
Lake View,776665588
Judah Bound,776665589
Station B,776665590
Sidewinder,776665591
Pioneer Trail,776665592
,776665593
Ridge Run,776665594
Trailblazer,879082567
Broken Axle,879082568
Caleb's Way,879082569
Central Pacific,879082570
Steamers,879082571
Donner's Way,879082572
Graydon Galdes,879082573
Sunset Boulevard,879082574
Buena Vista,879082575
Tunnel 41,879082576
Pacific Crest Trail,879082577
Golden Gate,879082578
Cold Stream,879082579
Juniper,879082580
Pine Martin,879082581
Marmot,879082582
Black bear,879082583
Chipmunk,879082584
Von Ruiten's Run,879082585
Mistletoe,879082586
DAncer,879082587
Sleigh Ride,879082588
Disney Traverse,879926750
Disney Return,879926751
Disney Nose,879926752
Pony Express,879926753
Montgomery,879926754
McTavish Upper,879926755
John John's Way,879926756
Disney Meadow,879926757
Overland,879926758
Crow's Traverse,879926759
Rob's Run,879926760
The Other One,879926761
Crow's Nest Glades,879926762
Strawberry Fields,879926763
Crow's Face,879926764
Donald Duck,879926765
Lonesome Pine,879926766
Mctavish Lower,879926767
Eagle,879926768
Avalanche,879926769
Hour Glass,879926770
Sugar Bowl,879926771
Market Street,879926772
Bacon's Gully,879926773
East Gully,879926774
Nancy's Couloir,879926775
Chase Ridge,879926776
Crowley's Fingers,880756430
Henderson's Bowl,880756431
Comet,880756432
Cat Walk,880756433
Silver Belt Runout,880756434
Union Pacific,880756435
Chick's,880756436
Crow's Nose,880756437
Silver Belt,880756438
Steilhang,880756439
Steilhang Gully,880756440
Vanderbilt,880756441
Hari-Kari Gully,880756442
Fuller's Folly,880756443
Sister's,880756444
The 58,880756445
Hidden Gully,880756446
The Palisades,880756447
Tunnel,880756448
Gold Rush,880756449
Century Club,880756450
Roller Pass,880756451
Emigrant glades,880756452
Judah Bowl,880756453
Sherpa Creek,880756454
