name,id
Double Runner East,137778467
Sugarloaf SuperQuad,137778468
Bateau T-Bar,137778469
Skyline,137778470
Whiffletree SuperQuad,137778670
King Pine,137778672
Skidway,137778674
Timberline,137778679
West Mountain,137778680
Moosecalator,137779427
Snubber,137779428
Sawduster,137779429
U. Poleline,137782312
U. Whiffletree,137782313
Skybound,137782315
Jill Poke,137782317
Condo X-Cut,137782320
Lombard X-Cut,137782325
L. Springboard,137782331
L. Buckboard,137782332
L. Whiffletree,137782335
U. Whiffletree,137782337
Rollway,137782339
U. Buckboard,137782342
L. Poleline,137782345
L. Cruiser,137782349
L. Winter's Way,137782838
Pipeline,137782843
U. Skidder,137918272
Hayburnder,137918273
King's Landing,137918274
U. Gondola Line,140628516
Ripsaw,140628518
Choker,140628519
Widowmaker,140628520
Gondola Line,140628522
Tohaul,140628523
Doubble Runner West,140628525
Gondola Line Extension,140628526
Flume,140628527
Haul Back,140628528
White Nitro Extension,140628530
Narrow Gauge Extension,141016707
U. Bubblecuffer,141016709
Winter's Way Extension,141016710
Spillway X-Cut,141016711
White Nitro,141016712
U. Timberline,141016714
Upper Winter's Way,141016718
L. Narrow Gauge,141016721
Narrow Gauge,141016723
U. Narrow Gauge,141016726
Sluice,141016727
Misery Whip,141016730
West Sluice Chute,198538774
Sluice Headwall,198538775
Ramdown,198538776
L. Boomauger,198538777
Upper Boomauger,198538778
Double Bitter,198538779
Sluice Chute,198538780
Haywire,198538959
The Landing,198538960
Upper West Mountain,198538961
Horseshoe,198538962
Boardwalk,198538963
Candy Side,198538964
Good Chance X-Cut,198538965
Sidewinder,198538966
Horseshoe,198538967
Lower West Mountain,198538968
Slasher,198539210
Snowbrook,198539212
Birches Slope,198539213
Cribworks,198546014
L. Competition Hill,198546015
U. Stub's Trail,198546016
Cross Haul,198546017
Peavy X-Cut,198546018
L. Stub's,198546019
U. Competition Hill,198546020
L. Timberline,198960322
Stomping Ground,198960323
L. Spillway,198960324
U. Spillway,198960325
Tote Road Extension,198960326
L. Tote Road,198960327
L. Bubblecuffer,198960328
Windrow,198960331
Tote Road,198960334
Schipper's Streak,198960335
Wedge,198960336
Picaroon,198960337
Old Winter's Way,198960338
L. Glancer,198960339
U. Glancer,198987680
Gin Pole,198987681
U. Scoot,198987682
M. Scoot,198987683
U. Scoot,198987684
L. Scoot,198987685
Pinch,198987686
U. Binder,198987687
Hard Track,198987689
Spurline,198987690
U. Windrow,198987691
Candy Side,198987693
L. Binder,198987694
Binder Extension,198987695
Pick Pole,198987696
Pulaski,198987697
Bubblecuffer Extension,198987698
U. Double Bitter,198987699
U. Scoot,198987700
Powder Keg,198987701
Cinder Hoe,198997268
Bucksaw X-Cut,198997269
Bucksaw X-Cut,198997270
Mid-Station X-Cut,198997272
Tin Pants,198997273
Moose Alley,198997274
Windrow Extension,198997276
Birch Hook,198997277
High Rigger (Back Side),198997391
Ignitor,198997393
Jagger,198997394
Pure Heat,198997395
Moose Alley,263423624
U. Springboard,263423625
U. Cruiser,263423626
Bridle Chain,263423627
Winter's Way Crosscut,263450902
Pinch,263450904
U. Glancer,263450911
West Mountain Crosscut,263540985
West Mountain Crosscut,263540986
[condo access],263540987
Tote Road Crosscut,263540988
U. Binder,263862612
Buckskin,263862613
[unnamed],263862614
[unnamed],263862615
Burnt Mountain Sidecountry Area,372778061
Back Cut,688938480
Telos Cut,688938481
Brackett Basin Sidecountry Terrain,770748719
Eastern Territory,770748721
,961184757
,961298651
Spillway X-Cut,961298652
Tohaul,961456427
,961456428
Old Winter's Way,961456429
Tote Road Crosscut,961456430
Sheer Boom,961456431
Spillway X-Cut,961456432
,961456433
