name,id
Roundhouse Gondola,58996544
Challenger,58996545
Greyhawk,58996546
Warm Springs Face,59003176
Mid Warm Springs,59003177
Lower Warm Springs,59003178
Seattle Ridge,205816768
Mayday,205816791
Lookout Express,205819327
River Run,205819328
Frenchman's,205819409
Lookout,234376244
Kinderspielplatz,257191070
,342092638
Arnold's Run,342092639
Aujus,342092640
Blue Grouse,342092641
Brick's Island,342092642
Can-Can,342092644
Canyon,342092645
Christmas Bowl,342092646
Christmas Lane,342092647
Christmas Ridge,342092648
Cozy,342092649
Cut Off,342092650
Easter Bowl,342092651
Exhibition,342092652
Flying Squirrel,342092653
French Connection,342092654
French Dip,342092655
Graduate,342092656
Hemingway,342092657
Holiday,342092658
I-80,342092659
International,342092660
Janss Pass,342092661
Lilly Marlane,342092662
Limelight,342092663
Little Easter Bowl,342092664
Lookout Bowl,342092665
Lower Can-Can,342092667
Lower College,342092670
Lower French Dip,342092672
Lower Greyhawk,342092674
Lower Janss Pass,342092677
Lower Limelight,342092679
Lower Olympic,342092680
Lower Picabo's,342092682
Lower River Run,342092683
Maiden Lane,342092687
Mid Greyhawk,342092689
Mid River Run,342092691
Olympic Lane,342092694
Olympic Ridge,342092695
Olympic,342092696
Picabo's Street,342092697
Race Arena,342092698
Ridge,342092699
Rock Garden,342092700
Roundhouse Lane,342092701
Roundhouse Slope,342092702
Sleeping Bear,342092703
Sunnyside Bowl,342092704
Sunset Trip,342092705
Undergraduate,342092706
Upper College,342092707
Upper College,342092708
Upper Cozy,342092709
Upper Greyhawk,342092710
Upper Hemingway,342092711
Upper Holiday,342092713
Upper Limelight,342092714
Upper River Run,342092715
Gun Tower Lane,342092719
Broadway Face,342307962
Broadway,342307963
Byron's Park,342307964
Christin's Silver,342307965
Cold Springs Cut Off,342307966
Fire Trail,342307967
Gretchen's Gold,342307968
Hour Glass,342307969
Inhibition,342307970
Kaitlyn's Bowl,342307972
Lefty Bowl,342307974
Leigh Lane,342307976
Lower Broadway,342307981
Lower Christmas Bowl,342307982
Mayday Bowl,342307983
Mid Christmas Bowl,342307984
Mid Inhibition,342307985
Muffy's Medals,342307986
Sigi's Bowl,342307987
Three Bears,342307988
Lower Broadway,845196014
,907060414
Numbers,907060415
Sunrise Bowl,907060416
The Glades,907060417
Broadway,1020102786
Christmas,1020102787
