name,id
Bear Stroll,198369091
Easy Does It,198369094
Flag Spruce,198369097
Lower Almost Heaven,198369102
Lower Salamander,198369103
Off The Wall,198369105
Lower White Lightning,198369107
Upper Dew Drop,198369108
Upper Salamander,198369110
Upper White Lightning,198369111
Thunder Snow Terrain Park,392493971
Lower Thunder Struck,392493972
Pearly Glades,392493974
Lower Dew Drop,392493976
The Drop,392493977
Twister,392493980
Upper Almost Heaven,392493981
Upper Thunder Draft,392493983
Upper Thunder Struck,392493984
White Out,392493985
Winterset,392493986
Cherry Bowl,651084696
6-person chair,867797056
Quad Chair,867797057
Winterset,968934658
Winterset,968934659
Upper Salamander,968934661
,1012582140
Beginner Area,1012582141
Ceiling,1012582142
Mid-Mountain Crossroad,1012582143
Snow Squall Terrain Park,1012582144
