name,id
Super Gauge Express,17055751
Iron Horse,17057709
Challenger,17057858
Explorer Express,17058553
Looking Glass,17058701
Arrow,17058716
Prospector Express,17058732
Parsenn Road,17058977
Olympia Express,17058979
Sunnyside,30613408
High Lonesome Express,30613495
The Gondola,31145982
Pioneer Express,31145997
Panoramic Express,31998986
Eagle Wind,31998987
Village Cabriolet,72608831
Trestle,86180660
Discovery,86248729
Lower Arrowhead Loop,107391897
,107391900
Village Way,107391903
Mary Jane,107391912
OutRigger Trail,107391916
Dormouse,107391918
Village Way,107391923
Hobo Alley,107391933
Quick Getaway,107391936
Whistlestop,107391938
Cranmer,107391940
,107391946
Lonesome Whistle,107391948
Retta's Run,107391950
,107391952
Outhouse,107391954
Lower Parkway,107391957
Dormouse,107391959
Cramer,107391961
March Hare,107391968
Dormouse,107391970
Phantom Bridge,216500110
Derailer Upper,216500111
Railbender,216500112
Runaway,216500113
Needles Eye,216502446
Short Haul,216502447
Long Haul,216502449
Chutes,216502450
Derailer Upper,216502452
Cannonball,216502453
Derailer lower,216502454
Corona Way,216503101
Coupler,216503102
Boiler,216503103
Brakeman,216503722
Sleeper,216503723
Little Ten,216503724
Belmar Bowl,216509673
Columbine Lower,216509674
Roundhouse,216509675
Roundhouse Upper,216509676
Runaway,216509677
Trestle,216509678
Rollins Ridge,216509679
Sidetrack,216509680
Sleepy Hollow,216509681
Columbine,216509682
Bluebell,216509683
Edelweiss,216511172
Wildwood Glade,216511174
Primrose,216511175
Village Way,216511176
Lupin,216511177
Gemini Express,258676524
Mt. Maury,258676844
Comet,258676845
Meteor,258676846
Endeavor,258676847
Lariat,258679222
Pony Express,258679727
Galloping Goose,258679869
Olympia Spur,377599446
Moose Wallow,377599449
Upper Parkway,377599453
Bill Wilson's Way,377599455
Aces and Eights,377599456
Allan Phipps,377599457
Ambush,377599458
Balch,377599459
Big Valley,377599460
Bradley's Bash,377599461
Buckaroo,377599462
Butch's Breezeway,377599463
Chuck Wagon,377599464
Drunken Frenchman,377599466
Engeldive,377599467
Feebleminded,377599468
Gambler,377599469
Gandy Dancer,377599470
Golden Spike,377599471
Gunbarrel,377599472
Hughes,377599473
Jack Kendrick,377599476
Larry Sale,377599477
Little Pierre,377599478
Lonesome Whistle,377599479
Lower Egress,377599480
Lower Hughes,377599481
Mulligan's Mile,377599483
Over'N'Underwood,377599485
Pioneer Express Trail,377599487
Pioneer Express Trail,377599489
Quickdraw,377599491
Rainbow Cut,377599494
Riflesight Notch,377599499
Shoo Fly,377599500
Shootout,377599501
Ski Papa,377599502
Stagecoach,377599503
Sterling Way,377599504
Sundance,377599505
The Siding,377599506
Thunderbird,377599507
Upper Arrowhead Loop,377599508
Wagon Train,377599509
Fireberry Glade,410142405
Sky Pilot,410142407
Larkspur,410142409
Forget-Me-Not,410142411
Juniper,410142413
Parry's Peek,410142416
Parry's Peek,410142419
Forever Eva,410142421
Forever Eva,410142423
Johnstone Junction,410142425
Kinnikinic,410142427
Willett's Way,410142430
Calypso,410142432
Paintbrush,410142434
Vasquez Cirque Access,410144937
South Headwall,410144938
West Headwall,410144939
Alphabet Chutes,410144940
Waterfall,410144941
100's,410144942
South Basin,410144943
Rollover,410144944
Eldorado,410144945
Upper Egress,410144946
Eagle Wind,410145914
Sharp Nose,410145915
Thunderbird Traverse,410145916
Left Hand,410145917
Little Raven,410145918
Medicine Man,410145919
Black Coal,410145920
Switchyard,410146550
High Lonesome Trail,410146551
Hook Up,410285489
Jabberwocky,410285490
White Rabbit,410285491
White Rabbit,410285492
Cheshire Cat,410285493
Tweedle Dum,410295408
Tweedle Dee,410295409
Norwegian,410374882
Brian's Run,410374883
Mock Turtle,410374884
Tin Horn,410374885
Rendezvous,410374886
Cranmer,442937140
Cranmer,442937141
Dilly Dally Alley,442937142
Easy Way,442937143
Easy Way,442937144
Mad Tea Party,442937145
March Hare,442937146
Village Way,442937147
Village Way,442937148
Village Way,442937149
Vista Dome Cutoff,442937150
Vista Dome,442937151
Super Gauge Trail,778411764
Pine Cliffs,778411765
Sluice Box,778411766
Narrow Gauge,778411768
Sober Englishman,778411769
Corridor,778411770
Porcupine,778411771
Bobcat,778411772
Marmot Flats,778411773
Re-Railer,778411774
,878422903
