coordinates,elevation
"(39.1576858, -120.222295)",2511.55419921875
"(39.1577066, -120.22216625)",2509.88037109375
"(39.1577274, -120.2220375)",2507.2353515625
"(39.1577482, -120.22190875)",2504.244384765625
"(39.157769, -120.22178)",2499.998046875
"(39.157781687500005, -120.2216739125)",2495.63671875
"(39.157794375, -120.221567825)",2491.5654296875
"(39.1578070625, -120.2214617375)",2488.215087890625
"(39.15781975, -120.22135564999999)",2485.463623046875
"(39.157832437500005, -120.22124956249999)",2481.79345703125
"(39.157845125, -120.22114347499999)",2478.97412109375
"(39.1578578125, -120.22103738749999)",2476.53564453125
"(39.1578705, -120.2209313)",2474.32275390625
"(39.1579184375, -120.220818925)",2473.061279296875
"(39.157966375, -120.22070655)",2471.402587890625
"(39.1580143125, -120.220594175)",2470.126708984375
"(39.15806225, -120.2204818)",2469.12744140625
"(39.1581101875, -120.220369425)",2468.276123046875
"(39.158158125, -120.22025705)",2467.751953125
"(39.1582060625, -120.220144675)",2467.1630859375
"(39.158254, -120.2200323)",2466.69384765625
"(39.158301525, -120.2199128)",2465.82470703125
"(39.15834905, -120.21979329999999)",2465.337646484375
"(39.158396575, -120.2196738)",2464.272705078125
"(39.1584441, -120.2195543)",2463.401611328125
"(39.158491624999996, -120.2194348)",2462.324462890625
"(39.158539149999996, -120.2193153)",2460.864013671875
"(39.158586674999995, -120.2191958)",2459.011474609375
"(39.1586342, -120.2190763)",2457.620361328125
"(39.15872985, -120.218969025)",2458.315673828125
"(39.158825500000006, -120.21886175)",2459.8828125
"(39.158921150000005, -120.218754475)",2461.2060546875
"(39.1590168, -120.2186472)",2462.580810546875
"(39.159104150000005, -120.21860696250002)",2464.036376953125
"(39.159191500000006, -120.21856672500002)",2465.4091796875
"(39.15927885000001, -120.21852648750001)",2466.533203125
"(39.1593662, -120.21848625000001)",2467.57568359375
"(39.159453549999995, -120.21844601250001)",2468.59228515625
"(39.159540899999996, -120.21840577500001)",2469.46484375
"(39.15962825, -120.2183655375)",2470.193115234375
"(39.1597156, -120.2183253)",2470.927490234375
"(39.159783768749996, -120.21831933125)",2472.1455078125
"(39.159851937499994, -120.2183133625)",2473.2275390625
"(39.15992010625, -120.21830739375)",2474.2060546875
"(39.159988274999996, -120.218301425)",2474.87744140625
"(39.160056443749994, -120.21829545625002)",2475.332275390625
"(39.1601246125, -120.21828948750002)",2476.2373046875
"(39.16019278125, -120.21828351875001)",2477.49365234375
"(39.160260949999994, -120.21827755000001)",2478.451171875
"(39.16032911875, -120.21827158125001)",2478.994873046875
"(39.1603972875, -120.2182656125)",2480.06591796875
"(39.160465456249995, -120.21825964375)",2480.288330078125
"(39.160533625, -120.218253675)",2480.1904296875
"(39.16060179375, -120.21824770625)",2480.15625
"(39.160669962499995, -120.2182417375)",2480.0849609375
"(39.16073813125, -120.21823576874999)",2479.82421875
"(39.1608063, -120.2182298)",2479.551025390625
"(39.16089884375, -120.2182244375)",2479.84326171875
"(39.1609913875, -120.21821907500001)",2480.87548828125
"(39.16108393125, -120.2182137125)",2482.400634765625
"(39.161176475, -120.21820835)",2483.084228515625
"(39.16126901875, -120.2182029875)",2482.89697265625
"(39.1613615625, -120.218197625)",2482.7275390625
"(39.16145410625, -120.2181922625)",2482.894287109375
"(39.16154665, -120.2181869)",2483.164794921875
"(39.16163919375, -120.2181815375)",2483.531982421875
"(39.1617317375, -120.218176175)",2483.68212890625
"(39.16182428125, -120.2181708125)",2483.600830078125
"(39.161916825, -120.21816545)",2483.64794921875
"(39.16200936875, -120.2181600875)",2484.2861328125
"(39.1621019125, -120.218154725)",2484.692626953125
"(39.16219445625, -120.2181493625)",2485.0966796875
"(39.162287, -120.218144)",2485.218017578125
"(39.16240699375, -120.2181620375)",2485.862548828125
"(39.1625269875, -120.21818007499999)",2486.17138671875
"(39.16264698125, -120.21819811249999)",2486.274169921875
"(39.162766975, -120.21821614999999)",2486.082275390625
"(39.16288696875, -120.21823418749999)",2485.37060546875
"(39.1630069625, -120.21825222499999)",2484.57763671875
"(39.16312695625, -120.2182702625)",2483.913818359375
"(39.16324695, -120.2182883)",2483.152099609375
"(39.163366943750006, -120.2183063375)",2482.8271484375
"(39.163486937500004, -120.21832437500001)",2483.035400390625
"(39.16360693125, -120.21834241250001)",2483.093994140625
"(39.163726925000006, -120.21836045)",2482.655517578125
"(39.163846918750004, -120.2183784875)",2482.19580078125
"(39.1639669125, -120.218396525)",2480.4296875
"(39.164086906250006, -120.2184145625)",2478.97314453125
"(39.1642069, -120.2184326)",2477.5625
