,trail_id,for_display,lat,lon,elevation,slope
0,313023271,True,45.8500511,-95.6302787,443.09,0.00
1,313023271,True,45.8501291,-95.63030485,442.83,-1.67
2,313023271,True,45.8502071,-95.630331,442.11,-4.62
3,313023271,True,45.8502851,-95.63035715,441.29,-5.26
4,313023271,True,45.8503631,-95.6303833,440.45,-5.39
5,313023271,True,45.8504411,-95.63040945,439.67,-5.00
6,313023271,True,45.8505191,-95.6304356,438.91,-4.88
7,313023271,True,45.8505971,-95.63046175,438.44,-3.02
8,313023271,True,45.8506751,-95.6304879,438.36,-0.51
0,313023274,True,45.8501857,-95.6300936,441.90,0.00
1,313023274,True,45.85031232,-95.63011697,441.26,-2.58
2,313023274,True,45.85043895,-95.63014035,440.19,-4.31
3,313023274,True,45.85056557,-95.63016373,439.12,-4.31
4,313023274,True,45.8506922,-95.6301871,438.73,-1.57
0,313025380,True,45.8497296,-95.6296675,451.13,0.00
1,313025380,True,45.84980805,-95.6297225,448.96,-12.60
2,313025380,True,45.8498865,-95.6297775,447.08,-10.96
3,313025380,True,45.8499775,-95.6298256,445.27,-9.53
4,313025380,True,45.8500946,-95.629875,443.42,-7.76
5,313025380,True,45.85015995,-95.62990055,442.60,-6.21
6,313025380,True,45.8502253,-95.6299261,442.20,-3.04
7,313025380,True,45.85033915,-95.6299572,441.45,-3.33
8,313025380,True,45.850453,-95.6299883,440.33,-4.97
9,313025380,True,45.8505657,-95.630002,439.30,-4.68
10,313025380,True,45.85065,-95.63000675,439.11,-1.16
11,313025380,True,45.8507343,-95.6300115,438.99,-0.73
0,313025381,True,45.8497296,-95.6296675,451.13,0.00
1,313025381,True,45.8498045,-95.6297771,448.61,-11.96
2,313025381,True,45.849855,-95.6299112,446.59,-9.71
3,313025381,True,45.8498886,-95.6300426,444.85,-9.12
4,313025381,True,45.84990075,-95.6301432,443.69,-8.35
5,313025381,True,45.8499129,-95.6302438,442.63,-7.63
6,313025381,True,45.8499334,-95.6303699,441.27,-7.72
7,313025381,True,45.8499671,-95.6304584,440.84,-3.15
8,313025381,True,45.8500143,-95.6305242,440.42,-3.29
9,313025381,True,45.8500922,-95.6305818,439.88,-3.17
10,313025381,True,45.8501726,-95.6306193,439.37,-3.11
0,313025382,True,45.8485472,-95.6289241,490.31,0.00
1,313025382,True,45.8486051,-95.6290422,490.77,2.35
2,313025382,True,45.8486649,-95.6291119,491.39,4.14
3,313025382,True,45.8487676,-95.6291736,490.75,-2.96
4,313025382,True,45.8488376,-95.6291993,487.73,-20.60
5,313025382,True,45.8489076,-95.629225,484.03,-24.73
6,313025382,True,45.84899175,-95.62924755,480.87,-18.37
7,313025382,True,45.8490759,-95.6292701,478.31,-15.05
8,313025382,True,45.8491469,-95.6292956,475.80,-17.14
9,313025382,True,45.8492179,-95.6293211,473.05,-18.67
10,313025382,True,45.8492945,-95.6293627,469.19,-22.97
11,313025382,True,45.8493711,-95.6294043,465.44,-22.38
12,313025382,True,45.8494477,-95.6294566,462.22,-18.85
13,313025382,True,45.8495243,-95.6295089,459.06,-18.52
14,313025382,True,45.84962695,-95.6295882,454.90,-17.79
15,313025382,True,45.8497296,-95.6296675,451.13,-16.22
0,313025995,True,45.8486275,-95.6292058,487.12,0.00
1,313025995,True,45.8485957,-95.6293023,483.25,-25.08
2,313025995,True,45.8485563,-95.6293993,480.14,-19.68
3,313025995,True,45.848478,-95.6295303,476.12,-16.73
4,313025995,True,45.848422,-95.6296162,473.83,-14.11
5,313025995,True,45.8483715,-95.6297073,472.04,-11.23
6,313025995,True,45.8483435,-95.6297905,470.56,-11.68
7,313025995,True,45.8483323,-95.6298656,469.24,-12.51
8,313025995,True,45.8483304,-95.62993,468.04,-13.52
9,313025995,True,45.848336,-95.6299783,467.34,-10.46
10,313025995,True,45.8483431,-95.6300247,466.80,-8.35
11,313025995,True,45.84841805,-95.63008595,465.26,-9.12
12,313025995,True,45.848493,-95.6301472,463.75,-8.95
13,313025995,True,45.8485616,-95.63021638,462.36,-8.48
14,313025995,True,45.8486302,-95.63028555,461.03,-8.12
15,313025995,True,45.8486988,-95.63035472,459.45,-9.62
16,313025995,True,45.8487674,-95.6304239,457.93,-9.26
17,313025995,True,45.8488368,-95.6305281,456.23,-8.66
18,313025995,True,45.8489169,-95.6306117,454.88,-6.99
19,313025995,True,45.8489907,-95.630668,453.87,-6.20
20,313025995,True,45.8490645,-95.6307243,452.69,-7.24
21,313025995,True,45.84913745,-95.6307657,451.79,-5.89
22,313025995,True,45.8492104,-95.6308071,450.79,-6.54
23,313025995,True,45.8492667,-95.6308229,450.03,-6.79
24,313025995,True,45.849358,-95.6308326,448.66,-7.66
25,313025995,True,45.8494028,-95.6308312,447.92,-8.45
26,313025995,True,45.8494923,-95.6308155,446.50,-8.06
27,313025995,True,45.84959145,-95.63078715,444.75,-8.85
28,313025995,True,45.8496906,-95.6307588,443.42,-6.75
29,313025995,True,45.8497895,-95.63071875,442.25,-5.85
30,313025995,True,45.8498884,-95.6306787,441.42,-4.15
31,313025995,True,45.8500044,-95.6306408,440.57,-3.68
32,313025995,True,45.8500997,-95.630622,439.84,-3.90
33,313025995,True,45.8501726,-95.6306193,439.37,-3.32
34,313025995,True,45.8502509,-95.6306251,439.11,-1.71
35,313025995,True,45.8503555,-95.6306492,438.72,-1.90
36,313025995,True,45.8504732,-95.6306921,438.42,-1.27
37,313025995,True,45.8505423,-95.6307216,438.29,-0.93
38,313025995,True,45.8506114,-95.6307511,438.22,-0.50
0,313025996,True,45.8486723,-95.6288222,492.88,0.00
1,313025996,True,45.84868435,-95.62871915,491.43,-10.16
2,313025996,True,45.8486964,-95.6286161,489.73,-11.86
3,313025996,True,45.8487207,-95.6284471,487.36,-10.06
4,313025996,True,45.8487413,-95.6283318,486.07,-7.97
5,313025996,True,45.8487749,-95.6282164,484.62,-8.51
6,313025996,True,45.8488198,-95.6281279,483.55,-7.19
7,313025996,True,45.8488983,-95.6280264,482.05,-7.28
8,313025996,True,45.848959,-95.6279779,481.39,-4.88
9,313025996,True,45.8490197,-95.6279294,480.85,-4.00
10,313025996,True,45.8490589,-95.6279241,480.33,-6.77
11,313025996,True,45.8490908,-95.6279478,479.65,-9.66
12,313025996,True,45.8491151,-95.6280041,478.69,-10.60
13,313025996,True,45.8491245,-95.6280739,477.37,-13.48
14,313025996,True,45.8491301,-95.6281704,475.51,-13.93
15,313025996,True,45.8491394,-95.6282268,474.44,-13.41
16,313025996,True,45.8491656,-95.6282992,472.81,-14.46
17,313025996,True,45.8492011,-95.6283528,471.30,-14.77
18,313025996,True,45.8492459,-95.6283931,469.67,-15.50
19,313025996,True,45.8493674,-95.6284467,466.14,-14.02
20,313025996,True,45.84944585,-95.62848025,464.00,-13.23
21,313025996,True,45.8495243,-95.6285138,462.05,-12.09
22,313025996,True,45.8496009,-95.6285594,460.45,-9.84
23,313025996,True,45.8496775,-95.628605,459.25,-7.41
24,313025996,True,45.84974185,-95.6286521,458.19,-7.52
25,313025996,True,45.8498062,-95.6286992,457.23,-6.82
26,313025996,True,45.8498942,-95.6287927,455.57,-7.77
27,313025996,True,45.8499818,-95.6289004,453.68,-8.38
28,313025996,True,45.850053,-95.6290046,451.90,-8.95
29,313025996,True,45.8501408,-95.6290985,450.24,-7.76
30,313025996,True,45.8502509,-95.6291955,448.43,-7.18
31,313025996,True,45.85032,-95.62924375,447.13,-8.65
32,313025996,True,45.8503891,-95.629292,446.29,-5.61
33,313025996,True,45.85044748,-95.629347,445.34,-6.98
34,313025996,True,45.85050585,-95.629402,444.16,-8.64
35,313025996,True,45.85056422,-95.629457,442.96,-8.79
36,313025996,True,45.8506226,-95.629512,441.85,-8.14
37,313025996,True,45.8507125,-95.6296188,440.46,-6.11
38,313025996,True,45.85076575,-95.6296832,440.11,-2.59
39,313025996,True,45.850819,-95.6297476,440.01,-0.74
0,313026158,True,45.8486275,-95.6287686,492.49,0.00
1,313026158,True,45.8486405,-95.6286615,490.97,-10.23
2,313026158,True,45.8486535,-95.6285544,489.31,-11.15
3,313026158,True,45.8486854,-95.6283823,486.98,-9.59
4,313026158,True,45.8487151,-95.628254,485.54,-7.83
5,313026158,True,45.8487581,-95.6281252,484.09,-7.47
6,313026158,True,45.8488085,-95.6280394,483.03,-6.95
7,313026158,True,45.8488627,-95.6279616,482.17,-5.76
8,313026158,True,45.8489638,-95.62787,481.02,-4.94
9,313026158,True,45.8490264,-95.62782575,480.61,-3.02
10,313026158,True,45.849089,-95.6277815,479.79,-6.03
11,313026158,True,45.849188,-95.6277064,479.06,-3.36
12,313026158,True,45.8492457,-95.6276478,478.74,-2.33
13,313026158,True,45.8492943,-95.6275915,478.49,-2.06
14,313026158,True,45.8493449,-95.6275133,478.19,-2.08
15,313026158,True,45.8493952,-95.6274145,477.58,-3.68
16,313026158,True,45.8494251,-95.6273608,477.18,-4.30
17,313026158,True,45.8494645,-95.6273121,477.04,-1.39
18,313026158,True,45.8495073,-95.627283,476.85,-2.07
19,313026158,True,45.8495559,-95.6272777,476.42,-4.54
20,313026158,True,45.8496065,-95.6272934,475.74,-6.74
21,313026158,True,45.8496551,-95.6273229,474.75,-9.58
