,trail_id,for_display,lat,lon,elevation,slope
0,317572051,True,36.170955,-81.6645438,1191.26,0.00
1,317572051,True,36.17105195,-81.66448856,1190.08,-5.67
2,317572051,True,36.1711489,-81.66443331,1188.85,-5.92
3,317572051,True,36.17124585,-81.66437807,1187.43,-6.83
4,317572051,True,36.1713428,-81.66432282,1185.52,-9.16
5,317572051,True,36.17143975,-81.66426758,1182.93,-12.31
6,317572051,True,36.1715367,-81.66421234,1180.31,-12.42
7,317572051,True,36.17163365,-81.66415709,1177.12,-15.08
8,317572051,True,36.1717306,-81.66410185,1173.44,-17.20
9,317572051,True,36.17182755,-81.66404661,1169.43,-18.69
10,317572051,True,36.1719245,-81.66399136,1165.43,-18.64
11,317572051,True,36.17202145,-81.66393612,1161.91,-16.51
12,317572051,True,36.1721184,-81.66388088,1158.33,-16.81
13,317572051,True,36.17221535,-81.66382563,1154.78,-16.64
14,317572051,True,36.1723123,-81.66377039,1151.04,-17.50
15,317572051,True,36.17240925,-81.66371514,1147.59,-16.19
16,317572051,True,36.1725062,-81.6636599,1144.62,-14.05
0,317572052,True,36.1725062,-81.6636599,1144.62,0.00
1,317572052,True,36.17260343,-81.66360276,1141.35,-15.31
2,317572052,True,36.17270066,-81.66354561,1137.87,-16.18
3,317572052,True,36.17279789,-81.66348847,1134.91,-13.89
4,317572052,True,36.17289512,-81.66343133,1132.47,-11.53
5,317572052,True,36.17299236,-81.66337418,1130.44,-9.66
6,317572052,True,36.17308959,-81.66331704,1128.08,-11.15
7,317572052,True,36.17318682,-81.66325989,1125.41,-12.57
8,317572052,True,36.17328405,-81.66320275,1122.77,-12.45
9,317572052,True,36.17338128,-81.66314561,1120.66,-10.00
10,317572052,True,36.17347851,-81.66308846,1118.75,-9.03
11,317572052,True,36.17357574,-81.66303132,1117.20,-7.41
12,317572052,True,36.17367298,-81.66297417,1116.22,-4.69
13,317572052,True,36.17377021,-81.66291703,1115.63,-2.81
14,317572052,True,36.17386744,-81.66285989,1114.83,-3.81
15,317572052,True,36.17396467,-81.66280274,1114.29,-2.61
16,317572052,True,36.1740619,-81.6627456,1113.87,-2.01
0,317572053,True,36.1722377,-81.6617233,1150.20,0.00
1,317572053,True,36.1723465,-81.66175918,1149.10,-5.02
2,317572053,True,36.1724553,-81.66179505,1147.34,-8.03
3,317572053,True,36.1725641,-81.66183093,1145.40,-8.79
4,317572053,True,36.1726729,-81.6618668,1143.38,-9.19
5,317572053,True,36.1727817,-81.66190268,1141.51,-8.47
6,317572053,True,36.1728905,-81.66193855,1139.27,-10.16
7,317572053,True,36.1729993,-81.66197443,1136.89,-10.76
8,317572053,True,36.1731081,-81.6620103,1134.40,-11.25
9,317572053,True,36.1732169,-81.66204618,1131.88,-11.35
10,317572053,True,36.1733257,-81.66208205,1129.39,-11.28
11,317572053,True,36.1734345,-81.66211793,1126.73,-11.99
12,317572053,True,36.1735433,-81.6621538,1123.84,-12.97
13,317572053,True,36.1736521,-81.66218968,1120.99,-12.83
14,317572053,True,36.1737609,-81.66222555,1118.29,-12.19
15,317572053,True,36.1738697,-81.66226142,1116.37,-8.70
16,317572053,True,36.1739785,-81.6622973,1115.64,-3.36
0,317572054,True,36.1738789,-81.6615087,1123.19,0.00
1,317572054,True,36.17390921,-81.66164148,1122.18,-4.66
2,317572054,True,36.17393952,-81.66177425,1120.34,-8.45
3,317572054,True,36.17396984,-81.66190703,1118.79,-7.11
4,317572054,True,36.17400015,-81.6620398,1117.56,-5.67
5,317572054,True,36.17403046,-81.66217257,1116.42,-5.29
6,317572054,True,36.17406078,-81.66230535,1115.24,-5.44
7,317572054,True,36.17409109,-81.66243812,1114.35,-4.10
8,317572054,True,36.1741214,-81.6625709,1113.76,-2.73
0,317572055,True,36.1721987,-81.6625226,1150.27,0.00
1,317572055,True,36.1722845,-81.66254272,1148.49,-10.35
2,317572055,True,36.1723703,-81.66256284,1146.60,-11.01
3,317572055,True,36.1724561,-81.66258296,1144.51,-12.16
4,317572055,True,36.1725419,-81.66260307,1142.58,-11.24
5,317572055,True,36.1726277,-81.66262319,1141.19,-8.15
6,317572055,True,36.1727135,-81.66264331,1139.26,-11.28
7,317572055,True,36.1727993,-81.66266343,1136.29,-16.98
8,317572055,True,36.1728851,-81.66268355,1133.67,-15.12
9,317572055,True,36.1729709,-81.66270367,1131.33,-13.53
10,317572055,True,36.1730567,-81.66272379,1129.14,-12.71
11,317572055,True,36.1731425,-81.66274391,1126.73,-13.96
12,317572055,True,36.1732283,-81.66276403,1124.03,-15.53
13,317572055,True,36.1733141,-81.66278414,1121.39,-15.20
14,317572055,True,36.1733999,-81.66280426,1119.17,-12.86
15,317572055,True,36.1734857,-81.66282438,1117.60,-9.24
16,317572055,True,36.1735715,-81.6628445,1116.50,-6.45
0,317572057,True,36.1706831,-81.6644699,1192.38,0.00
1,317572057,True,36.17077241,-81.66438876,1191.95,-2.02
2,317572057,True,36.17086172,-81.66430762,1191.09,-3.96
3,317572057,True,36.17095104,-81.66422649,1189.74,-6.28
4,317572057,True,36.17104035,-81.66414535,1187.89,-8.52
5,317572057,True,36.17112966,-81.66406421,1185.65,-10.33
6,317572057,True,36.17121898,-81.66398308,1183.28,-10.88
7,317572057,True,36.17130829,-81.66390194,1180.81,-11.36
8,317572057,True,36.1713976,-81.6638208,1178.19,-11.97
0,317572829,True,36.1716488,-81.6650063,1184.46,0.00
1,317572829,True,36.1717235,-81.66500898,1181.57,-19.17
2,317572829,True,36.1717982,-81.66501165,1178.45,-20.59
3,317572829,True,36.1718729,-81.66501433,1175.41,-20.12
4,317572829,True,36.1719476,-81.665017,1172.20,-21.12
5,317572829,True,36.1720419,-81.66491046,1167.58,-18.02
6,317572829,True,36.1721362,-81.66480393,1162.69,-19.00
7,317572829,True,36.1722305,-81.66469739,1157.75,-19.20
8,317572829,True,36.1723248,-81.66459085,1153.19,-17.84
9,317572829,True,36.1724191,-81.66448431,1149.37,-15.06
10,317572829,True,36.1725134,-81.66437777,1146.41,-11.78
11,317572829,True,36.1726077,-81.66427124,1143.53,-11.46
12,317572829,True,36.172702,-81.6641647,1140.33,-12.72
0,317572830,True,36.1727888,-81.6641211,1137.25,0.00
