,trail_id,for_display,lat,lon,elevation,slope
0,392342893,True,38.8115767,-78.7662297,491.07,0.00
1,392342893,True,38.81167885,-78.76621997,490.66,-2.06
2,392342893,True,38.811781,-78.76621025,489.75,-4.57
3,392342893,True,38.81188315,-78.76620053,488.41,-6.71
4,392342893,True,38.8119853,-78.7661908,486.34,-10.30
5,392342893,True,38.81211505,-78.76616405,483.28,-11.83
6,392342893,True,38.8122448,-78.7661373,480.43,-11.04
7,392342893,True,38.81237455,-78.76611055,477.62,-10.89
8,392342893,True,38.8125043,-78.7660838,474.46,-12.20
9,392342893,True,38.81258954,-78.76606131,472.33,-12.41
10,392342893,True,38.81267477,-78.76603883,470.14,-12.75
11,392342893,True,38.81276001,-78.76601634,467.97,-12.64
12,392342893,True,38.81284525,-78.76599385,465.83,-12.47
13,392342893,True,38.81293049,-78.76597136,463.67,-12.58
14,392342893,True,38.81301572,-78.76594887,461.44,-12.98
15,392342893,True,38.81310096,-78.76592639,459.15,-13.31
16,392342893,True,38.8131862,-78.7659039,456.95,-12.81
17,392342893,True,38.81328516,-78.7658954,454.19,-14.05
18,392342893,True,38.81338412,-78.7658869,451.46,-13.90
19,392342893,True,38.81348309,-78.7658784,448.89,-13.12
20,392342893,True,38.81358205,-78.7658699,446.27,-13.36
21,392342893,True,38.81368101,-78.7658614,443.21,-15.51
22,392342893,True,38.81377997,-78.7658529,439.98,-16.32
23,392342893,True,38.81387894,-78.7658444,436.84,-15.89
24,392342893,True,38.8139779,-78.7658359,433.85,-15.17
25,392342893,True,38.8140745,-78.7658699,429.61,-20.84
26,392342893,True,38.8141711,-78.7659039,426.37,-16.22
27,392342893,True,38.81426488,-78.76594887,424.15,-11.28
28,392342893,True,38.81435865,-78.76599385,422.02,-10.83
29,392342893,True,38.81445242,-78.76603883,419.94,-10.58
30,392342893,True,38.8145462,-78.7660838,418.13,-9.24
31,392342893,True,38.8146485,-78.7661033,416.65,-7.33
32,392342893,True,38.8147432,-78.7660984,415.51,-6.17
33,392342893,True,38.8148303,-78.7660498,414.69,-4.44
34,392342893,True,38.8148934,-78.7659711,414.25,-2.57
0,392342894,True,38.8122414,-78.7680491,462.21,0.00
1,392342894,True,38.8123105,-78.76804995,462.26,0.37
2,392342894,True,38.8123796,-78.7680508,462.20,-0.45
3,392342894,True,38.8124487,-78.76805165,461.83,-2.76
4,392342894,True,38.8125178,-78.7680525,461.45,-2.83
5,392342894,True,38.8125888,-78.76803875,460.34,-7.91
6,392342894,True,38.8126598,-78.768025,459.12,-8.69
7,392342894,True,38.81272343,-78.76798977,457.48,-12.01
8,392342894,True,38.81278705,-78.76795455,455.88,-11.73
9,392342894,True,38.81285067,-78.76791933,454.65,-9.07
10,392342894,True,38.8129143,-78.7678841,453.43,-9.00
11,392342894,True,38.81299734,-78.76784714,452.26,-6.83
12,392342894,True,38.81308037,-78.76781017,450.70,-9.07
13,392342894,True,38.81316341,-78.76777321,448.65,-11.85
14,392342894,True,38.81324645,-78.76773625,446.50,-12.41
15,392342894,True,38.81332949,-78.76769929,444.43,-11.96
16,392342894,True,38.81341253,-78.76766233,442.69,-10.10
