trail_id,for_display,lat,lon,elevation,slope,index
749919232,True,44.72163640,-93.28268470,310.45,0.00,0
749919232,True,44.72173693,-93.28269207,308.30,-10.85,1
749919232,True,44.72183745,-93.28269945,306.08,-11.23,2
749919232,True,44.72193797,-93.28270682,303.92,-10.92,3
749919232,True,44.72203850,-93.28271420,301.73,-11.08,4
749919232,True,44.72213902,-93.28272158,299.47,-11.40,5
749919232,True,44.72223955,-93.28272895,297.16,-11.67,6
749919232,True,44.72234007,-93.28273633,294.98,-11.04,7
749919232,True,44.72244060,-93.28274370,293.06,-9.69,8
749919233,True,44.72202140,-93.28705130,358.24,0.00,0
749919233,True,44.72193945,-93.28696010,355.28,-14.28,1
749919233,True,44.72185750,-93.28686890,352.08,-15.41,2
749919233,True,44.72179080,-93.28674555,348.88,-14.65,3
749919233,True,44.72172410,-93.28662220,346.49,-11.03,4
749919233,True,44.72170408,-93.28649880,344.41,-11.72,5
749919233,True,44.72168405,-93.28637540,342.41,-11.34,6
749919233,True,44.72166402,-93.28625200,340.38,-11.47,7
749919233,True,44.72164400,-93.28612860,338.31,-11.70,8
749919233,True,44.72164447,-93.28603137,336.52,-13.09,9
749919233,True,44.72164495,-93.28593415,334.66,-13.60,10
749919233,True,44.72164542,-93.28583692,332.90,-12.96,11
749919233,True,44.72164590,-93.28573970,331.29,-11.81,12
749919233,True,44.72164637,-93.28564248,329.84,-10.70,13
749919233,True,44.72164685,-93.28554525,328.48,-10.03,14
749919233,True,44.72164732,-93.28544802,327.24,-9.19,15
749919233,True,44.72164780,-93.28535080,326.04,-8.85,16
749919233,True,44.72166020,-93.28520595,324.33,-8.44,17
749919233,True,44.72167260,-93.28506110,322.71,-7.99,18
749919233,True,44.72168500,-93.28491625,321.21,-7.40,19
749919233,True,44.72169740,-93.28477140,319.97,-6.16,20
749919233,True,44.72174504,-93.28469227,318.84,-7.89,21
749919233,True,44.72179267,-93.28461315,317.47,-9.49,22
749919233,True,44.72184031,-93.28453402,315.92,-10.68,23
749919233,True,44.72188795,-93.28445490,314.28,-11.32,24
749919233,True,44.72193559,-93.28437578,312.52,-12.10,25
749919233,True,44.72198323,-93.28429665,310.89,-11.28,26
749919233,True,44.72203086,-93.28421753,309.41,-10.26,27
749919233,True,44.72207850,-93.28413840,307.90,-10.38,28
749919233,True,44.72215950,-93.28402441,305.60,-10.25,29
749919233,True,44.72224050,-93.28391043,303.77,-8.17,30
749919233,True,44.72232150,-93.28379644,301.89,-8.39,31
749919233,True,44.72240250,-93.28368245,299.84,-9.17,32
749919233,True,44.72248350,-93.28356846,297.90,-8.63,33
749919233,True,44.72256450,-93.28345447,295.71,-9.77,34
749919233,True,44.72264550,-93.28334049,293.37,-10.43,35
749919233,True,44.72272650,-93.28322650,291.51,-8.31,36
749919234,True,44.72170500,-93.28375220,313.13,0.00,0
749919234,True,44.72182267,-93.28366905,310.93,-8.52,1
749919234,True,44.72194035,-93.28358590,308.58,-9.14,2
749919234,True,44.72205802,-93.28350275,305.86,-10.52,3
749919234,True,44.72217570,-93.28341960,302.02,-14.70,4
749919234,True,44.72229338,-93.28333645,297.90,-15.69,5
749919234,True,44.72241105,-93.28325330,294.64,-12.56,6
749919234,True,44.72252873,-93.28317015,292.73,-7.45,7
749919234,True,44.72264640,-93.28308700,291.28,-5.63,8
749919235,True,44.72247110,-93.28711030,359.35,0.00,0
749919235,True,44.72244395,-93.28702246,359.06,-2.20,1
749919235,True,44.72241680,-93.28693463,358.13,-7.06,2
749919235,True,44.72238965,-93.28684679,356.39,-12.92,3
749919235,True,44.72236250,-93.28675895,354.25,-15.82,4
749919235,True,44.72233535,-93.28667111,352.12,-15.72,5
749919235,True,44.72230820,-93.28658327,350.01,-15.53,6
749919235,True,44.72228105,-93.28649544,348.00,-14.86,7
749919235,True,44.72225390,-93.28640760,346.08,-14.25,8
749919235,True,44.72222815,-93.28630567,344.06,-13.30,9
749919235,True,44.72220240,-93.28620375,342.15,-12.64,10
749919235,True,44.72217665,-93.28610183,340.37,-11.75,11
749919235,True,44.72215090,-93.28599990,338.60,-11.69,12
749919235,True,44.72213853,-93.28589127,336.84,-11.43,13
749919235,True,44.72212615,-93.28578265,335.47,-8.96,14
749919235,True,44.72211377,-93.28567402,334.24,-8.05,15
749919235,True,44.72210140,-93.28556540,332.82,-9.30,16
749919235,True,44.72213685,-93.28540050,329.96,-11.87,17
749919235,True,44.72217230,-93.28523560,326.85,-12.87,18
749919235,True,44.72219555,-93.28512760,324.87,-12.50,19
749919235,True,44.72221880,-93.28501960,322.76,-13.33,20
749919235,True,44.72224205,-93.28491160,320.56,-13.85,21
749919235,True,44.72226530,-93.28480360,318.18,-14.96,22
749919235,True,44.72229674,-93.28471039,316.05,-14.62,23
749919235,True,44.72232819,-93.28461719,314.11,-13.39,24
749919235,True,44.72235963,-93.28452398,312.03,-14.36,25
749919235,True,44.72239107,-93.28443078,310.10,-13.27,26
749919235,True,44.72242252,-93.28433757,308.38,-11.95,27
749919235,True,44.72245396,-93.28424436,306.68,-11.74,28
749919235,True,44.72248541,-93.28415116,305.23,-10.12,29
749919235,True,44.72251685,-93.28405795,303.67,-10.80,30
749919235,True,44.72254829,-93.28396474,302.21,-10.15,31
749919235,True,44.72257974,-93.28387154,300.89,-9.24,32
749919235,True,44.72261118,-93.28377833,299.45,-10.02,33
749919235,True,44.72264262,-93.28368513,298.04,-9.81,34
749919235,True,44.72267407,-93.28359192,296.51,-10.62,35
749919235,True,44.72270551,-93.28349871,294.96,-10.76,36
749919235,True,44.72273696,-93.28340551,293.25,-11.82,37
