,trail_id,for_display,lat,lon,elevation,slope
0,80572856,True,41.0596301,-74.1989541,177.20,0.00
1,80572856,True,41.0595989,-74.1988313,175.91,-6.77
2,80572856,True,41.05969255,-74.19878818,175.04,-4.51
3,80572856,True,41.0597862,-74.19874505,174.12,-4.77
4,80572856,True,41.05987985,-74.19870192,173.12,-5.18
5,80572856,True,41.0599735,-74.1986588,171.89,-6.37
6,80572856,True,41.0600413,-74.19857166,170.47,-7.70
7,80572856,True,41.0601091,-74.19848452,168.81,-8.99
8,80572856,True,41.0601769,-74.19839739,167.57,-6.74
9,80572856,True,41.0602447,-74.19831025,166.41,-6.31
10,80572856,True,41.0603125,-74.19822311,164.98,-7.76
11,80572856,True,41.0603803,-74.19813597,163.63,-7.33
12,80572856,True,41.0604481,-74.19804884,162.64,-5.39
13,80572856,True,41.0605159,-74.1979617,161.48,-6.31
14,80572856,True,41.0605636,-74.1978171,160.10,-5.95
15,80572856,True,41.0605667,-74.19770695,158.83,-7.82
16,80572856,True,41.0605698,-74.1975968,157.60,-7.58
17,80572856,True,41.0605604,-74.1974252,155.90,-6.72
18,80572856,True,41.0605058,-74.19728575,154.46,-6.24
19,80572856,True,41.0604512,-74.1971463,153.60,-3.73
20,80572856,True,41.0604047,-74.19703767,153.01,-3.22
21,80572856,True,41.0603582,-74.19692905,152.13,-4.80
22,80572856,True,41.0603117,-74.19682042,151.42,-3.88
23,80572856,True,41.0602652,-74.1967118,150.75,-3.66
24,80572856,True,41.06021463,-74.19658305,149.83,-4.32
25,80572856,True,41.06016405,-74.1964543,149.07,-3.57
26,80572856,True,41.06011347,-74.19632555,148.11,-4.51
27,80572856,True,41.0600629,-74.1961968,147.20,-4.28
28,80572856,True,41.0600402,-74.19610165,146.73,-3.21
29,80572856,True,41.0600175,-74.1960065,146.33,-2.74
30,80572856,True,41.0599948,-74.19591135,146.01,-2.19
31,80572856,True,41.0599721,-74.1958162,145.96,-0.34
0,262772572,True,41.0588926,-74.2006625,219.99,0.00
1,262772572,True,41.05891491,-74.20051835,218.87,-5.19
2,262772572,True,41.05893721,-74.2003742,216.04,-12.92
3,262772572,True,41.05895952,-74.20023005,213.06,-13.58
4,262772572,True,41.05898183,-74.2000859,209.56,-15.84
5,262772572,True,41.05900413,-74.19994175,205.99,-16.14
6,262772572,True,41.05902644,-74.1997976,201.89,-18.38
7,262772572,True,41.05904874,-74.19965345,197.38,-20.08
8,262772572,True,41.05907105,-74.1995093,192.80,-20.37
9,262772572,True,41.05909336,-74.19936515,188.71,-18.34
10,262772572,True,41.05911566,-74.199221,185.41,-14.97
11,262772572,True,41.05913797,-74.19907685,182.71,-12.34
12,262772572,True,41.05916027,-74.1989327,180.58,-9.79
13,262772572,True,41.05918258,-74.19878855,178.52,-9.48
14,262772572,True,41.05920489,-74.1986444,176.68,-8.48
15,262772572,True,41.05922719,-74.19850025,174.64,-9.39
16,262772572,True,41.0592495,-74.1983561,172.71,-8.89
0,262772574,True,41.0595989,-74.1988313,175.91,0.00
1,262772574,True,41.0597066,-74.19872655,174.14,-6.80
2,262772574,True,41.0598143,-74.1986218,172.58,-6.00
3,262772574,True,41.05988335,-74.1984861,170.27,-9.55
4,262772574,True,41.0599524,-74.1983504,167.86,-9.96
5,262772574,True,41.0599973,-74.19823315,166.29,-8.10
6,262772574,True,41.0600422,-74.1981159,165.00,-6.67
7,262772574,True,41.06012765,-74.1980089,163.83,-5.12
8,262772574,True,41.0602131,-74.1979019,162.53,-5.68
9,262772574,True,41.06029565,-74.19786705,161.92,-3.62
10,262772574,True,41.0603782,-74.1978322,161.35,-3.39
11,262772574,True,41.0604709,-74.19782465,160.78,-3.16
12,262772574,True,41.0605636,-74.1978171,160.10,-3.77
0,262772576,True,41.0592516,-74.2008963,216.87,0.00
1,262772576,True,41.0592986,-74.2008507,216.35,-4.59
2,262772576,True,41.0594035,-74.2007488,215.08,-5.02
3,262772576,True,41.05945148,-74.20067142,214.42,-4.49
4,262772576,True,41.05949945,-74.20059405,213.01,-9.53
5,262772576,True,41.05954743,-74.20051668,211.63,-9.33
6,262772576,True,41.0595954,-74.2004393,210.17,-9.86
7,262772576,True,41.05967355,-74.20030885,207.75,-9.83
8,262772576,True,41.0597517,-74.2001784,205.25,-10.15
9,262772576,True,41.0598096,-74.20005165,202.16,-13.97
10,262772576,True,41.0598675,-74.1999249,198.15,-17.89
11,262772576,True,41.05987105,-74.19983055,195.23,-20.24
12,262772576,True,41.0598746,-74.1997362,192.29,-20.36
13,262772576,True,41.0598458,-74.1995697,187.47,-18.60
14,262772576,True,41.059817,-74.1994032,183.08,-17.04
15,262772576,True,41.05977028,-74.19929092,180.94,-11.26
16,262772576,True,41.05972355,-74.19917865,179.41,-8.10
