,trail_id,for_display,lat,lon,elevation,slope
0,554389088,True,42.3177118,-90.3972363,291.29,0.00
2,554389088,True,42.31763918,-90.39716909,291.36,0.43
3,554389088,True,42.31756656,-90.39710189,292.18,4.77
4,554389088,True,42.31749394,-90.39703468,293.31,6.59
5,554389088,True,42.31742132,-90.39696747,294.80,8.63
6,554389088,True,42.31734871,-90.39690027,296.38,9.21
7,554389088,True,42.31727609,-90.39683306,297.98,9.28
8,554389088,True,42.31720347,-90.39676586,299.31,7.73
9,554389088,True,42.31713085,-90.39669865,300.60,7.50
10,554389088,True,42.31705823,-90.39663144,301.74,6.68
11,554389088,True,42.31698561,-90.39656424,303.00,7.34
12,554389088,True,42.31691299,-90.39649703,304.15,6.68
13,554389088,True,42.31684037,-90.39642983,305.81,9.65
14,554389088,True,42.31676776,-90.39636262,307.13,7.67
15,554389088,True,42.31669514,-90.39629541,307.92,4.62
16,554389088,True,42.31662252,-90.39622821,308.32,2.36
17,554389088,True,42.3165499,-90.396161,308.47,0.88
18,554389088,True,42.31661796,-90.39607242,308.11,-1.97
19,554389088,True,42.31668602,-90.39598385,307.74,-2.01
20,554389088,True,42.31675409,-90.39589528,307.46,-1.55
21,554389088,True,42.31682215,-90.3958067,307.27,-1.05
22,554389088,True,42.31689021,-90.39571813,307.00,-1.46
23,554389088,True,42.31695828,-90.39562955,306.94,-0.32
24,554389088,True,42.31702634,-90.39554097,306.91,-0.17
25,554389088,True,42.3170944,-90.3954524,307.01,0.54
26,554389088,True,42.31720263,-90.39540387,306.24,-3.47
27,554389088,True,42.31731085,-90.39535535,305.95,-1.32
28,554389088,True,42.31741908,-90.39530682,306.51,2.52
29,554389088,True,42.3175273,-90.3952583,307.05,2.47
30,554389088,True,42.3176435,-90.3952537,307.62,2.53
31,554389088,True,42.3177597,-90.3952491,308.74,4.95
0,554389088,False,42.3177597,-90.3952491,308.74,0.00
1,554389088,False,42.3176829,-90.39537046,307.98,-3.33
2,554389088,False,42.31760609,-90.39549182,305.49,-10.73
3,554389088,False,42.31752929,-90.39561319,304.25,-5.38
4,554389088,False,42.31745249,-90.39573455,303.20,-4.59
5,554389088,False,42.31737568,-90.39585591,302.32,-3.80
6,554389088,False,42.31729888,-90.39597727,301.60,-3.14
7,554389088,False,42.31722208,-90.39609863,301.58,-0.08
8,554389088,False,42.31714527,-90.39621999,301.83,1.08
9,554389088,False,42.31721609,-90.39634703,300.37,-6.39
10,554389088,False,42.31728691,-90.39647407,298.91,-6.36
11,554389088,False,42.31735772,-90.39660111,297.33,-6.90
12,554389088,False,42.31742854,-90.39672815,295.72,-7.00
13,554389088,False,42.31749935,-90.39685519,294.19,-6.65
14,554389088,False,42.31757017,-90.39698222,292.65,-6.71
15,554389088,False,42.31764098,-90.39710926,291.56,-4.76
16,554389088,False,42.3177118,-90.3972363,291.29,-1.20
17,554389088,False,42.3177118,-90.3972363,291.29,0.00
0,554389089,True,42.3182775,-90.3952527,308.54,0.00
1,554389089,True,42.3183934,-90.39519763,306.74,-7.51
2,554389089,True,42.3185093,-90.39514255,304.52,-9.22
3,554389089,True,42.3186252,-90.39508747,301.80,-11.29
