,trail_id,for_display,lat,lon,elevation,slope
0,882074478,True,44.3934843,-72.9823816,133.59,0.00
1,882074478,True,44.3935964,-72.9823615,131.41,-9.84
2,882074478,True,44.3937085,-72.9823414,129.03,-10.72
3,882074478,True,44.39382925,-72.9823025,126.71,-9.56
4,882074478,True,44.39395,-72.9822636,124.38,-9.60
5,882074478,True,44.394019,-72.9822314,123.18,-8.44
6,882074478,True,44.394088,-72.9821992,121.89,-9.06
7,882074478,True,44.394157,-72.982167,120.67,-8.58
8,882074478,True,44.394226,-72.9821348,119.62,-7.40
9,882074478,True,44.39429355,-72.98209457,118.57,-7.33
10,882074478,True,44.3943611,-72.98205435,117.87,-4.90
11,882074478,True,44.39442865,-72.98201413,117.20,-4.69
12,882074478,True,44.3944962,-72.9819739,116.53,-4.69
0,882074479,True,44.3899583,-72.9812542,213.83,0.00
1,882074479,True,44.390072,-72.9812935,211.39,-10.61
2,882074479,True,44.3901857,-72.9813328,208.48,-12.60
3,882074479,True,44.39025775,-72.98135808,206.77,-11.70
4,882074479,True,44.3903298,-72.98138335,205.21,-10.70
5,882074479,True,44.39040185,-72.98140863,203.71,-10.29
6,882074479,True,44.3904739,-72.9814339,202.17,-10.56
7,882074479,True,44.3905825,-72.9814482,200.09,-9.73
8,882074479,True,44.3906911,-72.9814625,197.98,-9.87
9,882074479,True,44.3907997,-72.9814768,195.35,-12.23
10,882074479,True,44.3909083,-72.9814911,192.69,-12.37
11,882074479,True,44.39100845,-72.98150385,190.07,-13.19
12,882074479,True,44.3911086,-72.9815166,187.33,-13.77
13,882074479,True,44.39120875,-72.98152935,184.59,-13.77
14,882074479,True,44.3913089,-72.9815421,181.76,-14.20
15,882074479,True,44.3914088,-72.98154276,178.52,-16.26
16,882074479,True,44.3915087,-72.98154342,175.13,-16.97
17,882074479,True,44.3916086,-72.98154409,172.44,-13.61
18,882074479,True,44.3917085,-72.98154475,169.96,-12.59
19,882074479,True,44.3918084,-72.98154541,167.60,-11.99
20,882074479,True,44.3919083,-72.98154607,165.33,-11.55
21,882074479,True,44.3920082,-72.98154674,162.79,-12.88
22,882074479,True,44.3921081,-72.9815474,160.35,-12.39
23,882074479,True,44.39218333,-72.98154607,158.42,-12.99
24,882074479,True,44.39225855,-72.98154475,156.45,-13.25
25,882074479,True,44.39233377,-72.98154342,154.74,-11.55
26,882074479,True,44.392409,-72.9815421,153.13,-10.89
27,882074479,True,44.39250675,-72.98153537,151.22,-9.95
28,882074479,True,44.3926045,-72.98152865,149.71,-7.90
29,882074479,True,44.39270225,-72.98152193,148.53,-6.19
30,882074479,True,44.3928,-72.9815152,147.29,-6.50
31,882074479,True,44.3928719,-72.98150315,146.13,-8.20
32,882074479,True,44.3929438,-72.9814911,144.79,-9.45
33,882074479,True,44.3930511,-72.9814844,142.43,-11.18
34,882074479,True,44.3931584,-72.9814777,139.52,-13.69
35,882074479,True,44.39323602,-72.9814864,137.02,-16.11
36,882074479,True,44.39331365,-72.9814951,134.45,-16.53
37,882074479,True,44.39339127,-72.9815038,132.29,-14.01
38,882074479,True,44.3934689,-72.9815125,130.45,-12.00
39,882074479,True,44.39355085,-72.98152927,129.04,-8.70
40,882074479,True,44.3936328,-72.98154605,127.96,-6.69
41,882074479,True,44.39371475,-72.98156282,126.79,-7.24
42,882074479,True,44.3937967,-72.9815796,125.48,-8.10
43,882074479,True,44.39388485,-72.9815541,123.75,-9.81
44,882074479,True,44.393973,-72.9815286,121.91,-10.42
45,882074479,True,44.39404775,-72.9815085,120.41,-10.05
46,882074479,True,44.3941225,-72.9814884,118.76,-11.03
47,882074479,True,44.39419725,-72.9814683,117.40,-9.13
48,882074479,True,44.394272,-72.9814482,116.73,-4.53
0,882074480,True,44.3901857,-72.9813328,208.48,0.00
1,882074480,True,44.3902087,-72.9812376,208.02,-3.30
2,882074480,True,44.3902317,-72.9811424,207.61,-2.94
3,882074480,True,44.39027675,-72.9809922,207.62,0.04
4,882074480,True,44.3903218,-72.980842,208.29,2.96
5,882074480,True,44.39039465,-72.9807736,207.21,-6.32
6,882074480,True,44.3904675,-72.9807052,206.09,-6.55
7,882074480,True,44.3905633,-72.98067165,204.60,-7.73
8,882074480,True,44.3906591,-72.9806381,202.89,-8.85
9,882074480,True,44.39076645,-72.98061665,200.31,-12.08
10,882074480,True,44.3908738,-72.9805952,197.14,-14.73
11,882074480,True,44.39098115,-72.98057375,193.71,-15.88
12,882074480,True,44.3910885,-72.9805523,190.67,-14.15
13,882074480,True,44.39120445,-72.9805275,188.34,-10.13
14,882074480,True,44.3913204,-72.9805027,185.89,-10.64
15,882074480,True,44.39143635,-72.9804779,183.37,-10.94
16,882074480,True,44.3915523,-72.9804531,180.30,-13.25
17,882074480,True,44.39163855,-72.980435,176.82,-19.74
18,882074480,True,44.3917248,-72.9804169,172.74,-22.82
19,882074480,True,44.39181105,-72.9803988,168.68,-22.72
20,882074480,True,44.3918973,-72.9803807,165.99,-15.50
21,882074480,True,44.39201995,-72.9804075,162.52,-14.11
