,trail_id,for_display,lat,lon,elevation,slope
0,47793898,True,42.2023005,-74.2284115,942.14,0.00
1,47793898,True,42.20229945,-74.2282596,942.71,2.61
2,47793898,True,42.2022984,-74.2281077,940.80,-8.68
3,47793898,True,42.2022357,-74.2280035,937.56,-16.33
4,47793898,True,42.202173,-74.2278993,932.79,-23.33
5,47793898,True,42.2021199,-74.22778205,927.69,-24.25
6,47793898,True,42.2020668,-74.2276648,922.11,-26.24
7,47793898,True,42.20207165,-74.22751175,915.95,-26.02
8,47793898,True,42.2020765,-74.2273587,908.73,-29.78
9,47793898,True,42.20211902,-74.22724389,905.82,-15.39
10,47793898,True,42.20216154,-74.22712909,903.24,-13.71
11,47793898,True,42.20220406,-74.22701428,900.86,-12.69
12,47793898,True,42.20224658,-74.22689947,898.03,-14.98
13,47793898,True,42.20228909,-74.22678467,894.68,-17.58
14,47793898,True,42.20233161,-74.22666986,890.59,-21.15
15,47793898,True,42.20237413,-74.22655506,885.41,-26.10
16,47793898,True,42.20241665,-74.22644025,881.04,-22.46
17,47793898,True,42.20245917,-74.22632544,876.39,-23.74
18,47793898,True,42.20250169,-74.22621064,871.95,-22.78
19,47793898,True,42.20254421,-74.22609583,867.47,-22.96
20,47793898,True,42.20258673,-74.22598102,862.23,-26.36
21,47793898,True,42.20262924,-74.22586622,856.85,-26.97
22,47793898,True,42.20267176,-74.22575141,852.62,-21.81
23,47793898,True,42.20271428,-74.22563661,849.34,-17.24
24,47793898,True,42.2027568,-74.2255218,846.90,-13.00
25,47793898,True,42.20281107,-74.22542572,845.44,-8.35
26,47793898,True,42.20286535,-74.22532965,843.73,-9.75
27,47793898,True,42.20291963,-74.22523358,841.36,-13.39
28,47793898,True,42.2029739,-74.2251375,838.86,-14.10
29,47793898,True,42.2030728,-74.2250268,836.23,-10.43
30,47793898,True,42.2031717,-74.2249161,831.01,-20.07
31,47793898,True,42.2032055,-74.22478255,823.96,-31.24
32,47793898,True,42.2032393,-74.224649,814.48,-39.20
33,47793898,True,42.2032176,-74.2244764,800.91,-43.26
34,47793898,True,42.2031959,-74.2243038,792.14,-31.31
0,47793899,True,42.2042996,-74.2289737,835.76,0.00
1,47793899,True,42.2043536,-74.2288695,831.09,-24.03
2,47793899,True,42.20436422,-74.22875485,829.95,-6.83
3,47793899,True,42.20437485,-74.2286402,828.82,-6.77
4,47793899,True,42.20438547,-74.22852555,827.65,-7.01
5,47793899,True,42.2043961,-74.2284109,826.35,-7.78
6,47793899,True,42.2044318,-74.2282585,823.17,-13.58
7,47793899,True,42.2044675,-74.2281061,820.22,-12.63
8,47793899,True,42.2045032,-74.2279537,817.09,-13.37
9,47793899,True,42.2045389,-74.2278013,813.06,-17.02
10,47793899,True,42.20454855,-74.22767103,811.13,-10.15
11,47793899,True,42.2045582,-74.22754075,809.09,-10.71
12,47793899,True,42.20456785,-74.22741047,807.07,-10.61
13,47793899,True,42.2045775,-74.2272802,805.04,-10.66
14,47793899,True,42.20456302,-74.22716621,805.17,0.78
15,47793899,True,42.20454855,-74.22705222,805.24,0.42
16,47793899,True,42.20453407,-74.22693824,805.11,-0.78
17,47793899,True,42.2045196,-74.22682425,804.69,-2.52
18,47793899,True,42.20450512,-74.22671026,804.19,-3.00
19,47793899,True,42.20449065,-74.22659627,803.67,-3.12
20,47793899,True,42.20447617,-74.22648229,803.03,-3.84
