,trail_id,for_display,lat,lon,elevation,slope
0,153647392,True,40.1031986,-76.9255571,409.74,0.00
1,153647392,True,40.10327325,-76.92558135,409.97,1.54
2,153647392,True,40.1033479,-76.9256056,409.89,-0.54
3,153647392,True,40.1034347,-76.9256429,410.21,1.80
4,153647392,True,40.103492,-76.9256675,410.41,1.71
5,153647392,True,40.1036011,-76.9257294,410.69,1.21
6,153647392,True,40.1036608,-76.9258424,410.44,-1.23
7,153647392,True,40.10372975,-76.9258949,410.12,-2.07
8,153647392,True,40.1037987,-76.9259474,409.83,-1.87
9,153647392,True,40.1038831,-76.9260605,408.97,-3.66
10,153647392,True,40.10393765,-76.92613045,408.21,-5.11
11,153647392,True,40.1039922,-76.9262004,407.06,-7.71
12,153647392,True,40.1040643,-76.9263398,406.08,-3.92
0,153647395,True,40.1040185,-76.9268614,407.18,0.00
1,153647395,True,40.10404615,-76.92695465,406.90,-1.89
2,153647395,True,40.1040738,-76.9270479,406.88,-0.13
3,153647395,True,40.10414295,-76.9271697,406.69,-0.84
4,153647395,True,40.1042121,-76.9272915,406.42,-1.20
5,153647395,True,40.1042929,-76.92741045,405.72,-2.96
6,153647395,True,40.1043737,-76.9275294,404.89,-3.51
7,153647395,True,40.10445405,-76.92756148,403.72,-7.14
8,153647395,True,40.1045344,-76.92759355,401.96,-10.67
9,153647395,True,40.10461475,-76.92762562,399.57,-14.35
10,153647395,True,40.1046951,-76.9276577,397.06,-15.04
11,153647395,True,40.10479598,-76.9276752,393.03,-19.60
12,153647395,True,40.10489685,-76.9276927,388.21,-23.07
13,153647395,True,40.10499773,-76.9277102,383.01,-24.68
14,153647395,True,40.1050986,-76.9277277,377.87,-24.43
15,153647395,True,40.10519637,-76.92773578,373.35,-22.54
16,153647395,True,40.10529415,-76.92774385,369.30,-20.39
17,153647395,True,40.10539192,-76.92775193,365.37,-19.84
18,153647395,True,40.1054897,-76.92776,361.67,-18.76
19,153647395,True,40.10558543,-76.92774118,358.13,-18.20
20,153647395,True,40.10568115,-76.92772235,355.39,-14.28
21,153647395,True,40.10577687,-76.92770352,353.44,-10.27
22,153647395,True,40.1058726,-76.9276847,351.24,-11.55
23,153647395,True,40.1059426,-76.92763892,349.86,-9.01
24,153647395,True,40.1060126,-76.92759315,348.47,-9.07
25,153647395,True,40.1060826,-76.92754738,346.79,-10.93
26,153647395,True,40.1061526,-76.9275016,345.00,-11.62
27,153647395,True,40.1062051,-76.9274397,343.42,-11.36
28,153647395,True,40.1062576,-76.9273778,341.84,-11.36
29,153647395,True,40.1063101,-76.9273159,340.44,-10.10
30,153647395,True,40.1063626,-76.927254,339.44,-7.25
31,153647395,True,40.10644325,-76.92722055,337.99,-8.76
32,153647395,True,40.1065239,-76.9271871,336.41,-9.53
0,153647398,True,40.1057859,-76.9288534,352.06,0.00
