trail_id,for_display,lat,lon,elevation,slope,index
5433648,True,46.83823470,-110.71703990,2495.11,0.00,0
5433648,True,46.83812810,-110.71714180,2497.29,8.73,1
5433648,True,46.83802150,-110.71724370,2497.88,2.39,2
5433648,True,46.83796425,-110.71737245,2497.64,-1.17,3
5433648,True,46.83790700,-110.71750120,2497.51,-0.66,4
5433648,True,46.83790880,-110.71768150,2497.72,0.90,5
5433648,True,46.83794700,-110.71784215,2498.03,1.36,6
5433648,True,46.83798520,-110.71800280,2498.10,0.33,7
5433648,True,46.83799647,-110.71813635,2498.09,-0.08,8
5433648,True,46.83800775,-110.71826990,2498.10,0.08,9
5433648,True,46.83801903,-110.71840345,2498.11,0.02,10
5433648,True,46.83803030,-110.71853700,2498.11,0.03,11
5433648,True,46.83799030,-110.71871260,2497.98,-0.52,12
5433648,True,46.83792770,-110.71885530,2497.11,-3.86,13
5433648,True,46.83786510,-110.71899800,2495.45,-7.35,14
5433648,True,46.83784008,-110.71909315,2494.50,-6.96,15
5433648,True,46.83781505,-110.71918830,2493.60,-6.63,16
5433648,True,46.83779003,-110.71928345,2492.77,-6.11,17
5433648,True,46.83776500,-110.71937860,2492.07,-5.21,18
5433648,True,46.83772495,-110.71955790,2490.79,-5.08,19
5433648,True,46.83768490,-110.71973720,2489.15,-6.53,20
5433648,True,46.83767990,-110.71984330,2488.04,-7.80,21
5433648,True,46.83767490,-110.71994940,2486.81,-8.61,22
5433648,True,46.83772495,-110.72013235,2484.63,-8.28,23
5433648,True,46.83777500,-110.72031530,2482.32,-8.78,24
5433648,True,46.83783750,-110.72041947,2480.94,-7.43,25
5433648,True,46.83790000,-110.72052365,2479.52,-7.71,26
5433648,True,46.83796250,-110.72062782,2477.99,-8.26,27
5433648,True,46.83802500,-110.72073200,2476.36,-8.80,28
5433648,True,46.83811800,-110.72080450,2474.88,-7.19,29
5433648,True,46.83821100,-110.72087700,2473.12,-8.55,30
5433648,True,46.83832550,-110.72092700,2471.14,-8.48,31
5433648,True,46.83844000,-110.72097700,2468.76,-10.15,32
5433648,True,46.83852575,-110.72096025,2467.39,-8.12,33
5433648,True,46.83861150,-110.72094350,2465.70,-9.92,34
5433648,True,46.83869725,-110.72092675,2463.76,-11.39,35
5433648,True,46.83878300,-110.72091000,2461.62,-12.58,36
5433648,True,46.83885725,-110.72083525,2460.45,-6.64,37
5433648,True,46.83893150,-110.72076050,2459.06,-7.87,38
5433648,True,46.83900575,-110.72068575,2457.50,-8.87,39
5433648,True,46.83908000,-110.72061100,2455.90,-9.07,40
5433648,True,46.83913275,-110.72049171,2455.41,-2.61,41
5433648,True,46.83918550,-110.72037242,2454.78,-3.33,42
5433648,True,46.83923825,-110.72025314,2453.92,-4.55,43
5433648,True,46.83929100,-110.72013385,2452.81,-5.86,44
5433648,True,46.83934375,-110.72001456,2451.43,-7.25,45
5433648,True,46.83939650,-110.71989527,2449.85,-8.37,46
5433648,True,46.83944925,-110.71977599,2448.01,-9.62,47
5433648,True,46.83950200,-110.71965670,2446.08,-10.14,48
5433648,True,46.83952705,-110.71953225,2445.28,-4.66,49
5433648,True,46.83955210,-110.71940780,2444.47,-4.69,50
5433648,True,46.83958225,-110.71928151,2443.46,-5.69,51
