trail_id,for_display,lat,lon,elevation,slope,index
765572258,True,45.86759460,-116.09676340,1721.17,0.00,0
765572258,True,45.86763755,-116.09668770,1720.67,-3.78,1
765572258,True,45.86768050,-116.09661200,1719.76,-6.86,2
765572258,True,45.86772345,-116.09653630,1718.66,-8.28,3
765572258,True,45.86776640,-116.09646060,1717.42,-9.31,4
765572258,True,45.86786790,-116.09635165,1714.98,-9.82,5
765572258,True,45.86796940,-116.09624270,1712.71,-9.15,6
765572258,True,45.86807090,-116.09613375,1710.82,-7.64,7
765572258,True,45.86817240,-116.09602480,1708.93,-7.64,8
765572258,True,45.86821928,-116.09586458,1706.84,-8.83,9
765572258,True,45.86826615,-116.09570435,1704.38,-10.36,10
765572258,True,45.86831302,-116.09554413,1701.75,-11.06,11
765572258,True,45.86835990,-116.09538390,1699.23,-10.61,12
765572258,True,45.86837943,-116.09526335,1697.52,-10.12,13
765572258,True,45.86839895,-116.09514280,1695.61,-11.27,14
765572258,True,45.86841847,-116.09502225,1693.31,-13.50,15
765572258,True,45.86843800,-116.09490170,1690.88,-14.23,16
765572258,True,45.86844093,-116.09475870,1688.21,-13.55,17
765572258,True,45.86844385,-116.09461570,1685.60,-13.26,18
765572258,True,45.86844677,-116.09447270,1683.08,-12.82,19
765572258,True,45.86844970,-116.09432970,1680.64,-12.42,20
765572258,True,45.86845263,-116.09418670,1678.07,-13.06,21
765572258,True,45.86845555,-116.09404370,1675.39,-13.60,22
765572258,True,45.86845847,-116.09390070,1672.77,-13.31,23
765572258,True,45.86846140,-116.09375770,1670.24,-12.87,24
765572258,True,45.86846579,-116.09363713,1668.16,-12.54,25
765572258,True,45.86847019,-116.09351656,1666.03,-12.84,26
765572258,True,45.86847458,-116.09339599,1663.88,-12.95,27
765572258,True,45.86847898,-116.09327543,1661.80,-12.55,28
765572258,True,45.86848337,-116.09315486,1659.64,-13.01,29
765572258,True,45.86848776,-116.09303429,1657.34,-13.82,30
765572258,True,45.86849216,-116.09291372,1654.97,-14.23,31
765572258,True,45.86849655,-116.09279315,1652.59,-14.28,32
765572258,True,45.86850094,-116.09267258,1650.22,-14.23,33
765572258,True,45.86850534,-116.09255201,1647.94,-13.71,34
765572258,True,45.86850973,-116.09243144,1645.85,-12.60,35
765572258,True,45.86851413,-116.09231088,1643.78,-12.49,36
765572258,True,45.86851852,-116.09219031,1641.69,-12.60,37
765572258,True,45.86852291,-116.09206974,1639.67,-12.19,38
765572258,True,45.86852731,-116.09194917,1637.70,-11.90,39
765572258,True,45.86853170,-116.09182860,1635.80,-11.49,40
765572258,True,45.86852975,-116.09170805,1634.06,-10.56,41
765572258,True,45.86852780,-116.09158750,1632.42,-9.96,42
765572258,True,45.86852585,-116.09146695,1630.82,-9.72,43
765572258,True,45.86852390,-116.09134640,1629.22,-9.72,44
765572258,True,45.86850870,-116.09119005,1627.17,-9.52,45
765572258,True,45.86849350,-116.09103370,1625.23,-9.02,46
765572258,True,45.86847710,-116.09086410,1623.28,-8.37,47
765572258,True,45.86842438,-116.09072390,1621.20,-9.57,48
765572258,True,45.86837165,-116.09058370,1618.86,-10.74,49
765572258,True,45.86831892,-116.09044350,1616.53,-10.69,50
765572258,True,45.86826620,-116.09030330,1614.45,-9.57,51
765572258,True,45.86820765,-116.09019115,1613.08,-7.19,52
765572258,True,45.86814910,-116.09007900,1611.86,-6.41,53
765572259,True,45.86759460,-116.09676340,1721.17,0.00,0
765572259,True,45.86765570,-116.09671210,1720.55,-4.50,1
765572259,True,45.86776733,-116.09661840,1718.54,-7.96,2
