,trail_id,for_display,lat,lon,elevation,slope
0,321578116,True,38.4160402,-79.9925768,1332.36,0.00
1,321578116,True,38.4159429,-79.99250795,1332.09,-1.21
2,321578116,True,38.4158456,-79.9924391,1331.68,-1.94
3,321578116,True,38.4157483,-79.99237025,1331.25,-1.97
4,321578116,True,38.415651,-79.9923014,1331.04,-0.97
5,321578116,True,38.41561257,-79.99220712,1330.47,-3.55
6,321578116,True,38.41557415,-79.99211285,1329.92,-3.39
7,321578116,True,38.41553572,-79.99201858,1329.52,-2.45
8,321578116,True,38.4154973,-79.9919243,1329.11,-2.52
9,321578116,True,38.41549956,-79.99181434,1327.96,-6.86
10,321578116,True,38.41550182,-79.99170437,1326.65,-7.77
11,321578116,True,38.41550409,-79.99159441,1325.02,-9.68
12,321578116,True,38.41550635,-79.99148445,1323.06,-11.54
13,321578116,True,38.41550861,-79.99137449,1321.12,-11.46
14,321578116,True,38.41551087,-79.99126452,1319.48,-9.72
15,321578116,True,38.41551314,-79.99115456,1317.98,-8.85
16,321578116,True,38.4155154,-79.9910446,1316.54,-8.59
17,321578116,True,38.41550302,-79.99089337,1314.60,-8.30
18,321578116,True,38.41549065,-79.99074215,1312.50,-9.02
19,321578116,True,38.41547827,-79.99059092,1310.04,-10.51
20,321578116,True,38.4154659,-79.9904397,1307.55,-10.67
21,321578116,True,38.41546183,-79.99028956,1304.87,-11.54
22,321578116,True,38.41545775,-79.99013942,1302.05,-12.17
23,321578116,True,38.41545368,-79.98998929,1299.89,-9.39
24,321578116,True,38.4154496,-79.98983915,1298.20,-7.36
25,321578116,True,38.41544553,-79.98968901,1296.58,-7.05
26,321578116,True,38.41544145,-79.98953887,1295.07,-6.60
27,321578116,True,38.41543737,-79.98938874,1293.56,-6.56
28,321578116,True,38.4154333,-79.9892386,1292.08,-6.46
29,321578116,True,38.41544595,-79.9891494,1291.08,-7.23
30,321578116,True,38.4154586,-79.9890602,1290.12,-6.93
31,321578116,True,38.41547125,-79.988971,1289.21,-6.55
32,321578116,True,38.4154839,-79.9888818,1288.32,-6.44
33,321578116,True,38.415517,-79.98878136,1287.08,-7.43
34,321578116,True,38.4155501,-79.98868092,1285.80,-7.67
35,321578116,True,38.4155832,-79.98858049,1284.44,-8.18
36,321578116,True,38.4156163,-79.98848005,1282.96,-8.86
37,321578116,True,38.4156494,-79.98837961,1281.50,-8.75
38,321578116,True,38.4156825,-79.98827918,1279.89,-9.64
39,321578116,True,38.4157156,-79.98817874,1278.21,-9.99
40,321578116,True,38.4157487,-79.9880783,1276.53,-10.07
41,321578116,True,38.41576108,-79.98799244,1275.21,-9.82
42,321578116,True,38.41577346,-79.98790659,1273.84,-10.23
43,321578116,True,38.41578584,-79.98782073,1272.51,-9.94
44,321578116,True,38.41579823,-79.98773488,1271.19,-9.84
45,321578116,True,38.41581061,-79.98764902,1269.89,-9.69
46,321578116,True,38.41582299,-79.98756316,1268.65,-9.22
47,321578116,True,38.41583537,-79.98747731,1267.49,-8.71
48,321578116,True,38.41584775,-79.98739145,1266.33,-8.68
49,321578116,True,38.41586013,-79.98730559,1265.11,-9.11
50,321578116,True,38.41587251,-79.98721974,1263.84,-9.45
51,321578116,True,38.41588489,-79.98713388,1262.51,-9.92
52,321578116,True,38.41589727,-79.98704802,1261.12,-10.39
53,321578116,True,38.41590966,-79.98696217,1259.73,-10.33
54,321578116,True,38.41592204,-79.98687631,1258.41,-9.88
55,321578116,True,38.41593442,-79.98679046,1257.20,-9.04
56,321578116,True,38.4159468,-79.9867046,1256.06,-8.46
57,321578116,True,38.41592895,-79.98656073,1254.14,-8.63
58,321578116,True,38.4159111,-79.98641685,1252.04,-9.38
59,321578116,True,38.41589325,-79.98627297,1250.09,-8.73
60,321578116,True,38.4158754,-79.9861291,1248.54,-6.99
0,321578117,True,38.4184512,-79.9926495,1362.87,0.00
1,321578117,True,38.41840045,-79.99251473,1359.84,-13.09
2,321578117,True,38.4183497,-79.99237995,1356.25,-15.38
3,321578117,True,38.41829895,-79.99224517,1352.65,-15.45
4,321578117,True,38.4182482,-79.9921104,1349.44,-13.86
5,321578117,True,38.41819745,-79.99197563,1346.18,-14.07
6,321578117,True,38.4181467,-79.99184085,1342.86,-14.29
7,321578117,True,38.41809595,-79.99170607,1339.85,-13.01
8,321578117,True,38.4180452,-79.9915713,1337.01,-12.30
9,321578117,True,38.41805554,-79.99140951,1334.08,-11.68
10,321578117,True,38.41806587,-79.99124773,1331.47,-10.46
11,321578117,True,38.41807621,-79.99108594,1329.00,-9.91
12,321578117,True,38.41808655,-79.99092415,1326.58,-9.70
13,321578117,True,38.41809689,-79.99076236,1324.42,-8.68
14,321578117,True,38.41810722,-79.99060058,1322.93,-6.04
15,321578117,True,38.41811756,-79.99043879,1321.54,-5.59
16,321578117,True,38.4181279,-79.990277,1320.61,-3.78
17,321578117,True,38.41806175,-79.9901328,1318.47,-8.37
18,321578117,True,38.4179956,-79.9899886,1315.64,-11.00
19,321578117,True,38.41792945,-79.9898444,1312.51,-12.11
20,321578117,True,38.4178633,-79.9897002,1309.43,-11.95
21,321578117,True,38.4177666,-79.9896092,1307.34,-8.91
22,321578117,True,38.41768501,-79.98953248,1305.56,-8.96
23,321578117,True,38.41760342,-79.98945575,1303.60,-9.88
24,321578117,True,38.41752184,-79.98937902,1301.01,-12.91
25,321578117,True,38.41744025,-79.9893023,1298.20,-14.02
26,321578117,True,38.41735866,-79.98922557,1296.04,-10.82
27,321578117,True,38.41727708,-79.98914885,1294.26,-9.00
28,321578117,True,38.41719549,-79.98907212,1292.36,-9.56
29,321578117,True,38.4171139,-79.9889954,1290.29,-10.40
30,321578117,True,38.4170256,-79.9889124,1288.34,-9.12
31,321578117,True,38.4169719,-79.98883446,1287.19,-7.25
32,321578117,True,38.4169182,-79.98875652,1286.16,-6.50
33,321578117,True,38.4168645,-79.98867859,1284.85,-8.23
34,321578117,True,38.4168108,-79.98860065,1283.11,-10.91
35,321578117,True,38.4167571,-79.98852271,1281.61,-9.37
36,321578117,True,38.4167034,-79.98844478,1280.19,-8.94
37,321578117,True,38.4166497,-79.98836684,1278.94,-7.89
38,321578117,True,38.416596,-79.9882889,1277.68,-7.92
39,321578117,True,38.41660427,-79.98816672,1276.27,-7.55
40,321578117,True,38.41661255,-79.98804455,1274.69,-8.39
41,321578117,True,38.41662082,-79.98792237,1272.98,-9.12
42,321578117,True,38.4166291,-79.9878002,1271.65,-7.08
43,321578117,True,38.41665639,-79.98771643,1271.02,-4.53
44,321578117,True,38.41668368,-79.98763265,1270.37,-4.75
45,321578117,True,38.41671096,-79.98754887,1269.65,-5.15
46,321578117,True,38.41673825,-79.9874651,1268.93,-5.20
47,321578117,True,38.41676554,-79.98738133,1268.19,-5.37
48,321578117,True,38.41679283,-79.98729755,1267.34,-6.18
49,321578117,True,38.41682011,-79.98721377,1266.75,-4.22
50,321578117,True,38.4168474,-79.98713,1266.32,-3.14
51,321578117,True,38.4168734,-79.9870501,1265.77,-4.17
52,321578117,True,38.41687175,-79.9869195,1264.19,-7.93
53,321578117,True,38.4168701,-79.9867889,1262.82,-6.83
54,321578117,True,38.41686845,-79.9866583,1261.72,-5.51
55,321578117,True,38.4168668,-79.9865277,1260.42,-6.57
56,321578117,True,38.416811,-79.98642062,1258.86,-7.92
57,321578117,True,38.4167552,-79.98631355,1257.12,-8.83
58,321578117,True,38.4166994,-79.98620648,1255.63,-7.56
59,321578117,True,38.4166436,-79.9860994,1254.06,-7.95
60,321578117,True,38.41664238,-79.98598433,1252.70,-7.75
61,321578117,True,38.41664115,-79.98586925,1251.53,-6.64
62,321578117,True,38.41663992,-79.98575418,1251.07,-2.62
63,321578117,True,38.4166387,-79.9856391,1250.69,-2.21
64,321578117,True,38.4166811,-79.98552267,1250.16,-2.67
65,321578117,True,38.4167235,-79.98540625,1249.23,-4.77
66,321578117,True,38.4167659,-79.98528982,1248.09,-5.81
67,321578117,True,38.4168083,-79.9851734,1246.82,-6.47
68,321578117,True,38.4168866,-79.98510155,1245.88,-5.05
69,321578117,True,38.4169649,-79.9850297,1245.31,-3.04
0,321578118,True,38.4192803,-79.9927062,1365.86,0.00
1,321578118,True,38.41923342,-79.99254778,1361.83,-15.27
2,321578118,True,38.41918654,-79.99238936,1358.08,-14.29
3,321578118,True,38.41913966,-79.99223094,1354.23,-14.59
4,321578118,True,38.41909277,-79.99207252,1350.52,-14.13
5,321578118,True,38.41904589,-79.99191411,1346.70,-14.53
6,321578118,True,38.41899901,-79.99175569,1342.95,-14.24
7,321578118,True,38.41895213,-79.99159727,1340.01,-11.27
8,321578118,True,38.41890525,-79.99143885,1338.33,-6.51
9,321578118,True,38.41885837,-79.99128043,1335.94,-9.20
10,321578118,True,38.41881149,-79.99112201,1333.30,-10.13
11,321578118,True,38.41876461,-79.99096359,1330.70,-9.99
12,321578118,True,38.41871772,-79.99080518,1328.91,-6.94
13,321578118,True,38.41867084,-79.99064676,1326.94,-7.58
14,321578118,True,38.41862396,-79.99048834,1325.02,-7.45
15,321578118,True,38.41857708,-79.99032992,1323.36,-6.39
16,321578118,True,38.4185302,-79.9901715,1321.69,-6.46
17,321578118,True,38.41849541,-79.99006863,1320.50,-6.95
18,321578118,True,38.41846062,-79.98996575,1319.27,-7.19
19,321578118,True,38.41842584,-79.98986288,1318.06,-7.10
20,321578118,True,38.41839105,-79.98976,1316.70,-7.89
21,321578118,True,38.41835626,-79.98965713,1315.32,-8.07
22,321578118,True,38.41832147,-79.98955425,1313.71,-9.33
23,321578118,True,38.41828669,-79.98945138,1311.66,-11.91
24,321578118,True,38.4182519,-79.9893485,1310.09,-9.10
25,321578118,True,38.41821711,-79.98924562,1309.14,-5.59
26,321578118,True,38.41818233,-79.98914275,1307.75,-8.06
27,321578118,True,38.41814754,-79.98903988,1306.42,-7.79
28,321578118,True,38.41811275,-79.988937,1305.22,-7.00
29,321578118,True,38.41807796,-79.98883412,1304.06,-6.76
30,321578118,True,38.41804318,-79.98873125,1302.89,-6.85
31,321578118,True,38.41800839,-79.98862837,1301.72,-6.83
32,321578118,True,38.4179736,-79.9885255,1300.48,-7.23
33,321578118,True,38.41790884,-79.98844549,1298.74,-9.87
34,321578118,True,38.41784408,-79.98836547,1296.94,-10.16
35,321578118,True,38.41777931,-79.98828546,1295.07,-10.59
36,321578118,True,38.41771455,-79.98820545,1293.15,-10.85
37,321578118,True,38.41764979,-79.98812544,1291.26,-10.69
38,321578118,True,38.41758503,-79.98804542,1289.32,-10.95
39,321578118,True,38.41752026,-79.98796541,1287.06,-12.69
40,321578118,True,38.4174555,-79.9878854,1284.62,-13.67
41,321578118,True,38.4174245,-79.98776934,1282.63,-10.55
42,321578118,True,38.4173935,-79.98765327,1280.67,-10.40
43,321578118,True,38.4173625,-79.98753721,1278.70,-10.47
44,321578118,True,38.4173315,-79.98742115,1276.79,-10.13
45,321578118,True,38.4173005,-79.98730509,1274.89,-10.08
46,321578118,True,38.4172695,-79.98718902,1272.92,-10.47
47,321578118,True,38.4172385,-79.98707296,1270.93,-10.56
48,321578118,True,38.4172075,-79.9869569,1268.89,-10.78
49,321578118,True,38.4171772,-79.9868602,1267.23,-10.40
50,321578118,True,38.4171469,-79.9867635,1265.77,-9.09
51,321578118,True,38.4171166,-79.9866668,1264.36,-8.88
52,321578118,True,38.4170863,-79.9865701,1262.85,-9.41
53,321578118,True,38.41697655,-79.9865489,1261.62,-5.71
54,321578118,True,38.4168668,-79.9865277,1260.42,-5.57
0,321578121,True,38.411198,-79.9939733,1448.19,0.00
1,321578121,True,38.41124467,-79.99384093,1446.11,-9.34
2,321578121,True,38.41129135,-79.99370855,1443.19,-12.98
3,321578121,True,38.41133802,-79.99357617,1440.28,-12.97
4,321578121,True,38.4113847,-79.9934438,1438.38,-8.55
5,321578121,True,38.41144382,-79.99329842,1435.69,-10.68
6,321578121,True,38.41150295,-79.99315305,1432.10,-14.09
7,321578121,True,38.41156207,-79.99300768,1428.45,-14.37
8,321578121,True,38.4116212,-79.9928623,1424.67,-14.84
9,321578121,True,38.41165294,-79.99277695,1422.51,-14.65
10,321578121,True,38.41168468,-79.9926916,1420.14,-16.09
11,321578121,True,38.41171641,-79.99260625,1417.55,-17.45
12,321578121,True,38.41174815,-79.9925209,1414.80,-18.45
13,321578121,True,38.41177989,-79.99243555,1411.83,-19.85
14,321578121,True,38.41181162,-79.9923502,1408.82,-20.11
15,321578121,True,38.41184336,-79.99226485,1405.87,-19.71
16,321578121,True,38.4118751,-79.9921795,1402.95,-19.57
17,321578121,True,38.41190684,-79.99209415,1400.01,-19.61
18,321578121,True,38.41193858,-79.9920088,1397.06,-19.72
19,321578121,True,38.41197031,-79.99192345,1394.06,-20.05
20,321578121,True,38.41200205,-79.9918381,1391.01,-20.31
21,321578121,True,38.41203379,-79.99175275,1388.08,-19.57
22,321578121,True,38.41206553,-79.9916674,1385.37,-18.25
23,321578121,True,38.41209726,-79.99158205,1382.80,-17.33
24,321578121,True,38.412129,-79.9914967,1380.22,-17.44
25,321578121,True,38.4121766,-79.99134433,1375.78,-17.24
26,321578121,True,38.4122242,-79.99119195,1371.42,-16.97
27,321578121,True,38.4122718,-79.99103958,1366.91,-17.52
28,321578121,True,38.4123194,-79.9908872,1363.00,-15.29
29,321578121,True,38.412367,-79.99073483,1359.83,-12.51
30,321578121,True,38.4124146,-79.99058245,1356.68,-12.44
31,321578121,True,38.4124622,-79.99043008,1353.53,-12.44
32,321578121,True,38.4125098,-79.9902777,1350.26,-12.89
33,321578121,True,38.41252945,-79.99012147,1347.74,-10.35
34,321578121,True,38.4125491,-79.98996525,1345.39,-9.69
35,321578121,True,38.41256875,-79.98980902,1343.10,-9.43
36,321578121,True,38.4125884,-79.9896528,1340.80,-9.45
37,321578121,True,38.4125884,-79.98954285,1339.38,-8.46
38,321578121,True,38.4125884,-79.9894329,1337.96,-8.43
39,321578121,True,38.4125884,-79.98932295,1336.45,-8.92
40,321578121,True,38.4125884,-79.989213,1334.93,-9.05
41,321578121,True,38.4125461,-79.9891185,1334.02,-5.48
42,321578121,True,38.4125038,-79.989024,1333.03,-5.91
43,321578121,True,38.4124615,-79.9889295,1332.26,-4.65
44,321578121,True,38.4124192,-79.988835,1331.69,-3.47
45,321578121,True,38.41245697,-79.98867105,1329.64,-7.84
46,321578121,True,38.41249475,-79.9885071,1327.05,-9.87
47,321578121,True,38.41253253,-79.98834315,1324.07,-11.32
48,321578121,True,38.4125703,-79.9881792,1321.29,-10.55
49,321578121,True,38.41254839,-79.98807794,1320.38,-5.71
50,321578121,True,38.41252647,-79.98797667,1319.32,-6.57
51,321578121,True,38.41250456,-79.98787541,1318.20,-6.98
52,321578121,True,38.41248265,-79.98777415,1316.92,-7.97
53,321578121,True,38.41246074,-79.98767289,1315.81,-6.93
54,321578121,True,38.41243882,-79.98757163,1314.71,-6.85
55,321578121,True,38.41241691,-79.98747036,1313.74,-6.02
56,321578121,True,38.412395,-79.9873691,1313.00,-4.62
57,321578121,True,38.4123708,-79.98720705,1311.64,-5.41
58,321578121,True,38.4123466,-79.987045,1310.00,-6.51
59,321578121,True,38.41235568,-79.98687335,1307.70,-8.75
60,321578121,True,38.41236475,-79.9867017,1305.70,-7.60
61,321578121,True,38.41237382,-79.98653005,1303.82,-7.13
62,321578121,True,38.4123829,-79.9863584,1301.80,-7.67
63,321578121,True,38.4124044,-79.9862507,1299.66,-12.46
