,trail_id,for_display,lat,lon,elevation,slope
0,198369091,True,39.0322227,-79.3952106,1296.83,0.00
1,198369091,True,39.0321635,-79.39511385,1297.26,2.31
2,198369091,True,39.0321043,-79.3950171,1297.00,-1.40
3,198369091,True,39.03206775,-79.3949131,1296.26,-4.29
4,198369091,True,39.0320312,-79.3948091,1295.35,-5.27
5,198369091,True,39.0320412,-79.3947172,1294.50,-6.05
6,198369091,True,39.0320512,-79.3946253,1293.76,-5.27
7,198369091,True,39.0321136,-79.3945264,1292.96,-4.16
8,198369091,True,39.0321589,-79.3944386,1292.14,-5.15
9,198369091,True,39.0322042,-79.3943508,1291.23,-5.71
10,198369091,True,39.0322004,-79.3942087,1289.78,-6.73
11,198369091,True,39.0322034,-79.3940839,1288.55,-6.51
12,198369091,True,39.0322064,-79.3939591,1287.35,-6.35
13,198369091,True,39.0322094,-79.3938343,1286.22,-5.98
14,198369091,True,39.0322124,-79.3937095,1285.10,-5.93
15,198369091,True,39.03221935,-79.39361272,1284.23,-5.92
16,198369091,True,39.0322263,-79.39351595,1283.36,-5.92
17,198369091,True,39.03223325,-79.39341917,1282.44,-6.25
18,198369091,True,39.0322402,-79.3933224,1281.50,-6.39
19,198369091,True,39.0322805,-79.39319945,1280.19,-6.48
20,198369091,True,39.0323208,-79.3930765,1278.84,-6.68
21,198369091,True,39.03240185,-79.3930154,1278.00,-4.60
22,198369091,True,39.0324829,-79.3929543,1277.20,-4.38
23,198369091,True,39.0325764,-79.3929314,1276.70,-2.70
24,198369091,True,39.0326699,-79.3929085,1276.20,-2.70
25,198369091,True,39.0327522,-79.39288745,1275.63,-3.50
26,198369091,True,39.0328345,-79.3928664,1275.10,-3.25
27,198369091,True,39.0328886,-79.3928042,1274.38,-5.10
28,198369091,True,39.0329378,-79.3927494,1273.64,-5.84
29,198369091,True,39.03299225,-79.39268185,1272.78,-5.84
30,198369091,True,39.0330467,-79.3926143,1271.88,-6.11
0,198369094,True,39.0386489,-79.3953681,1084.04,0.00
1,198369094,True,39.03874,-79.39539545,1082.46,-8.64
2,198369094,True,39.0388311,-79.3954228,1081.15,-7.18
3,198369094,True,39.038919,-79.39549325,1079.65,-7.42
4,198369094,True,39.0390069,-79.3955637,1078.12,-7.57
5,198369094,True,39.03907292,-79.3956318,1076.93,-7.21
6,198369094,True,39.03913895,-79.3956999,1075.76,-7.09
7,198369094,True,39.03920497,-79.395768,1074.67,-6.61
8,198369094,True,39.039271,-79.3958361,1073.19,-8.94
9,198369094,True,39.03932932,-79.3958831,1071.88,-9.72
10,198369094,True,39.03938765,-79.3959301,1070.63,-9.28
11,198369094,True,39.03944597,-79.3959771,1069.42,-8.99
12,198369094,True,39.0395043,-79.3960241,1068.18,-9.21
13,198369094,True,39.03956958,-79.396059,1066.74,-10.38
14,198369094,True,39.03963485,-79.3960939,1065.08,-11.93
15,198369094,True,39.03970012,-79.3961288,1063.32,-12.62
16,198369094,True,39.0397654,-79.3961637,1061.59,-12.41
17,198369094,True,39.03985345,-79.39619955,1059.18,-13.21
18,198369094,True,39.0399415,-79.3962354,1056.97,-12.15
19,198369094,True,39.04004905,-79.39624385,1054.74,-10.54
20,198369094,True,39.0401566,-79.3962523,1052.68,-9.76
0,198369097,True,39.0329585,-79.3948609,1284.00,0.00
1,198369097,True,39.0329415,-79.3947072,1284.25,1.07
2,198369097,True,39.03295645,-79.39460092,1283.68,-3.50
3,198369097,True,39.0329714,-79.39449465,1283.04,-3.92
4,198369097,True,39.03298635,-79.39438838,1282.38,-4.05
5,198369097,True,39.0330013,-79.3942821,1281.73,-3.99
6,198369097,True,39.03299265,-79.394113,1281.28,-1.76
7,198369097,True,39.032984,-79.3939439,1280.63,-2.54
8,198369097,True,39.03297378,-79.39381875,1280.05,-3.05
9,198369097,True,39.03296355,-79.3936936,1279.42,-3.32
10,198369097,True,39.03295332,-79.39356845,1278.76,-3.47
11,198369097,True,39.0329431,-79.3934433,1278.04,-3.79
12,198369097,True,39.03292947,-79.39328353,1277.19,-3.50
13,198369097,True,39.03291585,-79.39312375,1276.48,-2.93
14,198369097,True,39.03290223,-79.39296398,1275.58,-3.71
15,198369097,True,39.0328886,-79.3928042,1274.38,-4.94
0,198369102,True,39.0385349,-79.3995059,1092.31,0.00
1,198369102,True,39.0386375,-79.39951188,1089.75,-12.63
2,198369102,True,39.0387401,-79.39951785,1086.89,-14.06
3,198369102,True,39.0388427,-79.39952382,1083.50,-16.53
4,198369102,True,39.0389453,-79.3995298,1080.00,-17.04
5,198369102,True,39.0390479,-79.39953578,1076.58,-16.67
6,198369102,True,39.0391505,-79.39954175,1073.44,-15.37
7,198369102,True,39.0392531,-79.39954772,1070.56,-14.15
8,198369102,True,39.0393557,-79.3995537,1067.74,-13.87
9,198369102,True,39.03947945,-79.39960945,1064.22,-13.57
10,198369102,True,39.0396032,-79.3996652,1060.86,-12.98
11,198369102,True,39.03972695,-79.39972095,1057.43,-13.24
12,198369102,True,39.0398507,-79.3997767,1054.56,-11.14
13,198369102,True,39.03994938,-79.39979673,1052.41,-10.95
14,198369102,True,39.04004805,-79.39981675,1050.24,-11.05
15,198369102,True,39.04014672,-79.39983677,1048.21,-10.36
16,198369102,True,39.0402454,-79.3998568,1046.32,-9.66
17,198369102,True,39.0403724,-79.3998458,1043.64,-10.72
18,198369102,True,39.0404994,-79.3998348,1040.80,-11.35
19,198369102,True,39.040584,-79.3997979,1038.67,-12.10
20,198369102,True,39.0406806,-79.3997059,1036.40,-9.64
21,198369102,True,39.0408019,-79.3997524,1033.30,-12.42
22,198369102,True,39.04086668,-79.39979002,1031.77,-10.96
23,198369102,True,39.04093145,-79.39982765,1030.26,-10.82
24,198369102,True,39.04099623,-79.39986527,1028.78,-10.61
25,198369102,True,39.041061,-79.3999029,1027.38,-10.05
26,198369102,True,39.04114237,-79.39998995,1025.76,-7.84
27,198369102,True,39.04122375,-79.400077,1024.33,-6.93
28,198369102,True,39.04130513,-79.40016405,1022.65,-8.13
29,198369102,True,39.0413865,-79.4002511,1020.74,-9.22
30,198369102,True,39.04149065,-79.40027285,1018.83,-9.25
31,198369102,True,39.0415948,-79.4002946,1017.14,-8.20
32,198369102,True,39.04169895,-79.40031635,1015.57,-7.62
33,198369102,True,39.0418031,-79.4003381,1013.84,-8.39
34,198369102,True,39.04188078,-79.40035982,1012.28,-10.01
35,198369102,True,39.04195845,-79.40038155,1010.72,-10.01
36,198369102,True,39.04203613,-79.40040328,1009.19,-9.82
37,198369102,True,39.0421138,-79.400425,1007.85,-8.62
38,198369102,True,39.04221435,-79.40048025,1006.50,-6.34
39,198369102,True,39.0423149,-79.4005355,1005.28,-5.73
0,198369103,True,39.0365238,-79.390433,1133.41,0.00
1,198369103,True,39.03656162,-79.39036075,1132.43,-7.42
2,198369103,True,39.03659945,-79.3902885,1131.39,-7.87
3,198369103,True,39.03663727,-79.39021625,1130.31,-8.17
4,198369103,True,39.0366751,-79.390144,1129.20,-8.39
5,198369103,True,39.0367387,-79.3900772,1127.79,-8.78
6,198369103,True,39.0368023,-79.3900104,1126.59,-7.49
7,198369103,True,39.0369322,-79.3899747,1125.13,-5.65
8,198369103,True,39.0370583,-79.3900097,1122.70,-9.62
9,198369103,True,39.03712447,-79.39011385,1120.30,-11.67
10,198369103,True,39.03719065,-79.390218,1117.78,-12.23
11,198369103,True,39.03725683,-79.39032215,1115.44,-11.38
12,198369103,True,39.037323,-79.3904263,1113.10,-11.38
13,198369103,True,39.03738185,-79.39057392,1110.95,-8.53
14,198369103,True,39.0374407,-79.39072155,1108.84,-8.38
15,198369103,True,39.03749955,-79.39086918,1106.87,-7.83
16,198369103,True,39.0375584,-79.3910168,1104.82,-8.14
17,198369103,True,39.03761558,-79.39110773,1103.15,-9.38
18,198369103,True,39.03767275,-79.39119865,1101.49,-9.33
19,198369103,True,39.03772993,-79.39128958,1099.95,-8.67
20,198369103,True,39.0377871,-79.3913805,1098.46,-8.39
21,198369103,True,39.03783418,-79.39149305,1096.94,-7.84
22,198369103,True,39.03788125,-79.3916056,1095.47,-7.58
23,198369103,True,39.03792832,-79.39171815,1093.92,-7.99
24,198369103,True,39.0379754,-79.3918307,1092.43,-7.69
25,198369103,True,39.03799894,-79.39191511,1091.47,-7.06
26,198369103,True,39.03802248,-79.39199952,1090.61,-6.34
27,198369103,True,39.03804601,-79.39208394,1089.89,-5.31
28,198369103,True,39.03806955,-79.39216835,1089.24,-4.80
29,198369103,True,39.03809309,-79.39225276,1088.61,-4.65
30,198369103,True,39.03811663,-79.39233717,1087.91,-5.16
31,198369103,True,39.03814016,-79.39242159,1087.27,-4.72
32,198369103,True,39.0381637,-79.392506,1086.63,-4.72
33,198369103,True,39.03818891,-79.39259257,1085.87,-5.44
34,198369103,True,39.03821412,-79.39267915,1084.95,-6.57
35,198369103,True,39.03823934,-79.39276573,1084.23,-5.15
36,198369103,True,39.03826455,-79.3928523,1083.59,-4.58
37,198369103,True,39.03828976,-79.39293887,1082.80,-5.65
38,198369103,True,39.03831498,-79.39302545,1081.79,-7.21
39,198369103,True,39.03834019,-79.39311203,1081.16,-4.51
40,198369103,True,39.0383654,-79.3931986,1080.53,-4.51
41,198369103,True,39.03839903,-79.3933198,1079.25,-6.57
42,198369103,True,39.03843265,-79.393441,1078.25,-5.14
43,198369103,True,39.03846628,-79.3935622,1077.22,-5.29
44,198369103,True,39.0384999,-79.3936834,1076.48,-3.81
45,198369103,True,39.03854529,-79.39375916,1075.90,-4.01
46,198369103,True,39.03859067,-79.39383492,1075.20,-4.84
47,198369103,True,39.03863606,-79.39391069,1074.53,-4.63
48,198369103,True,39.03868145,-79.39398645,1073.69,-5.80
49,198369103,True,39.03872684,-79.39406221,1073.03,-4.57
50,198369103,True,39.03877223,-79.39413798,1072.24,-5.46
51,198369103,True,39.03881761,-79.39421374,1071.82,-2.91
52,198369103,True,39.038863,-79.3942895,1071.03,-5.46
53,198369103,True,39.03893025,-79.39439773,1070.38,-3.11
54,198369103,True,39.0389975,-79.39450595,1069.40,-4.68
55,198369103,True,39.03906475,-79.39461418,1068.36,-4.97
56,198369103,True,39.039132,-79.3947224,1067.50,-4.11
57,198369103,True,39.03919925,-79.39483062,1066.71,-3.78
58,198369103,True,39.0392665,-79.39493885,1065.79,-4.39
59,198369103,True,39.03933375,-79.39504708,1064.97,-3.92
60,198369103,True,39.039401,-79.3951553,1064.16,-3.87
61,198369103,True,39.03946735,-79.39525041,1063.28,-4.56
62,198369103,True,39.0395337,-79.39534552,1062.11,-6.05
63,198369103,True,39.03960005,-79.39544064,1061.40,-3.68
64,198369103,True,39.0396664,-79.39553575,1060.78,-3.21
65,198369103,True,39.03973275,-79.39563086,1059.75,-5.33
66,198369103,True,39.0397991,-79.39572598,1058.60,-5.95
67,198369103,True,39.03986545,-79.39582109,1057.65,-4.92
68,198369103,True,39.0399318,-79.3959162,1056.66,-5.12
69,198369103,True,39.039988,-79.39600022,1056.05,-3.64
70,198369103,True,39.0400442,-79.39608425,1055.34,-4.24
71,198369103,True,39.0401004,-79.39616828,1054.11,-7.32
72,198369103,True,39.0401566,-79.3962523,1052.68,-8.49
73,198369103,True,39.04024005,-79.39636765,1051.09,-6.66
74,198369103,True,39.0403235,-79.396483,1049.53,-6.54
75,198369103,True,39.04040695,-79.39659835,1047.61,-8.03
76,198369103,True,39.0404904,-79.3967137,1045.55,-8.60
77,198369103,True,39.04057427,-79.3968206,1043.28,-9.81
78,198369103,True,39.04065815,-79.3969275,1041.27,-8.71
79,198369103,True,39.04074203,-79.3970344,1039.22,-8.88
80,198369103,True,39.0408259,-79.3971413,1036.76,-10.62
81,198369103,True,39.04090482,-79.39724914,1034.11,-11.70
82,198369103,True,39.04098375,-79.39735698,1031.53,-11.40
83,198369103,True,39.04106268,-79.39746481,1029.18,-10.41
84,198369103,True,39.0411416,-79.39757265,1027.32,-8.27
85,198369103,True,39.04122052,-79.39768049,1025.88,-6.42
86,198369103,True,39.04129945,-79.39778832,1024.59,-5.76
87,198369103,True,39.04137837,-79.39789616,1023.21,-6.16
88,198369103,True,39.0414573,-79.398004,1021.78,-6.38
0,198369105,True,39.0330467,-79.3926143,1271.88,0.00
1,198369105,True,39.0331622,-79.3925479,1270.47,-5.72
2,198369105,True,39.03323427,-79.39250368,1269.47,-6.43
3,198369105,True,39.03330635,-79.39245945,1268.38,-7.00
4,198369105,True,39.03337843,-79.39241522,1267.16,-7.82
5,198369105,True,39.0334505,-79.392371,1265.82,-8.58
6,198369105,True,39.0335623,-79.3922995,1263.30,-10.29
7,198369105,True,39.03366545,-79.39224935,1260.38,-13.40
8,198369105,True,39.0337686,-79.3921992,1257.39,-13.71
9,198369105,True,39.03384012,-79.39220487,1255.55,-13.00
10,198369105,True,39.03391165,-79.39221055,1253.27,-15.97
11,198369105,True,39.03398318,-79.39221622,1250.83,-17.02
12,198369105,True,39.0340547,-79.3922219,1248.35,-17.29
13,198369105,True,39.0341599,-79.39222885,1244.76,-17.04
14,198369105,True,39.0342651,-79.3922358,1241.20,-16.91
15,198369105,True,39.03433205,-79.3922529,1239.17,-14.97
16,198369105,True,39.034399,-79.39227,1237.25,-14.20
17,198369105,True,39.03450015,-79.39224715,1233.84,-16.63
18,198369105,True,39.0346013,-79.3922243,1230.22,-17.59
