trail_id,for_display,lat,lon,elevation,slope,index
93358281,True,44.55204180,-92.72950680,306.19,0.00,0
93358281,True,44.55212935,-92.72955360,304.78,-7.72,1
93358281,True,44.55221690,-92.72960040,303.25,-8.37,2
93358281,True,44.55232530,-92.72968235,301.25,-8.33,3
93358281,True,44.55243370,-92.72976430,299.13,-8.77,4
93358281,True,44.55249625,-92.72980525,297.89,-9.19,5
93358281,True,44.55255880,-92.72984620,296.49,-10.36,6
93358281,True,44.55262135,-92.72988715,295.33,-8.62,7
93358281,True,44.55268390,-92.72992810,294.09,-9.15,8
93358281,True,44.55281460,-92.72997495,291.50,-9.81,9
93358281,True,44.55294530,-92.73002180,288.76,-10.35,10
93358281,True,44.55301270,-92.73003643,287.08,-12.45,11
93358281,True,44.55308010,-92.73005105,285.28,-13.36,12
93358281,True,44.55314750,-92.73006567,284.00,-9.58,13
93358281,True,44.55321490,-92.73008030,283.04,-7.25,14
93358281,True,44.55327815,-92.73004323,282.23,-6.04,15
93358281,True,44.55334140,-92.73000615,281.89,-2.59,16
93358281,True,44.55340465,-92.72996908,281.32,-4.25,17
93358281,True,44.55346790,-92.72993200,280.82,-3.76,18
93358281,True,44.55354990,-92.72985008,279.90,-4.67,19
93358281,True,44.55363190,-92.72976815,279.09,-4.16,20
93358281,True,44.55371390,-92.72968623,278.43,-3.38,21
93358281,True,44.55379590,-92.72960430,277.75,-3.49,22
93358281,True,44.55385082,-92.72952432,277.05,-4.52,23
93358281,True,44.55390575,-92.72944435,276.57,-3.13,24
93358281,True,44.55396067,-92.72936437,276.23,-2.23,25
93358281,True,44.55401560,-92.72928440,275.75,-3.10,26
93358281,True,44.55407050,-92.72916152,274.66,-5.43,27
93358281,True,44.55412540,-92.72903865,272.51,-10.57,28
93358281,True,44.55418030,-92.72891578,271.30,-6.03,29
93358281,True,44.55423520,-92.72879290,270.04,-6.23,30
93358281,True,44.55426925,-92.72866610,268.30,-9.22,31
93358281,True,44.55430330,-92.72853930,267.03,-6.76,32
93358281,True,44.55433735,-92.72841250,265.74,-6.81,33
93358281,True,44.55437140,-92.72828570,264.53,-6.44,34
