trail_id,for_display,lat,lon,elevation,slope,index
181663860,True,42.49517410,-88.19248100,290.48,0.00,0
181663860,True,42.49518114,-88.19235393,290.50,0.11,1
181663860,True,42.49518819,-88.19222686,288.84,-9.05,2
181663860,True,42.49519523,-88.19209979,286.63,-11.93,3
181663860,True,42.49520227,-88.19197272,284.31,-12.53,4
181663860,True,42.49520932,-88.19184566,281.09,-17.12,5
181663860,True,42.49521636,-88.19171859,277.47,-19.10,6
181663860,True,42.49522341,-88.19159152,273.97,-18.54,7
181663860,True,42.49523045,-88.19146445,270.72,-17.27,8
181663860,True,42.49523749,-88.19133738,267.56,-16.86,9
181663860,True,42.49524454,-88.19121031,264.70,-15.31,10
181663860,True,42.49525158,-88.19108324,262.06,-14.14,11
181663860,True,42.49525863,-88.19095618,259.59,-13.33,12
181663860,True,42.49526567,-88.19082911,256.85,-14.70,13
181663860,True,42.49527271,-88.19070204,253.64,-17.08,14
181663860,True,42.49527976,-88.19057497,250.83,-15.07,15
181663860,True,42.49528680,-88.19044790,248.43,-12.93,16
181663860,True,42.49529384,-88.19032083,246.46,-10.67,17
181663860,True,42.49530089,-88.19019376,244.52,-10.50,18
181663860,True,42.49530793,-88.19006669,242.52,-10.83,19
181663860,True,42.49531497,-88.18993963,240.94,-8.59,20
181663860,True,42.49532202,-88.18981256,239.69,-6.86,21
181663860,True,42.49532906,-88.18968549,238.47,-6.66,22
181663860,True,42.49533611,-88.18955842,237.36,-6.04,23
181663860,True,42.49534315,-88.18943135,236.61,-4.14,24
181663860,True,42.49535019,-88.18930428,236.05,-3.02,25
181663860,True,42.49535724,-88.18917721,235.75,-1.66,26
181663860,True,42.49536428,-88.18905014,234.99,-4.20,27
181663860,True,42.49537132,-88.18892308,234.17,-4.46,28
181663860,True,42.49537837,-88.18879601,233.09,-5.92,29
181663860,True,42.49538541,-88.18866894,232.43,-3.62,30
181663860,True,42.49539246,-88.18854187,232.07,-1.96,31
181663860,True,42.49539950,-88.18841480,231.83,-1.30,32
181663861,True,42.49528090,-88.19255610,289.98,0.00,0
181663861,True,42.49532540,-88.19244210,290.39,2.20,1
181663861,True,42.49536990,-88.19232810,289.68,-3.84,2
181663861,True,42.49541440,-88.19221410,287.15,-13.44,3
181663861,True,42.49545890,-88.19210010,283.98,-16.69,4
181663861,True,42.49546483,-88.19198979,281.38,-16.04,5
181663861,True,42.49547076,-88.19187949,278.48,-17.73,6
181663861,True,42.49547669,-88.19176918,274.90,-21.52,7
181663861,True,42.49548263,-88.19165888,271.74,-19.22,8
181663861,True,42.49548856,-88.19154857,270.15,-9.97,9
181663861,True,42.49549449,-88.19143826,268.19,-12.19,10
181663861,True,42.49550042,-88.19132796,266.20,-12.38,11
181663861,True,42.49550635,-88.19121765,264.59,-10.08,12
181663861,True,42.49551228,-88.19110734,262.55,-12.64,13
181663861,True,42.49551821,-88.19099704,259.94,-16.06,14
181663861,True,42.49552414,-88.19088673,258.45,-9.37,15
181663861,True,42.49553007,-88.19077642,256.27,-13.49,16
181663861,True,42.49553601,-88.19066612,253.58,-16.55,17
181663861,True,42.49554194,-88.19055581,251.71,-11.61,18
181663861,True,42.49554787,-88.19044551,249.79,-12.01,19
181663861,True,42.49555380,-88.19033520,247.89,-11.84,20
181663861,True,42.49555973,-88.19022489,247.22,-4.22,21
181663861,True,42.49556566,-88.19011459,248.08,5.41,22
181663861,True,42.49557159,-88.19000428,247.15,-5.85,23
181663861,True,42.49557752,-88.18989397,245.44,-10.66,24
181663861,True,42.49558346,-88.18978367,243.88,-9.74,25
181663861,True,42.49558939,-88.18967336,242.80,-6.79,26
181663861,True,42.49559532,-88.18956306,242.23,-3.61,27
181663861,True,42.49560125,-88.18945275,241.32,-5.73,28
181663861,True,42.49560718,-88.18934244,240.05,-7.95,29
181663861,True,42.49561311,-88.18923214,238.61,-9.03,30
181663861,True,42.49561904,-88.18912183,236.97,-10.30,31
181663861,True,42.49562497,-88.18901152,235.72,-7.83,32
181663861,True,42.49563091,-88.18890122,234.94,-4.88,33
181663861,True,42.49563684,-88.18879091,233.95,-6.26,34
181663861,True,42.49564277,-88.18868061,233.15,-5.06,35
181663861,True,42.49564870,-88.18857030,232.68,-2.94,36
798496302,True,42.49721350,-88.19146610,277.32,0.00,0
798496302,True,42.49729788,-88.19145328,277.07,-1.55,1
798496302,True,42.49738225,-88.19144045,276.74,-2.01,2
798496302,True,42.49746663,-88.19142763,276.85,0.69,3
798496302,True,42.49755100,-88.19141480,276.95,0.59,4
798496302,True,42.49763360,-88.19155020,276.62,-1.29,5
798496302,True,42.49755440,-88.19167160,275.40,-5.27,6
798496302,True,42.49746490,-88.19178840,274.32,-4.44,7
798496302,True,42.49736160,-88.19187245,273.78,-2.31,8
798496302,True,42.49725830,-88.19195650,272.57,-5.16,9
798496302,True,42.49713090,-88.19198920,271.24,-5.28,10
798496302,True,42.49700350,-88.19202190,270.56,-2.71,11
798496302,True,42.49688125,-88.19197985,269.88,-2.79,12
798496302,True,42.49675900,-88.19193780,269.08,-3.26,13
798496302,True,42.49668927,-88.19188643,268.76,-2.05,14
798496302,True,42.49661955,-88.19183505,268.17,-3.83,15
798496302,True,42.49654983,-88.19178368,268.37,1.31,16
798496302,True,42.49648010,-88.19173230,268.53,1.02,17
798496302,True,42.49643700,-88.19165341,268.55,0.17,18
798496302,True,42.49639390,-88.19157452,268.42,-0.99,19
798496302,True,42.49635080,-88.19149564,268.47,0.38,20
798496302,True,42.49630770,-88.19141675,268.14,-2.36,21
798496302,True,42.49626460,-88.19133786,267.71,-3.01,22
798496302,True,42.49622150,-88.19125898,266.64,-7.63,23
798496302,True,42.49617840,-88.19118009,265.71,-6.58,24
798496302,True,42.49613530,-88.19110120,264.75,-6.80,25
798496303,True,42.49532320,-88.19272700,289.08,0.00,0
798496303,True,42.49539980,-88.19272000,286.80,-14.91,1
798496303,True,42.49547640,-88.19271300,284.89,-12.65,2
798496303,True,42.49555300,-88.19270600,283.64,-8.30,3
798496303,True,42.49562960,-88.19269900,283.02,-4.15,4
798496303,True,42.49569073,-88.19259393,281.93,-5.69,5
798496303,True,42.49575185,-88.19248885,280.74,-6.17,6
798496303,True,42.49581298,-88.19238377,279.25,-7.78,7
798496303,True,42.49587410,-88.19227870,277.81,-7.45,8
798496303,True,42.49593608,-88.19215495,276.43,-6.42,9
798496303,True,42.49599805,-88.19203120,273.92,-11.59,10
798496303,True,42.49606002,-88.19190745,271.37,-11.74,11
798496303,True,42.49612200,-88.19178370,270.11,-5.84,12
798496303,True,42.49612533,-88.19161308,268.50,-6.57,13
798496303,True,42.49612865,-88.19144245,267.00,-6.11,14
798496303,True,42.49613197,-88.19127183,265.97,-4.20,15
798496303,True,42.49613530,-88.19110120,264.75,-5.01,16
798496303,True,42.49613715,-88.19100563,263.84,-6.62,17
798496303,True,42.49613900,-88.19091005,262.75,-7.89,18
798496303,True,42.49614085,-88.19081447,261.79,-7.03,19
798496303,True,42.49614270,-88.19071890,261.05,-5.39,20
798496303,True,42.49613689,-88.19061032,260.26,-5.06,21
798496303,True,42.49613107,-88.19050175,259.18,-6.87,22
798496303,True,42.49612526,-88.19039317,258.37,-5.19,23
798496303,True,42.49611945,-88.19028460,257.45,-5.86,24
798496303,True,42.49611364,-88.19017602,256.70,-4.84,25
798496303,True,42.49610782,-88.19006745,255.56,-7.25,26
798496303,True,42.49610201,-88.18995887,254.09,-9.39,27
798496303,True,42.49609620,-88.18985030,252.66,-9.09,28
798496303,True,42.49609039,-88.18974172,251.26,-8.89,29
798496303,True,42.49608457,-88.18963315,249.86,-8.96,30
798496303,True,42.49607876,-88.18952457,248.50,-8.62,31
798496303,True,42.49607295,-88.18941600,246.62,-11.92,32
798496303,True,42.49606714,-88.18930742,244.80,-11.50,33
798496303,True,42.49606132,-88.18919885,243.16,-10.40,34
798496303,True,42.49605551,-88.18909027,241.60,-9.92,35
798496303,True,42.49604970,-88.18898170,240.25,-8.62,36
798496303,True,42.49609360,-88.18885445,239.09,-5.78,37
798496303,True,42.49613750,-88.18872720,237.76,-6.56,38
798496303,True,42.49618140,-88.18859995,236.51,-6.17,39
798496303,True,42.49622530,-88.18847270,235.34,-5.85,40
798496303,True,42.49626317,-88.18833493,234.67,-3.16,41
798496303,True,42.49630105,-88.18819715,234.20,-2.23,42
798496303,True,42.49633893,-88.18805937,233.20,-4.74,43
798496303,True,42.49637680,-88.18792160,232.67,-2.50,44
798496304,True,42.49680030,-88.19146610,278.25,0.00,0
798496304,True,42.49673660,-88.19132600,278.22,-0.14,1
798496304,True,42.49667290,-88.19118590,277.98,-1.02,2
798496304,True,42.49665784,-88.19109542,277.45,-3.98,3
798496304,True,42.49664277,-88.19100495,276.02,-10.61,4
798496304,True,42.49662771,-88.19091447,274.68,-10.04,5
798496304,True,42.49661265,-88.19082400,274.26,-3.12,6
798496304,True,42.49659759,-88.19073352,273.37,-6.67,7
798496304,True,42.49658253,-88.19064305,271.76,-11.94,8
798496304,True,42.49656746,-88.19055257,269.89,-13.86,9
798496304,True,42.49655240,-88.19046210,268.09,-13.31,10
798496304,True,42.49654142,-88.19030332,265.02,-13.20,11
798496304,True,42.49653045,-88.19014454,262.09,-12.62,12
798496304,True,42.49651947,-88.18998576,258.95,-13.51,13
798496304,True,42.49650850,-88.18982698,255.70,-13.97,14
798496304,True,42.49649752,-88.18966819,252.50,-13.78,15
798496304,True,42.49648655,-88.18950941,249.76,-11.81,16
798496304,True,42.49647557,-88.18935063,247.83,-8.41,17
798496304,True,42.49646460,-88.18919185,245.67,-9.37,18
798496304,True,42.49645363,-88.18903307,243.65,-8.79,19
798496304,True,42.49644265,-88.18887429,241.16,-10.76,20
798496304,True,42.49643167,-88.18871551,238.87,-9.94,21
798496304,True,42.49642070,-88.18855672,236.64,-9.68,22
798496304,True,42.49640972,-88.18839794,235.13,-6.58,23
798496304,True,42.49639875,-88.18823916,234.36,-3.38,24
798496304,True,42.49638778,-88.18808038,233.30,-4.63,25
798496304,True,42.49637680,-88.18792160,232.67,-2.75,26
798496305,True,42.49694500,-88.19146610,277.74,0.00,0
798496305,True,42.49699490,-88.19130035,276.57,-4.55,1
798496305,True,42.49704480,-88.19113460,275.87,-2.70,2
798496305,True,42.49703565,-88.19103448,275.82,-0.35,3
798496305,True,42.49702651,-88.19093437,275.92,0.68,4
798496305,True,42.49701736,-88.19083425,275.69,-1.59,5
798496305,True,42.49700821,-88.19073414,274.35,-9.21,6
798496305,True,42.49699907,-88.19063402,272.46,-12.87,7
798496305,True,42.49698992,-88.19053391,270.87,-10.92,8
798496305,True,42.49698077,-88.19043379,269.30,-10.75,9
798496305,True,42.49697163,-88.19033368,267.51,-12.19,10
798496305,True,42.49696248,-88.19023356,265.69,-12.42,11
798496305,True,42.49695333,-88.19013344,263.94,-11.95,12
798496305,True,42.49694418,-88.19003333,262.10,-12.57,13
798496305,True,42.49693504,-88.18993321,259.90,-14.89,14
798496305,True,42.49692589,-88.18983310,257.98,-13.03,15
798496305,True,42.49691674,-88.18973298,256.19,-12.24,16
798496305,True,42.49690760,-88.18963287,254.25,-13.21,17
798496305,True,42.49689845,-88.18953275,252.37,-12.80,18
798496305,True,42.49688930,-88.18943263,250.79,-10.80,19
798496305,True,42.49688016,-88.18933252,249.20,-10.87,20
798496305,True,42.49687101,-88.18923240,247.39,-12.31,21
798496305,True,42.49686186,-88.18913229,245.60,-12.27,22
798496305,True,42.49685272,-88.18903217,244.09,-10.33,23
798496305,True,42.49684357,-88.18893206,243.04,-7.20,24
798496305,True,42.49683442,-88.18883194,242.18,-5.91,25
798496305,True,42.49682528,-88.18873182,240.71,-10.10,26
798496305,True,42.49681613,-88.18863171,238.96,-11.94,27
798496305,True,42.49680698,-88.18853159,237.58,-9.46,28
798496305,True,42.49679783,-88.18843148,236.15,-9.86,29
798496305,True,42.49678869,-88.18833136,235.00,-7.89,30
798496305,True,42.49677954,-88.18823125,233.96,-7.19,31
798496305,True,42.49677039,-88.18813113,233.35,-4.20,32
798496305,True,42.49676125,-88.18803102,233.10,-1.73,33
798496305,True,42.49675210,-88.18793090,232.81,-1.99,34
798496306,True,42.49708610,-88.19156890,277.43,0.00,0
798496306,True,42.49712096,-88.19148484,277.37,-0.47,1
798496306,True,42.49715582,-88.19140077,276.85,-3.77,2
798496306,True,42.49719069,-88.19131671,276.07,-5.61,3
798496306,True,42.49722555,-88.19123265,275.37,-5.08,4
798496306,True,42.49726041,-88.19114859,275.06,-2.23,5
798496306,True,42.49729527,-88.19106453,275.11,0.39,6
798496306,True,42.49733014,-88.19098046,274.95,-1.15,7
798496306,True,42.49736500,-88.19089640,274.31,-4.65,8
798496306,True,42.49736694,-88.19072624,272.65,-6.78,9
798496306,True,42.49736888,-88.19055607,269.68,-12.02,10
798496306,True,42.49737081,-88.19038591,266.51,-12.79,11
798496306,True,42.49737275,-88.19021575,264.30,-9.01,12
798496306,True,42.49737469,-88.19004559,261.65,-10.78,13
798496306,True,42.49737663,-88.18987542,258.08,-14.34,14
798496306,True,42.49737856,-88.18970526,254.91,-12.80,15
798496306,True,42.49738050,-88.18953510,252.02,-11.70,16
798496306,True,42.49738244,-88.18936494,250.27,-7.14,17
798496306,True,42.49738438,-88.18919478,247.99,-9.28,18
798496306,True,42.49738631,-88.18902461,245.22,-11.23,19
798496306,True,42.49738825,-88.18885445,242.47,-11.15,20
798496306,True,42.49739019,-88.18868429,240.12,-9.57,21
