,trail_id,for_display,lat,lon,elevation,slope
0,48452711,True,35.9524658,-82.5070797,1235.99,0.00
1,48452711,True,35.95238763,-82.50714408,1235.89,-0.55
2,48452711,True,35.95230945,-82.50720845,1235.74,-0.80
3,48452711,True,35.95223128,-82.50727283,1235.58,-0.89
4,48452711,True,35.9521531,-82.5073372,1236.60,5.56
5,48452711,True,35.95205756,-82.50739889,1238.38,8.44
6,48452711,True,35.95196203,-82.50746057,1240.80,11.46
7,48452711,True,35.95186649,-82.50752226,1243.97,14.78
8,48452711,True,35.95177095,-82.50758395,1247.47,16.27
9,48452711,True,35.95167541,-82.50764564,1251.24,17.48
10,48452711,True,35.95157987,-82.50770732,1255.02,17.48
11,48452711,True,35.95148434,-82.50776901,1258.79,17.48
12,48452711,True,35.9513888,-82.5078307,1262.40,16.75
13,48452711,True,35.95134311,-82.50790047,1265.10,18.46
14,48452711,True,35.95129742,-82.50797025,1267.71,17.93
15,48452711,True,35.95125174,-82.50804002,1270.34,17.98
16,48452711,True,35.95120605,-82.5081098,1273.00,18.23
17,48452711,True,35.95116036,-82.50817957,1275.71,18.57
18,48452711,True,35.95111467,-82.50824935,1278.38,18.27
19,48452711,True,35.95106899,-82.50831912,1280.73,16.23
20,48452711,True,35.9510233,-82.5083889,1283.22,17.17
21,48452711,True,35.95095835,-82.50848808,1286.57,16.25
22,48452711,True,35.9508934,-82.50858725,1289.62,14.86
23,48452711,True,35.95082845,-82.50868643,1292.81,15.55
24,48452711,True,35.9507635,-82.5087856,1295.88,14.97
25,48452711,True,35.950661,-82.5087265,1298.03,9.71
26,48452711,True,35.9505585,-82.5086674,1300.54,11.28
27,48452711,True,35.950456,-82.5086083,1303.64,13.82
28,48452711,True,35.9503535,-82.5085492,1304.36,3.27
0,48452713,True,35.9502881,-82.5057333,1275.50,0.00
1,48452713,True,35.95038623,-82.50576745,1272.81,-13.35
2,48452713,True,35.95048435,-82.5058016,1270.62,-10.95
3,48452713,True,35.95058247,-82.50583575,1268.44,-10.89
4,48452713,True,35.9506806,-82.5058699,1266.60,-9.21
5,48452713,True,35.95077145,-82.50589335,1265.19,-7.76
6,48452713,True,35.9508623,-82.5059168,1263.60,-8.79
7,48452713,True,35.95095315,-82.50594025,1262.13,-8.11
8,48452713,True,35.951044,-82.5059637,1260.87,-6.92
9,48452713,True,35.95112401,-82.50602274,1259.26,-8.83
10,48452713,True,35.95120403,-82.50608177,1257.75,-8.32
11,48452713,True,35.95128404,-82.50614081,1256.24,-8.28
12,48452713,True,35.95136405,-82.50619985,1254.78,-8.04
13,48452713,True,35.95144406,-82.50625889,1253.23,-8.50
14,48452713,True,35.95152408,-82.50631792,1251.75,-8.14
15,48452713,True,35.95160409,-82.50637696,1250.26,-8.14
16,48452713,True,35.9516841,-82.506436,1248.78,-8.16
17,48452713,True,35.95178181,-82.50651646,1246.92,-8.08
18,48452713,True,35.95187952,-82.50659692,1245.19,-7.56
19,48452713,True,35.95197724,-82.50667739,1243.86,-5.80
20,48452713,True,35.95207495,-82.50675785,1242.66,-5.25
21,48452713,True,35.95217266,-82.50683831,1241.20,-6.40
22,48452713,True,35.95227037,-82.50691878,1239.67,-6.65
23,48452713,True,35.95236809,-82.50699924,1237.73,-8.48
24,48452713,True,35.9524658,-82.5070797,1235.99,-7.59
25,48452713,True,35.95252225,-82.50712932,1235.01,-7.25
26,48452713,True,35.9525787,-82.50717895,1234.09,-6.83
27,48452713,True,35.95263515,-82.50722857,1233.13,-7.08
28,48452713,True,35.9526916,-82.5072782,1232.00,-8.35
29,48452713,True,35.95274805,-82.50732783,1230.90,-8.14
30,48452713,True,35.9528045,-82.50737745,1229.89,-7.44
