name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Big Thunder,466265355,False,18.4,0,18.4,87.2,399.2
Lodge,466265356,False,16.4,0,16.4,85.3,396.4
Broadway,466265357,False,15.8,0,15.8,83.5,404.9
Halfway,466265358,False,13.0,0,13.0,12.1,80.4
Shelter,466265359,False,12.2,0,12.2,44.8,251.1
Cut Throat,466265360,False,4.8,0,4.8,2.9,71.2
Large Terrain Park,466265361,False,8.8,0,8.8,23.0,175.7
East Past,466265362,False,12.1,0,12.1,23.4,136.2
Northwest Pass,466265363,False,5.8,0,5.8,7.5,122.8
Mohawk,466265364,False,9.2,0,9.2,22.1,179.2
Large Terrain Park_0,466265365,False,11.9,0,11.9,21.3,151.3
Alpine,466265366,False,8.6,0,8.6,32.1,285.0
Small Terrain Park,466265367,False,7.5,0,7.5,11.4,137.2
EZ Does It,466265368,False,9.3,0,9.3,15.8,259.1
Timber Trail,466265369,False,9.8,0,9.8,53.2,420.1
Timber Gulch,466265370,False,9.3,0,9.3,25.0,197.9
First Adventure,466265371,False,15.3,0,15.3,51.6,383.6
Valley View,466265372,False,11.1,0,11.1,54.2,379.1
Snowdrift Trail,466265373,False,13.2,0,13.2,55.5,367.5
First Tracks,466265375,False,6.8,0,6.8,6.0,54.3
E-Z Pass,867162848,False,4.4,0,4.4,5.0,81.9
Soft Landing,867162853,False,9.7,0,9.7,10.4,69.6
Snow Bank,867162857,False,12.6,0,12.6,19.5,112.8
