name,id
Little Nell,17117552
Ruthie's,17117679
Silver Queen,17117689
Lift 1A,17118146
Gents Ridge,130102106
Bell Mountain,130102107
F.I.S.,130102108
Dipsy Doodle,423507037
Buckhorn,423507038
Cutoff,423507039
Midnight,423507040
Summit,423507041
Midway Road,423507042
North American,423507043
Pumphouse Hill,423507044
Spar Gulch,423507045
Midway Road,423510561
Percy,423510562
Gretl's,423510563
Reds Run,423510565
FIS Trail,423510566
FIS Trail,423510567
FIS Trail,423510568
Ruthie's Run,423510569
North American,423510570
Tourtelotte Park,423510571
Copper,423512821
Copper Bowl,423512822
1 &amp; 2 Leaf,423512824
Lazy Boy,423512825
Silver Bell,423523528
Pussyfoot,423523529
Lud's Lane,423526651
Walsh's,423526654
North Star,423526657
Hyrup's,423526660
Kristi,423526663
Gent's Ridge,423526666
Glade #1,423526671
Glade #2,423526673
Jackpot,423526675
Kleenex Cornner,423526680
Blazing Star,423526681
Silver Dip,423526682
Deer Park,423526683
Blondie's,423526684
Back of Bell Cutt-off,423526685
Face of Bell Cut-off,423526686
Sunrise/Sunset,423526687
Tortilla Flats,423526688
Hanging Tree,423526689
Seibert's,423529140
Knowlton's,423529141
Back of Bell #1,423529142
Back of Bell #2,423529143
Keith Glen,423529144
Ridge of Bell,423529145
Nose of Bell,423529146
Face of Bell,423529147
Bell Meadow,423529148
Shoulder of Bell,423529149
Easy Chair,423529447
Bellissimo,423683133
Upper Roch Run,423694072
Summer Road,423694075
Magnifico Road,423694091
Tower Ten Road,423694097
Strawpile,423694105
E. 5th Ave,423694108
Schuss Gully,423694111
Norway,423694115
West 5th Ave,423694118
Gene Reardon's Run,423694123
Roch Run,423694127
International,423694130
Schiller Road,423694133
Traynor Ridge,423694140
Traynors,423694144
Aztec,423698144
Spring Pitch,423698145
Lower Roch Run,423698146
Corkscrew Gully,423698147
Corkscrew,423698149
Super 8,423698150
Magnifico,423698151
Lazy8 Gully,423698153
FIS Slalom Hill,423698154
Franklin Dump,423698155
Normandy,423698157
Silver Rush,423698158
Silver Queen,423698159
1A Lift Line,423700003
Lower Corkscrew,423700004
Upper Little Nell,423700005
Lower Little Nell,423700006
Lower Little Nell,423700007
Lower Little Nell,423700008
Bear Paw,423700009
S1,423700010
Short Snort,423700011
Zaugg Dump,423700012
Perry's Prowl,423700013
Last Dollar,423700014
Glade #3,423701391
Silver Queen Dumps,423701392
Bingo Glades,423701393
Cone 1,423966020
Cone 2,423966021
Rayburn's,423966022
Bonnie Bell Dump,423966023
Wiggly Woods,423966024
Gent's Ridge,423966025
Ajax Express,451945806
