name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Beaver's Powder,317588776,False,29.4,0,29.4,207.5,577.1
Blind Bull,317588777,False,14.5,0,14.5,97.6,680.6
Bypass,317588778,False,11.6,0,11.6,37.2,434.7
Canyon View,317588779,False,29.1,0,29.1,215.2,850.8
Cotton Tail,317588780,False,15.1,0,15.1,114.8,810.4
D-Street,317588781,False,24.0,0,24.0,162.7,668.0
Easy Street,317588782,False,13.5,0,13.5,34.8,324.0
Ego Trip,317588783,False,26.9,0,26.9,85.8,212.1
Fine Wine,317588784,False,29.5,0,29.5,185.4,1077.3
Gentle Ben,317588785,False,21.9,0,21.9,252.8,1703.8
Goat Trail,317588786,False,16.1,0,16.1,49.5,428.7
Grand Canyon,317588787,False,19.5,0,19.5,100.0,410.5
Grew's Grove,317588788,False,26.3,0,26.3,113.3,358.7
Harry's Hollow,317588789,False,29.6,0,29.6,182.9,481.7
Jump Hill,317588790,False,19.7,0,19.7,114.8,530.0
Little Beaver,317588791,False,17.3,0,17.3,66.3,261.7
Little Beaver_0,317588792,False,21.6,0,21.6,114.8,589.9
Lone Pine,317588793,False,25.2,0,25.2,212.0,965.8
Long Hollow Ridge,317588794,False,15.0,0,15.0,84.1,895.4
Lower Bypass,317588795,False,14.3,0,14.3,33.8,217.1
Lower Dead Horse,317588796,False,18.1,0,18.1,154.0,938.6
Lower Harry's Hollow,317588797,False,22.9,0,22.9,129.1,384.9
Lower Red Tail,317588798,False,15.7,0,15.7,90.3,495.4
Lue's,317588799,False,31.9,0,31.9,388.8,1079.2
Nasty,317588800,False,21.0,0,21.0,57.7,170.2
North Face,317588801,False,34.6,0,34.6,272.6,723.2
North Fields,317588802,False,33.1,0,33.1,236.0,627.3
Old Thunder,317588803,False,27.5,0,27.5,127.5,390.4
Race Course,317588804,False,22.4,0,22.4,88.1,334.8
Robinson's Rim,317588805,False,29.2,0,29.2,118.6,314.8
Rock Garden,317588806,False,21.2,0,21.2,56.5,181.3
School Hill,317588808,False,28.0,0,28.0,209.1,547.8
Shady,317588809,False,20.8,0,20.8,123.2,481.0
South Face,317588810,False,33.0,0,33.0,266.6,721.8
Stan's Bonanza,317588811,False,29.0,0,29.0,343.1,865.0
Sunshine,317588812,False,17.4,0,17.4,169.8,891.9
T.J.'s Way,317588814,False,27.4,0,27.4,330.2,1244.2
Ted's Rock,317588815,False,23.2,0,23.2,332.4,1865.1
Teddy's Frolic,317588816,False,27.8,0,27.8,334.9,1159.0
The Ridge,317588817,False,21.5,0,21.5,211.6,710.2
The Stump,317588818,False,26.3,0,26.3,238.4,827.2
Upper Bypass,317588819,False,16.7,0,16.7,30.9,119.2
Upper Red Tail,317588820,False,25.6,0,25.6,233.9,837.8
Waterfall,317588821,False,19.9,0,19.9,39.6,190.8
 _1,1030460215,False,13.3,0,13.3,64.0,408.7
 _2,1030460245,False,18.4,0,18.4,24.5,229.9
