name,id
T-Bar,11456069
Summit Triple,242107173
Novice Double,242107174
Lower Androscogin,262778065
Upper Rapid,262778066
Webb,262778067
Upper Androscogin,262778068
Lower Sunday,262778069
Rangeley,262778070
Ellis,262778071
Piscataquis,262778072
Penobscot,262778073
Swift,262778074
Dead Cambride,262778075
Kennebec,262778076
Lower Rapid,262778077
Aroostook,262778078
Magalloway,262778079
Upper sunday,262778080
Allagash,262778255
St John,773909729
Lower Sunday,773909730
Moxie,773909731
Saco,773909732
Bagaduce,773909733
Wisserunsett,773909734
,773909735
,773909736
,863792947
,863826875
,863826876
