name,id
Mid Mountain,43031389
Vista Quad,43746400
Wilderness,44136246
Snowflake,44136482
Timberline Quad,44136506
Upper Villager,235536226
Twice as Nice Woods,235536227
Lost Boyz,235536228
Sure Shot,235536229
Wood's Hole,235536230
Lower Tattle Tale,235536231
Doug's Woods,235536232
Intro,235536233
Twice as Nice,235536234
Brandy Wine,235536235
Adam's Solitude,235536237
Spur,235536238
Showtime,235536239
Spur,235536240
Spellbinder,235536241
Timberline Run,235536242
Lower Brandy Wine,235536244
Upper Tattle Tale,235536245
Progression,235537174
Lower Foxy,235537175
Timberline Lane,235537176
Lower Bentley,235537177
Snowflake Bentley,235537178
Foxy,235537179
Butterscotch,235537180
Lower Villager,235537181
Beech Seal,235542434
Deer Run,235542435
Primer Loop,235542436
Bear Run,235542437
Enchanted Forest,235542438
Jungle Jib,235542439
Sprig O 'Pine,235542440
Spillway Exit,235542441
Five Corners,235560938
Glades,235560939
Bull Run,235560940
Moose Run,235560941
Cobrass Woods,235560942
Cobrass,235560943
Cobrass Run,235560944
Cobrass Lane,235560945
Devil's Playground,235560946
Preacher,235560947
Sherman's Pass,235560948
Mighty Mite,235562481
Hard Luck Lane,235562483
Mighty Mite,235562485
Spillway,235562488
Vista Glades,235562491
Hard Luck,235562493
Alta Vista,235562496
Spillway Lane,235562499
Upper Show Off,235562501
TNT,235562502
Lower Show Off,235562503
Vermont 200,235562504
Schuss,235562505
Lower Wilderness,235714524
Swing,235714525
Fanny Hill,235714526
Upper Crossover,235714527
Lower Crossover,235714528
Upper Fanny Hill,235714530
Work Road,235714532
Coyote,235714533
Mouse Hole,235714534
Cougar,235716881
Peggy Dow's,235716882
Sleepy Hollow,235716883
Abenaki Trail,235716884
Old Turnpike,235716885
Lower Fanny Hill,235716886
Wilderness Woods,235716887
Wilderness Liftline,235716888
Lower Turnpike,235716889
Bolton Outlaw,235716890
,235716891
Wilderness Woods,235716892
