name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
FIS,780730241,False,26.2,0,26.2,118.2,564.3
Super Bowl,780730242,False,23.3,0,23.3,122.7,592.9
Escape,780730243,False,12.6,0,12.6,38.7,364.4
Cold Springs,780730244,False,10.5,0,10.5,125.0,1499.8
Short Cut,780730245,False,14.4,0,14.4,31.5,187.5
Top Notch,780730246,False,11.1,0,11.1,41.7,296.8
Stein's Mambo,780730247,False,15.9,0,15.9,70.5,337.6
Mambo,780730248,False,16.6,0,16.6,72.2,378.1
The Meadows,780730249,False,22.7,0,22.7,114.2,511.0
Idiot's Delight,780730250,False,23.0,0,23.0,113.0,506.4
Boyne HOF Pass,780730251,False,8.3,0,8.3,10.8,302.2
Aurora,780730252,False,22.5,0,22.5,110.3,410.8
Victor,780730253,False,19.4,0,19.4,113.9,419.1
Hemlock,780730257,False,24.1,0,24.1,123.3,439.3
South McClouth,780730258,False,23.7,0,23.7,121.3,488.6
Center McClouth,780730259,False,23.2,0,23.2,128.8,542.0
North McClouth,780730260,False,23.0,0,23.0,120.0,502.9
North Boyne,780730262,False,20.6,0,20.6,131.0,652.8
Express,780730263,False,20.1,0,20.1,87.8,468.8
Easy Does it,780730266,False,16.9,0,16.9,30.4,147.5
Glade,780730267,False,14.8,1,14.8,26.0,137.6
Zipline,780730268,False,12.4,0,12.4,10.9,98.1
Pierson,780730269,False,13.9,0,13.9,38.8,239.9
Deer Run,780730270,False,10.1,0,10.1,52.6,598.4
Easy Street,780730271,False,6.4,0,6.4,12.5,146.9
Boyne Land,780730272,False,7.6,0,7.6,51.4,598.8
The Bowl,780730273,False,17.7,0,17.7,34.9,173.4
Nose Dive,780730274,False,24.5,0,24.5,70.9,249.6
Bobsled,780730275,False,11.3,0,11.3,18.2,193.1
Ramshead,780730276,False,15.3,0,15.3,96.9,575.1
Miller's Time,780730278,False,9.2,0,9.2,22.2,256.6
Griece's Way,780730279,False,12.2,0,12.2,120.5,1130.3
Campbell's Alley Park,780730280,False,11.3,0,11.3,36.6,265.2
Zippee's,780730281,False,16.7,0,16.7,113.7,894.6
Mr. Moll,780730282,False,14.2,0,14.2,113.6,767.6
To Disciple's Ridge,780730283,False,8.6,0,8.6,22.2,358.0
Black Diamond Rush,780730284,False,26.6,0,26.6,69.8,369.2
Devil's Dive,780730285,False,30.5,0,30.5,87.6,362.3
Shepherd's Glade,780730286,False,25.4,1,25.4,52.4,180.5
Ski/Border Cross Course,780730287,False,10.7,0,10.7,33.7,249.2
Kunkle's Cut,780730288,False,7.9,0,7.9,42.1,446.0
Audie's Alley,780730289,False,13.9,0,13.9,59.6,557.5
Hilda's Hideaway,780730290,False,9.1,0,9.1,94.2,1288.8
Hemingway,780730291,False,12.0,0,12.0,66.4,732.3
Te-Bowl,780730292,False,14.8,0,14.8,39.4,361.0
Ron's Run,780730293,False,12.3,0,12.3,12.7,85.1
Doc's Canal,780730294,False,22.2,0,22.2,26.7,102.3
Mrs. K's,780730295,False,10.7,0,10.7,28.0,213.3
Donna's Delight,780730296,False,12.4,0,12.4,12.6,129.7
Pritchard's Pass,780730297,False,11.7,0,11.7,14.0,91.6
William J,780730298,False,7.8,0,7.8,59.1,729.6
Johnny Mac,780730299,False,11.7,0,11.7,91.3,917.5
Shop ski,780730300,False,6.1,0,6.1,17.9,224.6
In the Woods,780730301,False,11.5,0,11.5,49.9,470.6
Wesley O,780730302,False,12.1,0,12.1,28.0,209.8
Pat's Knob,780730303,False,18.1,0,18.1,34.3,214.0
See No Land,780730304,False,15.4,0,15.4,31.2,196.8
