name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Frosty,498268544,False,6.4,0,6.4,10.3,112.8
J's Way,498268545,False,11.6,0,11.6,13.8,117.1
Easy Rider,498268546,False,9.0,0,9.0,15.5,126.0
Outer Limits,498268548,False,11.9,0,11.9,53.0,408.5
Downdraft,498268549,False,15.4,0,15.4,34.4,191.3
Regulator Johnston,498268550,False,19.9,0,19.9,41.9,196.9
Champagne,498268551,False,18.5,0,18.5,48.4,204.6
Grizzly,498268552,False,22.9,0,22.9,50.1,233.7
Shredder,498268553,False,13.3,0,13.3,49.0,313.0
 _10,498268557,False,4.7,0,4.7,3.6,62.3
