name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Halfpipe,749919232,False,11.4,0,11.4,17.4,89.5
Rail Yard,749919233,False,14.8,0,14.8,66.7,362.7
The Knob,749919234,False,14.3,0,14.3,21.8,117.1
Warner's Way,749919235,False,15.7,0,15.7,67.5,322.8
Olympic Dreams,749919236,False,17.1,0,17.1,59.2,220.4
Mouse Pass,749919237,False,10.4,0,10.4,21.7,240.0
Crossroads,749919238,False,17.3,0,17.3,68.0,307.8
Milk Run,749919239,False,18.7,0,18.7,72.1,324.7
Redtail Ridge,749919240,False,12.4,0,12.4,21.7,122.0
Redtail Ridge_2,749919241,False,13.6,0,13.6,33.3,160.9
Teacher's Pet,749919243,False,11.8,0,11.8,40.5,284.1
Little Jibber,749919244,False,11.7,0,11.7,23.7,170.5
Woodchuck Way,749919245,False,8.3,0,8.3,12.2,167.3
Deer Run,749919246,False,10.3,0,10.3,17.2,118.6
School Yard,749919247,False,7.8,0,7.8,12.5,133.0
Sailer's Chute,1030840325,False,16.6,0,16.6,23.2,90.6
Snow Tubing Area,1030840331,False,11.9,0,11.9,22.4,187.1
