name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Bunny,478730574,False,5.8,0,5.8,9.0,182.3
 _0,478730575,False,3.0,0,3.0,2.8,71.3
 _1,478730576,False,3.8,0,3.8,3.0,72.7
 _2,478730577,False,9.0,0,9.0,26.3,298.9
Upper Adele's,478730578,False,10.5,0,10.5,31.6,311.8
 _3,478979169,False,10.4,0,10.4,34.8,332.4
Adele's Alley,478979170,False,11.6,0,11.6,87.2,738.4
Badger's Pass,478979171,False,8.1,0,8.1,33.3,317.5
Bi-Way,478979172,False,4.3,0,4.3,10.1,295.4
Upper Ptarmigan,478979173,False,9.7,0,9.7,23.3,195.9
Badger Bowl,478979175,False,14.0,0,14.0,38.5,349.7
Rocky Road,478979177,False,14.6,0,14.6,35.2,307.7
A-Wall,478979178,False,15.9,0,15.9,110.3,534.1
B-Dub,478979189,False,17.7,0,17.7,109.5,510.3
Screamin' Steven,478979180,False,18.5,0,18.5,90.4,402.9
Cindy Pop,478979181,False,20.4,0,20.4,90.1,409.1
East Ridge,478979182,False,8.3,0,8.3,41.2,457.4
North Wall,478979183,False,18.3,0,18.3,92.9,460.5
P.W.,478979184,False,17.3,0,17.3,86.7,375.9
Radical Rob,478979185,False,17.2,0,17.2,67.6,267.9
Narrow Margin,478979186,False,17.0,0,17.0,49.9,196.7
Bridge Ridge,478979187,False,16.1,0,16.1,50.1,247.4
Ewok,478979188,False,18.5,0,18.5,112.9,650.6
Trail 24,478979190,False,8.9,0,8.9,41.3,370.1
Anniversary,478979191,False,19.4,0,19.4,61.0,219.6
East Road,478979192,False,9.3,0,9.3,14.7,133.2
Homeward Bound,478979193,False,2.6,0,2.6,1.6,117.4
Mogul Monster,478979194,False,18.5,0,18.5,91.2,457.1
Manitou,478979195,False,17.2,0,17.2,83.6,415.3
Ptarmigan,731177902,False,15.9,0,15.9,78.0,367.1
JJ,731177903,False,17.3,0,17.3,68.1,316.5
Daisy Run,731177904,False,7.5,0,7.5,28.6,234.8
Cindy Top,731177905,False,7.7,0,7.7,20.3,165.2
Far Out,755070285,False,9.2,0,9.2,52.3,517.9
Upper North Wall,755070286,False,7.7,0,7.7,28.2,232.7
Debbie's,755070287,False,8.2,0,8.2,26.9,226.6
Upper Manitou,755070288,False,10.3,0,10.3,26.1,198.4
Letty's Way,1012592249,False,17.1,0,17.1,102.7,524.3
