name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Long Mozy,770898918,False,16.7,0,16.7,163.7,1489.7
Base Camp,770898920,False,8.4,0,8.4,10.4,90.7
To Vista,770898923,False,20.5,0,20.5,124.8,856.1
Gutsy,770898924,False,25.8,0,25.8,190.4,576.4
Upper Chimney,770898925,False,29.5,0,29.5,57.5,129.8
 _0,770898926,False,10.9,0,10.9,27.0,248.4
Sunscreen,770898927,False,17.0,0,17.0,107.5,450.6
Edge,770898928,False,19.9,0,19.9,97.3,462.9
Cheeky,770898929,False,20.4,0,20.4,94.0,358.2
Wild Bill,770898930,False,21.1,0,21.1,29.7,132.1
Doubtfull,770898931,False,24.2,0,24.2,56.0,179.1
Chimney,770898932,False,16.2,0,16.2,70.0,344.2
True Blue,770898933,False,20.8,0,20.8,172.0,634.4
Narrows,770898934,False,23.6,0,23.6,71.5,194.1
Think Twice,770898935,False,24.7,0,24.7,56.4,166.5
Soul Heart,770898936,False,28.6,0,28.6,60.3,125.3
Nightmare Alley,770898937,False,29.8,0,29.8,204.1,448.3
The Beaz,770898938,False,29.1,0,29.1,291.2,719.8
Risky Business,770898939,False,34.6,0,34.6,84.2,143.4
Yard Sale,770898940,False,37.0,0,37.0,99.6,169.2
Side Step,770898941,False,23.1,0,23.1,92.2,358.5
Downfall,770898942,False,29.6,0,29.6,121.2,311.8
Reconsider,770898943,False,25.6,0,25.6,132.6,333.7
Velocity,770898944,False,24.6,0,24.6,62.5,165.9
Chimney_1,770898945,False,8.2,0,8.2,12.8,111.9
Gulch,770898946,False,14.2,0,14.2,75.9,406.5
Exito,770898947,False,18.0,0,18.0,26.1,245.9
Chimney_2,770898948,False,17.8,0,17.8,43.1,189.2
Eazy Cheezy,770898949,False,16.4,0,16.4,43.7,240.1
Blue Moon,770898950,False,29.2,0,29.2,71.4,155.7
Black Hole,770898951,False,28.9,0,28.9,98.1,234.8
