name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Outer Limits,755067256,False,23.8,0,23.8,88.6,399.1
Pete's Dragon II,755067257,False,11.9,0,11.9,14.4,121.7
Pete's Dragon,755067258,False,8.3,0,8.3,11.4,120.2
Devil's Playground,755067259,False,12.2,0,12.2,42.0,426.0
The Burns,755067260,False,7.1,0,7.1,38.6,465.3
Cirque,755067261,False,14.0,0,14.0,45.0,446.9
Devil's Alley,755067262,False,19.6,0,19.6,98.5,478.9
The Meadows,755068673,False,7.7,0,7.7,33.1,463.2
Chicken Ridge,755068674,False,10.2,0,10.2,26.2,189.9
The Cauldron,755068675,False,15.6,0,15.6,129.2,839.6
Devil's Air Park,755068676,False,15.2,0,15.2,133.1,823.0
Dante's Inferno,755068677,False,13.4,0,13.4,124.9,854.7
Cyclops,755068678,False,15.5,0,15.5,139.7,786.1
Cyclops Chute,755068679,False,19.5,0,19.5,31.8,139.5
The Serpent,755068680,False,18.4,0,18.4,143.3,779.0
The Zone,755068681,False,17.0,0,17.0,59.2,299.4
Revenge,755068682,False,18.6,0,18.6,145.6,798.2
Roundabout,755068683,False,21.4,0,21.4,71.3,342.9
Way Back,755068684,False,12.7,0,12.7,20.7,164.6
