name,id
,5562941
,257008371
,257008372
,257008373
,257008374
Limelight,257009997
Granite,257009998
Silver Creek,257009999
,352164996
,352164998
Atlantic Cable,352164999
Bad Finger,352165000
Berkeley,352165001
Black Moon,352165002
Boiler Maker,352165003
Burro Alley,352165004
Center Stage,352165005
Claimjumper,352165006
Gold Bug,352165007
Gold Rush,352165008
Good Finger,352165009
Head Frame,352165010
Little Finger,352165011
Medicine Ridge,352165012
Mills Road,352165013
Mother Lode,352165014
Northern Lights,352165015
Orphan Girl,352165016
Platinum,352165017
Red Lion,352165018
Sapphire,352165019
Silver Bow,352165020
Sluice Box,352165021
Southern Cross,352165022
Tap Lite,352165024
True Fisher,352165026
Winning Ridge,352165027
Youse Guys,352165028
Mungas,784276811
Tenderfoot,784276812
Britton,784276813
Limelight,784276814
Manhattan,784276815
The Pitch,784276816
,784276817
Guns &amp; Roses,784276818
Spooky Hallow,784276819
Christmas Park,784276820
Haunted Forest,784276821
Terminator,784276822
Snaggle Tooth,784276823
Trilby's,784276824
Russel,784276825
Ajax,784276826
Maverick,784276827
Catchwave,784276828
Never Sweat,784276829
Old #7,784276830
,784276831
Exhibition,784276832
