name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,380785598,False,21.6,0,21.6,70.2,251.7
Anasazi Freefall,380785599,False,36.4,0,36.4,227.6,569.2
Annabel Way,380785600,False,15.3,0,15.3,80.5,401.8
Avery's Alley,380785601,False,11.8,1,11.8,59.3,576.5
Belknap Bow,380785602,False,13.7,0,13.7,125.6,924.0
Big Horn,380785603,False,14.6,0,14.6,136.4,933.5
Broad Street,380785604,False,13.3,1,13.3,96.2,943.7
Cassidy,380785606,False,10.3,0,10.3,34.4,207.2
Country Road,380785607,False,19.3,0,19.3,259.6,1928.6
Crescent Moon,380785608,False,10.7,0,10.7,31.1,341.4
Delano Drop,380785609,False,31.9,0,31.9,251.8,606.2
Donner's Descent,380785610,False,32.9,0,32.9,236.6,539.3
Elk Meadows,380785611,False,15.6,0,15.6,123.0,833.2
Falling Water,380785613,False,11.7,0,11.7,56.0,549.8
Full Moon,380785614,False,21.6,0,21.6,123.5,600.4
Full Moon_1,380785615,False,9.2,0,9.2,20.3,172.6
Glacier Glade,380785616,False,11.1,1,11.1,126.0,1054.1
Hannah's Haze,380785618,False,19.5,0,19.5,74.2,359.7
Holly's Loop,380785619,False,10.4,0,10.4,46.0,405.0
Hoodoos,380785620,False,29.4,0,29.4,173.5,429.3
Hummingbird,380785621,False,3.9,0,3.9,9.8,170.7
Miles Meteor,380785623,False,23.5,0,23.5,91.8,370.9
Missing Link,380785627,False,31.3,0,31.3,183.5,429.2
Moki Steps,380785628,False,31.8,0,31.8,214.2,539.2
Paiute Crossing,380785630,False,12.4,0,12.4,53.2,804.7
Puffer's Pass,380785632,False,16.2,0,16.2,54.8,307.0
Quakies,380785634,False,15.8,0,15.8,66.8,380.0
Racer's Edge,380785635,False,16.5,0,16.5,94.2,455.6
Runaway Carter,380785636,False,28.1,0,28.1,72.5,183.5
Satisfaction,380785637,False,34.6,0,34.6,222.6,532.7
Subway Bowl,380785638,False,20.4,0,20.4,94.4,478.4
Teddy's Twist,380785639,False,13.7,0,13.7,132.4,965.1
The Narrows,380785640,False,17.7,0,17.7,197.9,1938.9
Tunnel Vision,380785641,False,32.8,0,32.8,109.1,497.2
Tunnel Vision_2,380785642,False,9.1,0,9.1,4.9,30.2
Tunnel Vision_3,380785643,False,10.2,0,10.2,34.4,292.2
Tushar,380785644,False,23.3,0,23.3,154.9,582.1
Vertigo,380785645,False,38.1,0,38.1,224.8,554.9
Wolverine,380785646,False,25.2,0,25.2,170.2,828.1
