name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Upper Bunnyfair,99651243,False,14.1,0,14.1,50.9,313.5
Foxtail,99651248,False,13.0,0,13.0,50.6,439.7
Easyway,99651255,False,11.9,0,11.9,36.1,324.5
Snail,99651262,False,16.5,0,16.5,74.5,480.5
Sundance,99651268,False,19.0,0,19.0,97.4,456.8
Ho Hum,99651273,False,7.6,0,7.6,24.7,255.9
Bunnyfair,99651281,False,13.2,0,13.2,43.2,285.5
 _0,99659230,False,9.3,0,9.3,11.2,155.3
Sunset,99659231,False,21.4,0,21.4,81.3,349.4
Jolly Jug,99659232,False,25.1,0,25.1,256.0,1155.8
Powderhorn,99659233,False,24.5,0,24.5,217.1,846.5
Challenge,99659234,False,23.7,0,23.7,134.6,578.9
Quickway,99659235,False,13.2,0,13.2,33.5,196.3
Corkscrew,99659236,False,16.8,0,16.8,69.2,311.7
 _1,99659237,False,14.4,0,14.4,14.4,67.5
Chute,99659238,False,17.8,0,17.8,72.1,319.9
Bonanza,99659239,False,17.0,0,17.0,68.1,330.9
Klondike,99659933,False,21.5,0,21.5,82.1,256.0
International,99659942,False,19.7,0,19.7,179.3,921.1
Hornblower,99659947,False,20.0,0,20.0,119.1,604.5
Dream &amp; Scream,99659949,False,20.0,0,20.0,89.5,366.3
Corona Traverse,99659951,False,7.4,0,7.4,23.0,411.2
Hotdog Alley,99659952,False,21.8,0,21.8,111.4,421.9
La Belle Dame,99659953,False,22.4,0,22.4,231.4,809.1
Windmill,99659954,False,18.4,0,18.4,134.1,558.3
Four O'Clock Trail,99659961,False,14.7,0,14.7,107.6,889.3
 _2,99659963,False,25.1,0,25.1,38.9,131.9
 _3,99659965,False,20.1,0,20.1,66.3,262.9
Psychopath,99659968,False,25.9,0,25.9,108.9,251.8
Upper Diamond Back,99660387,False,22.4,0,22.4,49.6,142.2
Lower Ambush,99660388,False,17.6,0,17.6,131.4,520.7
Eldora Spur,99660389,False,13.3,0,13.3,115.4,1515.7
Around the Horn,99660390,False,20.8,0,20.8,229.7,1219.6
Ambush,99660391,False,28.0,0,28.0,122.7,348.6
Lower Diamond Back,99660392,False,18.4,0,18.4,127.5,584.0
Wayback,99660739,False,19.1,0,19.1,138.1,1042.1
Muleshoe,99660750,False,30.4,0,30.4,368.9,1383.7
Corona,99660756,False,27.9,0,27.9,410.4,1218.2
West Ridge,99660763,False,39.1,0,39.1,406.9,1485.3
Liftline,99660769,False,32.8,0,32.8,331.2,1218.4
 _4,99660777,False,12.6,0,12.6,82.9,1055.2
Cascade,99661049,False,32.4,0,32.4,137.7,479.5
Jolly Jug Glades,254037191,True,23.1,1,23.1,136.6,415.8
Brian's Glades,254037192,True,27.6,1,27.6,363.4,953.9
Salto Glades,254037193,True,33.4,1,33.4,359.0,921.9
Moose Glades,254038621,True,35.2,1,35.2,327.5,951.8
Placer Glades,254038624,True,38.8,1,38.8,302.0,932.4
Alpenhorn,463932030,False,25.2,0,25.2,312.1,914.0
Wolf Tongue,463932031,False,28.1,0,28.1,229.1,607.4
Red Tail,463932032,False,15.7,0,15.7,88.8,404.1
