name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Miracle,459835278,False,18.2,0,18.2,126.7,673.9
Birch Run,459835280,False,19.0,0,19.0,119.6,578.4
Stone's Throw,459835281,False,9.1,0,9.1,36.8,282.4
Sugar Maple,459835283,False,21.5,0,21.5,121.6,557.8
Exhibition,459835284,False,22.2,0,22.2,82.1,317.8
Spruce Glen,459835285,False,11.0,0,11.0,73.9,530.4
Aspen,459835286,False,14.1,0,14.1,96.4,622.2
Elk Run,730204027,False,20.9,0,20.9,111.9,537.7
Little Bear,730204028,False,12.3,0,12.3,20.8,143.3
Hot Cocoa,730204029,False,12.5,0,12.5,48.6,331.4
Slalom,730204030,False,22.0,0,22.0,70.6,252.2
Sundance,730204031,False,22.7,0,22.7,69.3,237.1
Meadows,730204032,False,12.2,0,12.2,70.9,524.8
Fawn Crossing,730204033,False,9.8,0,9.8,35.4,260.6
High Traverse,730206755,False,16.7,0,16.7,64.5,248.1
Cottonwood,730206756,False,13.9,0,13.9,39.8,259.9
Stone Bridge,730206757,False,9.8,0,9.8,28.1,218.4
Carnie's Couloir,730206758,False,20.5,0,20.5,78.9,291.1
RV's Surprise,730206759,False,15.7,0,15.7,17.4,65.1
Hidden Haven,730206760,False,11.5,0,11.5,78.6,609.9
Overlook,730208083,False,6.6,0,6.6,15.0,181.2
Shadow Ridge,730208084,False,27.0,0,27.0,77.2,297.5
Wildwood,730208085,False,7.1,0,7.1,13.2,117.0
Bear Par,730208086,False,4.3,0,4.3,7.2,109.5
Idle Wild,730208087,False,22.5,0,22.5,83.8,307.8
Sidewinder,730208088,False,10.3,0,10.3,32.5,208.0
Wildwood_0,730208089,False,11.1,0,11.1,27.0,161.9
Mission Ridge,730249538,False,24.0,0,24.0,135.9,640.8
White Wolf,730249539,False,24.8,0,24.8,89.9,290.0
White Wolf_1,730249540,False,11.0,0,11.0,52.5,382.0
Carver,730789550,False,26.2,0,26.2,95.3,367.0
Superstition,730789551,False,23.4,0,23.4,55.9,149.4
Wedge Woods,730789552,False,7.1,0,7.1,16.8,226.5
Whitetail,730789553,False,8.7,0,8.7,34.7,338.0
 _2,730789554,False,11.6,0,11.6,16.4,98.0
 _3,730789555,False,6.7,0,6.7,13.9,171.5
Whitetail_4,730895150,False,10.5,0,10.5,36.6,294.0
Whitetail_5,730895151,False,12.9,0,12.9,35.7,240.2
Mystery,730895152,False,12.0,0,12.0,74.0,556.1
Reindeer,730895153,False,5.4,0,5.4,11.4,150.1
Rendezvous,730916600,False,13.1,0,13.1,26.7,263.8
Charlotte's Chute,730916601,False,13.0,0,13.0,14.7,68.8
Caroline's Couloir,730916602,False,15.6,0,15.6,17.5,71.1
Mama Mie,730916603,False,17.4,0,17.4,17.9,58.6
Wood Spur,730916604,False,22.6,0,22.6,67.2,223.5
Snowflake,730917517,False,8.5,0,8.5,25.5,223.6
Adios,730917518,False,3.9,0,3.9,8.1,194.0
Hawks Ridge,730917519,False,19.9,0,19.9,32.2,182.1
White Lightning,730917520,False,17.3,0,17.3,59.2,255.1
 _6,730917521,False,8.4,0,8.4,6.5,44.9
Snowshoe,730917522,False,10.0,0,10.0,17.5,124.4
Top Notch,730917523,False,17.7,0,17.7,44.7,251.4
Timberwolf,730917524,False,19.9,0,19.9,106.2,510.6
Main Event,730934123,False,25.6,0,25.6,182.7,959.0
Coyote Gulch,730934124,False,24.6,0,24.6,77.6,227.3
Legends,730934125,False,22.6,0,22.6,44.4,163.9
Panorama,730934126,False,26.2,0,26.2,65.0,196.6
Sweet Return,730934127,False,8.6,0,8.6,65.8,689.7
Gemstone,730934128,False,11.7,0,11.7,52.0,314.9
Red Quartz,730934129,False,10.3,0,10.3,46.5,297.2
Timber Pass,730934130,False,9.3,0,9.3,34.6,283.1
Sunset,730934131,False,10.1,0,10.1,71.3,605.9
Infinity,730934265,False,26.6,0,26.6,136.7,593.3
Bob Cat,730934266,False,16.7,0,16.7,15.2,52.1
Western Frontier,730934267,False,25.2,0,25.2,138.8,730.6
Silver Birch,730934268,False,7.7,0,7.7,34.2,327.1
