name,id
Panorama High Speed Quad,18796615
Ramrod Quad,18796617
Penny Pitou Silver Medal Quad,18805701
Pistol Triple,219686231
Trigger Link,219687925
Middle Trigger,219687926
Tiger Triple,219687928
Ramrod Race,219688868
Thrill Hill Tow #1,219689105
Smith,219703005
Phelps,219703006
Redhat,219703007
Blundersmoke (terrain park),219703008
Cannonball,219703009
Stonebar,219703010
Trigger Chute,219703011
Upper Gunsmoke,219703014
Flintlock,219703015
Flintlock Extension,219703016
Pistol,219703019
Sidearm,219703021
Upper Recoil,219703023
Upper Ramrod,219703024
Shotgun,219703025
Try Me,219703113
Peepsight,219703115
Wonder Carpet,242367011
Pop Gun,255593323
Out of Sight,255593720
Tinderbox,255594039
,255594753
Gunpowder,255594754
Lower Gunsmoke,255596430
Middle Gunsmoke,255596431
Musket,255596432
Middle Recoil,255596694
Lower Recoil,255596897
Upper Trigger,255597663
Flintlock Chute,255597664
The Flats,255597809
Derringer,255603106
Upper Smith,255603146
Ricochet,255603454
Hot Shot,255604097
Parallax Glades,255604249
Gunpowder Glades,255604757
Birch Glades,255604798
Tiger Steeps,255606341
Tiger,255606403
Upper Cannonball,255606524
Slingshot,255606724
Learning Center,320896049
Red Ryder,320896050
Daisy,320896051
Misfire,320896052
Recoil Glades,320896053
,320896054
,320896055
,320896056
,320896057
exit 20,320896058
,320896059
