name,id
Blizzard Lift,256650181
Sunrise Lift,256650182
Sunset Lift,256650183
Thunder Lift,256650184
,256650185
,256650186
Avalanche Lift,256650187
,391691621
,391691623
Angel's Elbow,391691624
Barracuda,391691625
Barracuda,391691626
Blazer,391691627
Charger,391691628
Cherokee,391691629
Cobra,391691630
Cobra,391691631
Comet,391691632
Comet,391691633
Cougar,391691634
Firebird,391691635
Imperial,391691637
Jaguar Half Pipe,391691639
Jaguar,391691645
Jaguar,391691646
Lower Continental,391691649
Model T,391691651
Mustang,391691653
Outback,391691655
Rambler,391691656
Riviera,391691663
Road Runner,391691666
Stingray,391691669
The Bug,391691671
Thunderbird,391691672
Tracker Tow,391691673
Upper Continental,391691675
Viper,391691676
Voyager,391691677
Voyager,391691678
