name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Big Foot,200671612,False,10.7,0,10.7,46.0,310.5
Gilboa,200671723,False,17.1,0,17.1,45.8,237.6
Sitz,200671972,False,15.0,0,15.0,44.1,220.6
Upper Ridge Run,200672128,False,10.4,0,10.4,23.2,237.8
Tattle Tale,200672285,False,12.2,0,12.2,21.4,111.8
Kinderwaltzen,200672382,False,13.0,0,13.0,31.1,168.8
Big Moe,200672525,False,17.3,0,17.3,41.4,185.4
French Cliff,200672734,False,18.8,0,18.8,38.2,170.2
Lower Ridge Run,874948707,False,10.5,0,10.5,22.0,192.7
Tattle Tale_3,874948708,False,10.0,0,10.0,9.9,66.1
Fun Park,874948709,False,13.1,0,13.1,31.5,159.3
Fun Park_4,874948710,False,16.1,0,16.1,38.9,186.0
Skyline,874948712,False,16.8,0,16.8,36.6,136.9
