name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Easy Street,528920395,False,8.2,0,8.2,14.3,133.9
Mayflower,528920396,False,15.6,0,15.6,35.4,175.7
Mogul,528920397,False,18.0,0,18.0,67.1,326.3
Mad Dog,528920398,False,9.2,0,9.2,17.3,203.5
Sunnyside,528920399,False,21.7,0,21.7,51.7,208.1
Tram,528920400,False,26.2,0,26.2,55.4,212.6
The Glade,528920401,False,20.7,1,20.7,49.1,161.0
Tram_1,528920402,False,19.3,0,19.3,16.0,50.3
Lackawanna,528920403,False,15.3,0,15.3,54.2,408.6
Mayflower_2,529990870,False,22.5,0,22.5,33.6,128.7
